"Candidate","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","NumericPass","AdjacentPass","PassingNeighbors","Decision"
"m15vcra_adx30","71.79","1.27","56","29.02","1.16","37","101.02","0.17","1.22","93","0.95","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_center","73.23","1.31","50","35.37","1.22","34","107.17","0.18","1.27","84","0.95","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_ext4","67.48","1.27","53","27.36","1.16","35","93.41","0.16","1.22","88","0.71","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_max3","73.23","1.31","50","35.37","1.22","34","107.17","0.18","1.27","84","0.95","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_noext","20.87","1.06","73","91.33","1.48","44","112.2","0.19","1.2","117","0.91","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_range080","-76.08","0.78","61","-70.24","0.73","44","-144.34","-0.24","0.76","105","1.76","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_range090","-29.27","0.9","56","-34.38","0.85","40","-64.29","-0.11","0.88","96","1.03","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_range100","-1.97","0.99","53","29.55","1.16","37","27.58","0.05","1.06","90","0.95","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_session024","37.59","1.13","61","25.48","1.13","38","61.64","0.1","1.13","99","0.9","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_session422","66.3","1.24","58","33.96","1.19","37","98.83","0.16","1.22","95","0.9","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_vol100","2.34","1.01","59","15.05","1.07","45","17.39","0.03","1.03","104","1.12","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_vol110","19.1","1.07","55","15.05","1.07","45","34.15","0.06","1.07","100","1.12","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_vol120","41.44","1.16","50","38.02","1.2","40","79.46","0.13","1.18","90","1.04","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_vol140","77.19","1.38","44","13.53","1.09","31","90.93","0.15","1.25","75","0.82","False","False","","REJECT_BEFORE_HOLDOUT"
"m15vcra_vol150","60.74","1.3","43","0.93","1.01","30","61.88","0.1","1.17","73","0.82","False","False","","REJECT_BEFORE_HOLDOUT"
