"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","MinimumVolumeRatio","MinimumRangeATR","MinimumWickPercent","MinimumVWAPDeviationATR","MaximumADX","ExtremeLookbackBars","MinimumRiskReward","MaximumTargetR","UseRangePhaseFilter","StopRule","Status","ReportPath","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","m15vcr_center","1","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_m15vcr_center_older_2015_2018_m1.ini","m15vcr_center_older_2015_2018_m1","profiles\m15vcr_center.set","EFBEFF953593D59C26E44D2CE6ED1F0D3DB46D94721FF2D33D5BC9840DAEBD2D","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","1.10","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_center_older_2015_2018_m1.htm","8DAD81F1131F1B8F5B4F7F0F0426A2F689260DBD740BEBDC10ED4C41F7069BAF","True","FIRST_VALID_EXPORT","10000","1460","3.9973","60.74","10060.74","0.61","0.15","0.15","1.3","1.41","8.14","48.84","43","5","82.23","0.82","77.01","82.23","0.7387"
"2","m15vcr_center","1","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_m15vcr_center_discovery_2019_2020_m1.ini","m15vcr_center_discovery_2019_2020_m1","profiles\m15vcr_center.set","EFBEFF953593D59C26E44D2CE6ED1F0D3DB46D94721FF2D33D5BC9840DAEBD2D","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","1.10","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_center_discovery_2019_2020_m1.htm","34CBC0814B132A7F7CAC0D3E5328EC01CA8CC70E501C4394FCC866C92AB72E0C","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","730","1.9986","0.93","10000.93","0.01","0","0","1.01","0.03","0.21","43.33","30","6","61.38","0.61","56.2","61.38","0.0152"
"3","m15vcr_center","1","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_m15vcr_center_continuous_2015_2020_m1.ini","m15vcr_center_continuous_2015_2020_m1","profiles\m15vcr_center.set","EFBEFF953593D59C26E44D2CE6ED1F0D3DB46D94721FF2D33D5BC9840DAEBD2D","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","1.10","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_center_continuous_2015_2020_m1.htm","3283FA04D2A771E2C36CD5CEEF522FD9CA506D06C29DC5350FF27B5C2E9E484E","True","FIRST_VALID_EXPORT","10000","2191","5.9986","61.88","10061.88","0.62","0.1","0.1","1.17","0.85","5.25","46.58","73","6","82.23","0.82","77.01","82.23","0.7525"
"4","m15vcr_vol130","2","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_vol130.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_m15vcr_vol130_older_2015_2018_m1.ini","m15vcr_vol130_older_2015_2018_m1","profiles\m15vcr_vol130.set","BF73283773508E3CAD64C31B94F73B09D3A674BC2C4F815B0C7DA440519C2556","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.30","1.10","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_vol130_older_2015_2018_m1.htm","8762FEE007460749D0568E1FF4A15E64AE19759ED34360CF5ECDB7388366CE87","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","1460","3.9973","73.23","10073.23","0.73","0.18","0.18","1.31","1.46","8.13","50","50","7","95.33","0.95","86.76","95.33","0.7682"
"5","m15vcr_vol130","2","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_vol130.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_m15vcr_vol130_discovery_2019_2020_m1.ini","m15vcr_vol130_discovery_2019_2020_m1","profiles\m15vcr_vol130.set","BF73283773508E3CAD64C31B94F73B09D3A674BC2C4F815B0C7DA440519C2556","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.30","1.10","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_vol130_discovery_2019_2020_m1.htm","4C66857451478E4A1D487616C63EDDDD07A2CD18ECADDCB109379D783AE4A5B8","True","FIRST_VALID_EXPORT","10000","730","1.9986","35.37","10035.37","0.35","0.18","0.18","1.22","1.04","7.34","47.06","34","4","56.58","0.56","51.4","56.58","0.6251"
"6","m15vcr_vol130","2","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_vol130.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_m15vcr_vol130_continuous_2015_2020_m1.ini","m15vcr_vol130_continuous_2015_2020_m1","profiles\m15vcr_vol130.set","BF73283773508E3CAD64C31B94F73B09D3A674BC2C4F815B0C7DA440519C2556","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.30","1.10","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_vol130_continuous_2015_2020_m1.htm","75E80474F181E64853F9598874A3CB433C9F33F8AED4A6A02ED72D546A0515CD","True","FIRST_VALID_EXPORT","10000","2191","5.9986","107.17","10107.17","1.07","0.18","0.18","1.27","1.28","7.75","48.81","84","7","95.33","0.95","86.76","95.33","1.1242"
"7","m15vcr_vol170","3","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_vol170.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_m15vcr_vol170_older_2015_2018_m1.ini","m15vcr_vol170_older_2015_2018_m1","profiles\m15vcr_vol170.set","C59224CCFACD9F5486CA57D7E8D9BAED0A56E1F215C31714424757B4555E2456","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.70","1.10","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_vol170_older_2015_2018_m1.htm","EBADD2416FE88DF6EC10E3E69EB5100C7C248C88E8ACDF108D39DB28822829BD","True","FIRST_VALID_EXPORT","10000","1460","3.9973","51.54","10051.54","0.52","0.13","0.13","1.31","1.47","8.15","48.57","35","4","56.93","0.57","53.49","56.93","0.9053"
"8","m15vcr_vol170","3","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_vol170.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_m15vcr_vol170_discovery_2019_2020_m1.ini","m15vcr_vol170_discovery_2019_2020_m1","profiles\m15vcr_vol170.set","C59224CCFACD9F5486CA57D7E8D9BAED0A56E1F215C31714424757B4555E2456","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.70","1.10","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_vol170_discovery_2019_2020_m1.htm","BBA054226DF570679EE4D44BBB0E69CD7C2BDE36738C89C1D1CBB18D9D76A105","True","FIRST_VALID_EXPORT","10000","730","1.9986","-43.63","9956.37","-0.44","-0.22","-0.22","0.67","-1.9","-5","34.78","23","7","69.28","0.69","64.8","69.28","-0.6298"
"9","m15vcr_vol170","3","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_vol170.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_m15vcr_vol170_continuous_2015_2020_m1.ini","m15vcr_vol170_continuous_2015_2020_m1","profiles\m15vcr_vol170.set","C59224CCFACD9F5486CA57D7E8D9BAED0A56E1F215C31714424757B4555E2456","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.70","1.10","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_vol170_continuous_2015_2020_m1.htm","6E747DBA199AD00E7DB3835E11999904DB17F3686E779337725FA5264648A687","True","FIRST_VALID_EXPORT","10000","2191","5.9986","4.42","10004.42","0.04","0.01","0.01","1.01","0.08","0.46","43.1","58","7","79.1","0.79","70.18","79.1","0.0559"
"10","m15vcr_range090","4","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_range090.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_m15vcr_range090_older_2015_2018_m1.ini","m15vcr_range090_older_2015_2018_m1","profiles\m15vcr_range090.set","B61422EB9E33896087C0C0E2518EE0D4EE3D7CA4C81AF841AA2CC9895A645425","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","0.90","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_range090_older_2015_2018_m1.htm","2B3429E94A6788984C9E74D46096B2B5C13B917A7153841BE183E7258B867A6D","True","FIRST_VALID_EXPORT","10000","1460","3.9973","-21.62","9978.38","-0.22","-0.05","-0.05","0.92","-0.46","-2.66","40.43","47","5","104.52","1.05","94.84","104.52","-0.2069"
