"QueueRank","Candidate","CandidateRank","SourceType","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RunLabel","MinimumGapATR","MaximumGapATR","MinimumConfirmationFraction","StopRule"
"1","wgf_center","1","independent_m15_weekend_gap_fade","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_wgf_center_older_2015_2018_m1.ini","wgf_center_older_2015_2018_m1","profiles\wgf_center.set","DF91AC6C51BFFFE6CA5897745869DBCED831941686A9A73E5A4203478D37F1D8","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.15","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"2","wgf_center","1","independent_m15_weekend_gap_fade","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_wgf_center_repair_2019_2020_m1.ini","wgf_center_repair_2019_2020_m1","profiles\wgf_center.set","DF91AC6C51BFFFE6CA5897745869DBCED831941686A9A73E5A4203478D37F1D8","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.15","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"3","wgf_center","1","independent_m15_weekend_gap_fade","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_wgf_center_continuous_2015_2020_m1.ini","wgf_center_continuous_2015_2020_m1","profiles\wgf_center.set","DF91AC6C51BFFFE6CA5897745869DBCED831941686A9A73E5A4203478D37F1D8","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.15","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"4","wgf_gap005","2","independent_m15_weekend_gap_fade","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_wgf_gap005_older_2015_2018_m1.ini","wgf_gap005_older_2015_2018_m1","profiles\wgf_gap005.set","CF22A8FFAC341C8CCA3146A9FCC4035484B534398862FDE283360364A3FAC908","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.05","0.50","0.15","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"5","wgf_gap005","2","independent_m15_weekend_gap_fade","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_wgf_gap005_repair_2019_2020_m1.ini","wgf_gap005_repair_2019_2020_m1","profiles\wgf_gap005.set","CF22A8FFAC341C8CCA3146A9FCC4035484B534398862FDE283360364A3FAC908","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.05","0.50","0.15","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"6","wgf_gap005","2","independent_m15_weekend_gap_fade","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_wgf_gap005_continuous_2015_2020_m1.ini","wgf_gap005_continuous_2015_2020_m1","profiles\wgf_gap005.set","CF22A8FFAC341C8CCA3146A9FCC4035484B534398862FDE283360364A3FAC908","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.05","0.50","0.15","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"7","wgf_gap012","3","independent_m15_weekend_gap_fade","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_wgf_gap012_older_2015_2018_m1.ini","wgf_gap012_older_2015_2018_m1","profiles\wgf_gap012.set","EC8EAA140F9584A73190226C385DEF1348C76F2C3DBDFE7B3CE3E6FD207EF07B","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.12","0.50","0.15","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"8","wgf_gap012","3","independent_m15_weekend_gap_fade","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_wgf_gap012_repair_2019_2020_m1.ini","wgf_gap012_repair_2019_2020_m1","profiles\wgf_gap012.set","EC8EAA140F9584A73190226C385DEF1348C76F2C3DBDFE7B3CE3E6FD207EF07B","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.12","0.50","0.15","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"9","wgf_gap012","3","independent_m15_weekend_gap_fade","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_wgf_gap012_continuous_2015_2020_m1.ini","wgf_gap012_continuous_2015_2020_m1","profiles\wgf_gap012.set","EC8EAA140F9584A73190226C385DEF1348C76F2C3DBDFE7B3CE3E6FD207EF07B","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.12","0.50","0.15","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"10","wgf_confirm000","4","independent_m15_weekend_gap_fade","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_wgf_confirm000_older_2015_2018_m1.ini","wgf_confirm000_older_2015_2018_m1","profiles\wgf_confirm000.set","3DE518C99ADD3144805AF48B740477B0E53C610AE43A01F7BF5D24D2763F5C7C","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.00","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
