"QueueRank","Candidate","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","RunLabel","MinimumGapATR","MaximumGapATR","MinimumConfirmationFraction","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","wgf_center","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","wgf_center_older_2015_2018_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_center_older_2015_2018_m1.htm","DF91AC6C51BFFFE6CA5897745869DBCED831941686A9A73E5A4203478D37F1D8","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.15","10000","1460","3.9973","0","10000","0","0","0","0","0","0","100","1","0","10.66","0.11","0"
"2","wgf_center","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","wgf_center_repair_2019_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_center_repair_2019_2020_m1.htm","DF91AC6C51BFFFE6CA5897745869DBCED831941686A9A73E5A4203478D37F1D8","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.15","10000","730","1.9986","-8.04","9991.96","-0.08","-0.04","-0.04","0","-4.02","-0.08","50","2","1","19.14","0.19","-0.4201"
"3","wgf_center","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","wgf_center_continuous_2015_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_center_continuous_2015_2020_m1.htm","DF91AC6C51BFFFE6CA5897745869DBCED831941686A9A73E5A4203478D37F1D8","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.15","10000","2191","5.9986","-8.04","9991.96","-0.08","-0.01","-0.01","0","-2.68","-0.14","66.67","3","1","19.14","0.19","-0.4201"
"4","wgf_gap005","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","wgf_gap005_older_2015_2018_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_gap005_older_2015_2018_m1.htm","CF22A8FFAC341C8CCA3146A9FCC4035484B534398862FDE283360364A3FAC908","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.05","0.50","0.15","10000","1460","3.9973","0","10000","0","0","0","0","0","0","100","1","0","10.66","0.11","0"
"5","wgf_gap005","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","wgf_gap005_repair_2019_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_gap005_repair_2019_2020_m1.htm","CF22A8FFAC341C8CCA3146A9FCC4035484B534398862FDE283360364A3FAC908","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.05","0.50","0.15","10000","730","1.9986","-8.04","9991.96","-0.08","-0.04","-0.04","0","-4.02","-0.08","50","2","1","19.14","0.19","-0.4201"
"6","wgf_gap005","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","wgf_gap005_continuous_2015_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_gap005_continuous_2015_2020_m1.htm","CF22A8FFAC341C8CCA3146A9FCC4035484B534398862FDE283360364A3FAC908","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.05","0.50","0.15","10000","2191","5.9986","-8.04","9991.96","-0.08","-0.01","-0.01","0","-2.68","-0.14","66.67","3","1","19.14","0.19","-0.4201"
"7","wgf_gap012","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","wgf_gap012_older_2015_2018_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_gap012_older_2015_2018_m1.htm","EC8EAA140F9584A73190226C385DEF1348C76F2C3DBDFE7B3CE3E6FD207EF07B","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.12","0.50","0.15","10000","1460","3.9973","0","10000","0","0","0","0","0","0","100","1","0","10.66","0.11","0"
"8","wgf_gap012","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","wgf_gap012_repair_2019_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_gap012_repair_2019_2020_m1.htm","EC8EAA140F9584A73190226C385DEF1348C76F2C3DBDFE7B3CE3E6FD207EF07B","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.12","0.50","0.15","10000","730","1.9986","-8.04","9991.96","-0.08","-0.04","-0.04","0","-4.02","-0.08","50","2","1","19.14","0.19","-0.4201"
"9","wgf_gap012","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","wgf_gap012_continuous_2015_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_gap012_continuous_2015_2020_m1.htm","EC8EAA140F9584A73190226C385DEF1348C76F2C3DBDFE7B3CE3E6FD207EF07B","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.12","0.50","0.15","10000","2191","5.9986","-8.04","9991.96","-0.08","-0.01","-0.01","0","-2.68","-0.14","66.67","3","1","19.14","0.19","-0.4201"
"10","wgf_confirm000","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","wgf_confirm000_older_2015_2018_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm000_older_2015_2018_m1.htm","3DE518C99ADD3144805AF48B740477B0E53C610AE43A01F7BF5D24D2763F5C7C","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.00","10000","1460","3.9973","8.54","10008.54","0.09","0.02","0.02","1.46","1.71","0.38","60","5","1","25.68","0.26","0.3326"
"11","wgf_confirm000","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","wgf_confirm000_repair_2019_2020_m1","PARSED","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm000_repair_2019_2020_m1.htm","3DE518C99ADD3144805AF48B740477B0E53C610AE43A01F7BF5D24D2763F5C7C","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","0.08","0.50","0.00","10000","730","1.9986","-22","9978","-0.22","-0.11","-0.11","0.35","-2.2","-3.66","60","10","2","35.92","0.36","-0.6125"
