"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","xmll_base","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\001_xmll_base_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\001_xmll_base_older_2015_2017_m1.ini","xmll_base_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_base_older_2015_2017_m1","DDF009436F66C9834013A09F8475651CC64B27A35CBFD43D6FB070A5EDC6F4CC","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"2","xmll_base","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\002_xmll_base_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\002_xmll_base_discovery_2018_2020_m1.ini","xmll_base_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_base_discovery_2018_2020_m1","DDF009436F66C9834013A09F8475651CC64B27A35CBFD43D6FB070A5EDC6F4CC","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"3","xmll_lead4","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\003_xmll_lead4_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\003_xmll_lead4_older_2015_2017_m1.ini","xmll_lead4_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_lead4_older_2015_2017_m1","2FBB7C078BA8D5C62AB1A023AAE2B278D9DD96ED5A6219275DDB27A57416E1AF","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"4","xmll_lead4","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\004_xmll_lead4_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\004_xmll_lead4_discovery_2018_2020_m1.ini","xmll_lead4_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_lead4_discovery_2018_2020_m1","2FBB7C078BA8D5C62AB1A023AAE2B278D9DD96ED5A6219275DDB27A57416E1AF","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"5","xmll_lead12","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\005_xmll_lead12_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\005_xmll_lead12_older_2015_2017_m1.ini","xmll_lead12_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_lead12_older_2015_2017_m1","4EEF605F78E3E67207BFC95B3BCEEF57C77BFEFAE57B8F04BAE1226E24AA224F","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"6","xmll_lead12","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\006_xmll_lead12_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\006_xmll_lead12_discovery_2018_2020_m1.ini","xmll_lead12_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_lead12_discovery_2018_2020_m1","4EEF605F78E3E67207BFC95B3BCEEF57C77BFEFAE57B8F04BAE1226E24AA224F","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"7","xmll_lead16","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\007_xmll_lead16_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\007_xmll_lead16_older_2015_2017_m1.ini","xmll_lead16_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_lead16_older_2015_2017_m1","551CC5BC3E8E74B240325C9FA54B4CAB2A99CC470EBFEE7948CC2C2C1AA8421D","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"8","xmll_lead16","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\008_xmll_lead16_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\008_xmll_lead16_discovery_2018_2020_m1.ini","xmll_lead16_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_lead16_discovery_2018_2020_m1","551CC5BC3E8E74B240325C9FA54B4CAB2A99CC470EBFEE7948CC2C2C1AA8421D","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"9","xmll_xag075","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\009_xmll_xag075_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\009_xmll_xag075_older_2015_2017_m1.ini","xmll_xag075_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_xag075_older_2015_2017_m1","66C8DA984BB5DD69D2B325FFBED8EDC50DF2E306B217D4016271B850C9F50E77","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"10","xmll_xag075","discovery_model1","Independent M15 XAG lead-lag pullback discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\010_xmll_xag075_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\010_xmll_xag075_discovery_2018_2020_m1.ini","xmll_xag075_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\reports_here\xmll_xag075_discovery_2018_2020_m1","66C8DA984BB5DD69D2B325FFBED8EDC50DF2E306B217D4016271B850C9F50E77","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
