"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","LeadLookback","CorrelationLookback","MinimumCorrelation","MinimumXAGImpulseATR","MinimumXAGLeadGapATR","MinimumAlignedXAUMoveATR","MaximumXAUExtensionATR","FastEMA","SlowEMA","RequireFastEMASlope","PullbackToleranceATR","RequirePriorRangeReclaim","TakeProfitR","StopRule"
"1","xmll_base","1","independent_m15_xag_lead_lag_pullback","1","discovery_model1","xmll_base.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\001_xmll_base_older_2015_2017_m1.ini","xmll_base_older_2015_2017_m1","profiles\xmll_base.set","DDF009436F66C9834013A09F8475651CC64B27A35CBFD43D6FB070A5EDC6F4CC","AC1B533EBCBBB42505589DEAD08A11143C88B3FB13A11C57AB4BB96F06F8F21F","15","8","32","0.25","1.00","0.35","-0.10","0.75","20","50","true","0.10","true","1.50","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"2","xmll_base","1","independent_m15_xag_lead_lag_pullback","1","discovery_model1","xmll_base.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\002_xmll_base_discovery_2018_2020_m1.ini","xmll_base_discovery_2018_2020_m1","profiles\xmll_base.set","DDF009436F66C9834013A09F8475651CC64B27A35CBFD43D6FB070A5EDC6F4CC","AC1B533EBCBBB42505589DEAD08A11143C88B3FB13A11C57AB4BB96F06F8F21F","15","8","32","0.25","1.00","0.35","-0.10","0.75","20","50","true","0.10","true","1.50","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"3","xmll_lead4","2","independent_m15_xag_lead_lag_pullback","1","discovery_model1","xmll_lead4.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\003_xmll_lead4_older_2015_2017_m1.ini","xmll_lead4_older_2015_2017_m1","profiles\xmll_lead4.set","2FBB7C078BA8D5C62AB1A023AAE2B278D9DD96ED5A6219275DDB27A57416E1AF","AC1B533EBCBBB42505589DEAD08A11143C88B3FB13A11C57AB4BB96F06F8F21F","15","4","32","0.25","1.00","0.35","-0.10","0.75","20","50","true","0.10","true","1.50","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"4","xmll_lead4","2","independent_m15_xag_lead_lag_pullback","1","discovery_model1","xmll_lead4.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\004_xmll_lead4_discovery_2018_2020_m1.ini","xmll_lead4_discovery_2018_2020_m1","profiles\xmll_lead4.set","2FBB7C078BA8D5C62AB1A023AAE2B278D9DD96ED5A6219275DDB27A57416E1AF","AC1B533EBCBBB42505589DEAD08A11143C88B3FB13A11C57AB4BB96F06F8F21F","15","4","32","0.25","1.00","0.35","-0.10","0.75","20","50","true","0.10","true","1.50","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"5","xmll_lead12","3","independent_m15_xag_lead_lag_pullback","1","discovery_model1","xmll_lead12.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\005_xmll_lead12_older_2015_2017_m1.ini","xmll_lead12_older_2015_2017_m1","profiles\xmll_lead12.set","4EEF605F78E3E67207BFC95B3BCEEF57C77BFEFAE57B8F04BAE1226E24AA224F","AC1B533EBCBBB42505589DEAD08A11143C88B3FB13A11C57AB4BB96F06F8F21F","15","12","32","0.25","1.00","0.35","-0.10","0.75","20","50","true","0.10","true","1.50","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"6","xmll_lead12","3","independent_m15_xag_lead_lag_pullback","1","discovery_model1","xmll_lead12.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\006_xmll_lead12_discovery_2018_2020_m1.ini","xmll_lead12_discovery_2018_2020_m1","profiles\xmll_lead12.set","4EEF605F78E3E67207BFC95B3BCEEF57C77BFEFAE57B8F04BAE1226E24AA224F","AC1B533EBCBBB42505589DEAD08A11143C88B3FB13A11C57AB4BB96F06F8F21F","15","12","32","0.25","1.00","0.35","-0.10","0.75","20","50","true","0.10","true","1.50","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"7","xmll_lead16","4","independent_m15_xag_lead_lag_pullback","1","discovery_model1","xmll_lead16.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\007_xmll_lead16_older_2015_2017_m1.ini","xmll_lead16_older_2015_2017_m1","profiles\xmll_lead16.set","551CC5BC3E8E74B240325C9FA54B4CAB2A99CC470EBFEE7948CC2C2C1AA8421D","AC1B533EBCBBB42505589DEAD08A11143C88B3FB13A11C57AB4BB96F06F8F21F","15","16","32","0.25","1.00","0.35","-0.10","0.75","20","50","true","0.10","true","1.50","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"8","xmll_lead16","4","independent_m15_xag_lead_lag_pullback","1","discovery_model1","xmll_lead16.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\008_xmll_lead16_discovery_2018_2020_m1.ini","xmll_lead16_discovery_2018_2020_m1","profiles\xmll_lead16.set","551CC5BC3E8E74B240325C9FA54B4CAB2A99CC470EBFEE7948CC2C2C1AA8421D","AC1B533EBCBBB42505589DEAD08A11143C88B3FB13A11C57AB4BB96F06F8F21F","15","16","32","0.25","1.00","0.35","-0.10","0.75","20","50","true","0.10","true","1.50","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"9","xmll_xag075","5","independent_m15_xag_lead_lag_pullback","1","discovery_model1","xmll_xag075.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\009_xmll_xag075_older_2015_2017_m1.ini","xmll_xag075_older_2015_2017_m1","profiles\xmll_xag075.set","66C8DA984BB5DD69D2B325FFBED8EDC50DF2E306B217D4016271B850C9F50E77","AC1B533EBCBBB42505589DEAD08A11143C88B3FB13A11C57AB4BB96F06F8F21F","15","8","32","0.25","0.75","0.35","-0.10","0.75","20","50","true","0.10","true","1.50","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"10","xmll_xag075","5","independent_m15_xag_lead_lag_pullback","1","discovery_model1","xmll_xag075.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\010_xmll_xag075_discovery_2018_2020_m1.ini","xmll_xag075_discovery_2018_2020_m1","profiles\xmll_xag075.set","66C8DA984BB5DD69D2B325FFBED8EDC50DF2E306B217D4016271B850C9F50E77","AC1B533EBCBBB42505589DEAD08A11143C88B3FB13A11C57AB4BB96F06F8F21F","15","8","32","0.25","0.75","0.35","-0.10","0.75","20","50","true","0.10","true","1.50","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
