"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","xmll_base","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\001_xmll_base_older_2015_2017_m1.ini","True","xmll_base_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_base_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:43:47","2026-07-16T23:44:02"
"2","xmll_base","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\002_xmll_base_discovery_2018_2020_m1.ini","True","xmll_base_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_base_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:44:02","2026-07-16T23:44:17"
"3","xmll_lead4","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\003_xmll_lead4_older_2015_2017_m1.ini","True","xmll_lead4_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead4_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:44:17","2026-07-16T23:44:31"
"4","xmll_lead4","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\004_xmll_lead4_discovery_2018_2020_m1.ini","True","xmll_lead4_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead4_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:44:31","2026-07-16T23:44:46"
"5","xmll_lead12","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\005_xmll_lead12_older_2015_2017_m1.ini","True","xmll_lead12_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead12_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:44:46","2026-07-16T23:45:01"
"6","xmll_lead12","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\006_xmll_lead12_discovery_2018_2020_m1.ini","True","xmll_lead12_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead12_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:45:01","2026-07-16T23:45:15"
"7","xmll_lead16","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\007_xmll_lead16_older_2015_2017_m1.ini","True","xmll_lead16_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead16_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:45:15","2026-07-16T23:45:29"
"8","xmll_lead16","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\008_xmll_lead16_discovery_2018_2020_m1.ini","True","xmll_lead16_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead16_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:45:29","2026-07-16T23:45:43"
"9","xmll_xag075","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\009_xmll_xag075_older_2015_2017_m1.ini","True","xmll_xag075_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_xag075_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:45:44","2026-07-16T23:45:59"
"10","xmll_xag075","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_discovery_model1_package\configs\010_xmll_xag075_discovery_2018_2020_m1.ini","True","xmll_xag075_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_xag075_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:45:59","2026-07-16T23:46:13"
