"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","xmll_lead2","neighborhood_model1","Independent M15 XAG lead-lag lookback neighborhood Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\001_xmll_lead2_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\001_xmll_lead2_older_2015_2017_m1.ini","xmll_lead2_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\reports_here\xmll_lead2_older_2015_2017_m1","1B010139F2AB3080CD02DE6D34FD2445C6951D4C8E8A269118113988B160B972","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed."
"2","xmll_lead2","neighborhood_model1","Independent M15 XAG lead-lag lookback neighborhood Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\002_xmll_lead2_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\002_xmll_lead2_discovery_2018_2020_m1.ini","xmll_lead2_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\reports_here\xmll_lead2_discovery_2018_2020_m1","1B010139F2AB3080CD02DE6D34FD2445C6951D4C8E8A269118113988B160B972","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed."
"3","xmll_lead3","neighborhood_model1","Independent M15 XAG lead-lag lookback neighborhood Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\003_xmll_lead3_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\003_xmll_lead3_older_2015_2017_m1.ini","xmll_lead3_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\reports_here\xmll_lead3_older_2015_2017_m1","FFB4B57397C3570E6E20B9BE98FFD6C766971D2464C7F8E13A0DD93E7BB4F621","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed."
"4","xmll_lead3","neighborhood_model1","Independent M15 XAG lead-lag lookback neighborhood Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\004_xmll_lead3_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\004_xmll_lead3_discovery_2018_2020_m1.ini","xmll_lead3_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\reports_here\xmll_lead3_discovery_2018_2020_m1","FFB4B57397C3570E6E20B9BE98FFD6C766971D2464C7F8E13A0DD93E7BB4F621","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed."
"5","xmll_lead4","neighborhood_model1","Independent M15 XAG lead-lag lookback neighborhood Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\005_xmll_lead4_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\005_xmll_lead4_older_2015_2017_m1.ini","xmll_lead4_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\reports_here\xmll_lead4_older_2015_2017_m1","17EB78F373D2692DC98FCBE9325E9ABA3736D2630E6F5582EC6EB28FBFDB51D1","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed."
"6","xmll_lead4","neighborhood_model1","Independent M15 XAG lead-lag lookback neighborhood Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\006_xmll_lead4_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\006_xmll_lead4_discovery_2018_2020_m1.ini","xmll_lead4_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\reports_here\xmll_lead4_discovery_2018_2020_m1","17EB78F373D2692DC98FCBE9325E9ABA3736D2630E6F5582EC6EB28FBFDB51D1","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed."
"7","xmll_lead5","neighborhood_model1","Independent M15 XAG lead-lag lookback neighborhood Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\007_xmll_lead5_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\007_xmll_lead5_older_2015_2017_m1.ini","xmll_lead5_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\reports_here\xmll_lead5_older_2015_2017_m1","7E4A6D73AABF2587F0ABA7EB4449898340AF29764BC75833D7FE28F4A3D02C82","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed."
"8","xmll_lead5","neighborhood_model1","Independent M15 XAG lead-lag lookback neighborhood Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\008_xmll_lead5_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\008_xmll_lead5_discovery_2018_2020_m1.ini","xmll_lead5_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\reports_here\xmll_lead5_discovery_2018_2020_m1","7E4A6D73AABF2587F0ABA7EB4449898340AF29764BC75833D7FE28F4A3D02C82","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed."
"9","xmll_lead6","neighborhood_model1","Independent M15 XAG lead-lag lookback neighborhood Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\009_xmll_lead6_older_2015_2017_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\009_xmll_lead6_older_2015_2017_m1.ini","xmll_lead6_older_2015_2017_m1","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\reports_here\xmll_lead6_older_2015_2017_m1","8AD912FF49145E98A448AC6834A08D2B2A465D9672300F35BCCBDD251A75A2AF","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed."
"10","xmll_lead6","neighborhood_model1","Independent M15 XAG lead-lag lookback neighborhood Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\010_xmll_lead6_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\010_xmll_lead6_discovery_2018_2020_m1.ini","xmll_lead6_discovery_2018_2020_m1","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\reports_here\xmll_lead6_discovery_2018_2020_m1","8AD912FF49145E98A448AC6834A08D2B2A465D9672300F35BCCBDD251A75A2AF","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed."
