"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","xmll_lead2","1","independent_m15_xag_lead_lag_pullback","1","neighborhood_model1","xmll_lead2.set","older_2015_2017","2015.01.01","2017.12.31","1","configs\001_xmll_lead2_older_2015_2017_m1.ini","xmll_lead2_older_2015_2017_m1","profiles\xmll_lead2.set","1B010139F2AB3080CD02DE6D34FD2445C6951D4C8E8A269118113988B160B972","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\xmll_lead2_older_2015_2017_m1.htm","10000","1095","2.9979","-81.72","9918.28","-0.82","-0.27","-0.27","0.75","-1.28","-5","42.19","64","5","135.86","1.36","133.07","135.86","-0.6","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","xmll_lead2","1","independent_m15_xag_lead_lag_pullback","1","neighborhood_model1","xmll_lead2.set","discovery_2018_2020","2018.01.01","2020.12.31","1","configs\002_xmll_lead2_discovery_2018_2020_m1.ini","xmll_lead2_discovery_2018_2020_m1","profiles\xmll_lead2.set","1B010139F2AB3080CD02DE6D34FD2445C6951D4C8E8A269118113988B160B972","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\xmll_lead2_discovery_2018_2020_m1.htm","10000","1095","2.9979","-87.77","9912.23","-0.88","-0.29","-0.29","0.69","-1.66","-5","33.96","53","7","101.64","1.02","99.83","101.64","-0.86","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","xmll_lead3","2","independent_m15_xag_lead_lag_pullback","1","neighborhood_model1","xmll_lead3.set","older_2015_2017","2015.01.01","2017.12.31","1","configs\003_xmll_lead3_older_2015_2017_m1.ini","xmll_lead3_older_2015_2017_m1","profiles\xmll_lead3.set","FFB4B57397C3570E6E20B9BE98FFD6C766971D2464C7F8E13A0DD93E7BB4F621","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\xmll_lead3_older_2015_2017_m1.htm","10000","1095","2.9979","-9.06","9990.94","-0.09","-0.03","-0.03","0.98","-0.12","-0.6","46.15","78","7","124.91","1.25","116.03","124.91","-0.07","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","xmll_lead3","2","independent_m15_xag_lead_lag_pullback","1","neighborhood_model1","xmll_lead3.set","discovery_2018_2020","2018.01.01","2020.12.31","1","configs\004_xmll_lead3_discovery_2018_2020_m1.ini","xmll_lead3_discovery_2018_2020_m1","profiles\xmll_lead3.set","FFB4B57397C3570E6E20B9BE98FFD6C766971D2464C7F8E13A0DD93E7BB4F621","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\xmll_lead3_discovery_2018_2020_m1.htm","10000","1095","2.9979","-36.36","9963.64","-0.36","-0.12","-0.12","0.9","-0.46","-2.59","44.3","79","5","84.2","0.84","78.61","84.2","-0.43","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","xmll_lead4","3","independent_m15_xag_lead_lag_pullback","1","neighborhood_model1","xmll_lead4.set","older_2015_2017","2015.01.01","2017.12.31","1","configs\005_xmll_lead4_older_2015_2017_m1.ini","xmll_lead4_older_2015_2017_m1","profiles\xmll_lead4.set","17EB78F373D2692DC98FCBE9325E9ABA3736D2630E6F5582EC6EB28FBFDB51D1","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\xmll_lead4_older_2015_2017_m1.htm","10000","1095","2.9979","42.08","10042.08","0.42","0.14","0.14","1.13","0.56","2.95","48","75","5","104.46","1.04","99.51","104.46","0.4","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","xmll_lead4","3","independent_m15_xag_lead_lag_pullback","1","neighborhood_model1","xmll_lead4.set","discovery_2018_2020","2018.01.01","2020.12.31","1","configs\006_xmll_lead4_discovery_2018_2020_m1.ini","xmll_lead4_discovery_2018_2020_m1","profiles\xmll_lead4.set","17EB78F373D2692DC98FCBE9325E9ABA3736D2630E6F5582EC6EB28FBFDB51D1","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\xmll_lead4_discovery_2018_2020_m1.htm","10000","1095","2.9979","135.46","10135.46","1.35","0.45","0.45","1.5","1.78","8.66","57.89","76","4","46.02","0.46","37.34","46.02","2.94","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","xmll_lead5","4","independent_m15_xag_lead_lag_pullback","1","neighborhood_model1","xmll_lead5.set","older_2015_2017","2015.01.01","2017.12.31","1","configs\007_xmll_lead5_older_2015_2017_m1.ini","xmll_lead5_older_2015_2017_m1","profiles\xmll_lead5.set","7E4A6D73AABF2587F0ABA7EB4449898340AF29764BC75833D7FE28F4A3D02C82","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\xmll_lead5_older_2015_2017_m1.htm","10000","1095","2.9979","-25.83","9974.17","-0.26","-0.09","-0.09","0.94","-0.3","-1.6","43.53","85","6","123.85","1.24","117.41","123.85","-0.21","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","xmll_lead5","4","independent_m15_xag_lead_lag_pullback","1","neighborhood_model1","xmll_lead5.set","discovery_2018_2020","2018.01.01","2020.12.31","1","configs\008_xmll_lead5_discovery_2018_2020_m1.ini","xmll_lead5_discovery_2018_2020_m1","profiles\xmll_lead5.set","7E4A6D73AABF2587F0ABA7EB4449898340AF29764BC75833D7FE28F4A3D02C82","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\xmll_lead5_discovery_2018_2020_m1.htm","10000","1095","2.9979","-33.47","9966.53","-0.33","-0.11","-0.11","0.92","-0.38","-2.15","42.53","87","5","81.62","0.81","76.04","81.62","-0.41","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","xmll_lead6","5","independent_m15_xag_lead_lag_pullback","1","neighborhood_model1","xmll_lead6.set","older_2015_2017","2015.01.01","2017.12.31","1","configs\009_xmll_lead6_older_2015_2017_m1.ini","xmll_lead6_older_2015_2017_m1","profiles\xmll_lead6.set","8AD912FF49145E98A448AC6834A08D2B2A465D9672300F35BCCBDD251A75A2AF","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\xmll_lead6_older_2015_2017_m1.htm","10000","1095","2.9979","-39.13","9960.87","-0.39","-0.13","-0.13","0.92","-0.41","-2.16","43.75","96","6","169.1","1.69","148.81","169.1","-0.23","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","xmll_lead6","5","independent_m15_xag_lead_lag_pullback","1","neighborhood_model1","xmll_lead6.set","discovery_2018_2020","2018.01.01","2020.12.31","1","configs\010_xmll_lead6_discovery_2018_2020_m1.ini","xmll_lead6_discovery_2018_2020_m1","profiles\xmll_lead6.set","8AD912FF49145E98A448AC6834A08D2B2A465D9672300F35BCCBDD251A75A2AF","Frozen support gate: both eras must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades. Lead-4 must reproduce and at least one adjacent lead lookback (3 or 5) must pass before continuous testing; recent years remain closed.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\xmll_lead6_discovery_2018_2020_m1.htm","10000","1095","2.9979","-61.94","9938.06","-0.62","-0.21","-0.21","0.85","-0.67","-3.47","44.09","93","5","147.21","1.47","138.98","147.21","-0.42","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
