"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","xmll_lead2","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\001_xmll_lead2_older_2015_2017_m1.ini","True","xmll_lead2_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead2_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:55:00","2026-07-16T23:55:14"
"2","xmll_lead2","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\002_xmll_lead2_discovery_2018_2020_m1.ini","True","xmll_lead2_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead2_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:55:14","2026-07-16T23:55:28"
"3","xmll_lead3","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\003_xmll_lead3_older_2015_2017_m1.ini","True","xmll_lead3_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead3_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:55:28","2026-07-16T23:55:40"
"4","xmll_lead3","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\004_xmll_lead3_discovery_2018_2020_m1.ini","True","xmll_lead3_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead3_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:55:40","2026-07-16T23:55:55"
"5","xmll_lead4","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\005_xmll_lead4_older_2015_2017_m1.ini","True","xmll_lead4_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead4_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:55:55","2026-07-16T23:56:06"
"6","xmll_lead4","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\006_xmll_lead4_discovery_2018_2020_m1.ini","True","xmll_lead4_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead4_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:56:06","2026-07-16T23:56:19"
"7","xmll_lead5","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\007_xmll_lead5_older_2015_2017_m1.ini","True","xmll_lead5_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead5_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:56:19","2026-07-16T23:56:31"
"8","xmll_lead5","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\008_xmll_lead5_discovery_2018_2020_m1.ini","True","xmll_lead5_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead5_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:56:31","2026-07-16T23:56:43"
"9","xmll_lead6","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\009_xmll_lead6_older_2015_2017_m1.ini","True","xmll_lead6_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead6_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:56:43","2026-07-16T23:56:57"
"10","xmll_lead6","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_lead_lag_pullback_neighborhood_model1_package\configs\010_xmll_lead6_discovery_2018_2020_m1.ini","True","xmll_lead6_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmll_lead6_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:56:57","2026-07-16T23:57:09"
