"Candidate","OlderNetProfit","OlderAnnualizedReturnPercent","OlderProfitFactor","OlderDrawdownPercent","OlderTrades","OlderGatePass","NewerNetProfit","NewerAnnualizedReturnPercent","NewerProfitFactor","NewerDrawdownPercent","NewerTrades","NewerGatePass","AggregateValidationNetScore","WorstEraNetProfit","DiscoveryGatePass","ContinuousOpened","RecentDataOpened","Model4Opened","Verdict","Reason"
"xmrv_move32","-454.82","-1.52","0.66","5.08","244","False","-478.06","-1.59","0.76","5.02","380","False","-932.88","-478.06","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_move8","-489.81","-1.63","0.65","5.05","270","False","-393.96","-1.31","0.75","5.08","276","False","-883.77","-489.81","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_move12","-429.41","-1.43","0.51","5.15","156","False","-489.9","-1.63","0.63","5.07","233","False","-919.31","-489.9","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_tp200","-454.12","-1.51","0.73","5.05","330","False","-491.16","-1.64","0.71","5.05","305","False","-945.28","-491.16","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_xau040","-483.43","-1.61","0.73","5.02","363","False","-495.53","-1.65","0.69","5.06","293","False","-978.96","-495.53","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_turn010","-493.58","-1.65","0.72","5.04","346","False","-497.68","-1.66","0.7","5.07","302","False","-991.26","-497.68","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_corr050","-498.17","-1.66","0.72","5.07","358","False","-496.68","-1.66","0.7","5.06","296","False","-994.85","-498.17","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_base","-500.03","-1.67","0.73","5.02","367","False","-496.24","-1.66","0.7","5.06","298","False","-996.27","-500.03","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_xau000","-500.7","-1.67","0.74","5.03","378","False","-488.19","-1.63","0.71","5.07","305","False","-988.89","-500.7","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_div150","-477.96","-1.59","0.68","5.08","286","False","-501.92","-1.67","0.64","5.12","241","False","-979.88","-501.92","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_tp125","-500.26","-1.67","0.73","5.01","368","False","-502.36","-1.68","0.69","5.1","296","False","-1002.62","-502.36","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_no_turn","-503.1","-1.68","0.45","5.06","152","False","-492.42","-1.64","0.74","5.08","348","False","-995.52","-503.1","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_div075","-475.89","-1.59","0.63","5.07","240","False","-504.59","-1.68","0.63","5.07","241","False","-980.48","-504.59","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_move24","-403","-1.34","0.58","5.08","167","False","-505.79","-1.69","0.7","5.12","305","False","-908.79","-505.79","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_corr020","-506.44","-1.69","0.73","5.09","377","False","-494.61","-1.65","0.7","5.04","298","False","-1001.05","-506.44","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmrv_div125","-507.08","-1.69","0.69","5.1","324","False","-497.93","-1.66","0.66","5.08","260","False","-1005.01","-507.08","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
