"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","xmrv_base","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\001_xmrv_base_older_2015_2017_m1.ini","True","xmrv_base_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_base_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:56:44","2026-07-16T22:57:00"
"2","xmrv_base","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\002_xmrv_base_discovery_2018_2020_m1.ini","True","xmrv_base_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_base_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:57:00","2026-07-16T22:57:15"
"3","xmrv_move8","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\003_xmrv_move8_older_2015_2017_m1.ini","True","xmrv_move8_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_move8_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:57:15","2026-07-16T22:57:30"
"4","xmrv_move8","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\004_xmrv_move8_discovery_2018_2020_m1.ini","True","xmrv_move8_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_move8_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:57:30","2026-07-16T22:57:46"
"5","xmrv_move12","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\005_xmrv_move12_older_2015_2017_m1.ini","True","xmrv_move12_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_move12_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:57:46","2026-07-16T22:58:00"
"6","xmrv_move12","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\006_xmrv_move12_discovery_2018_2020_m1.ini","True","xmrv_move12_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_move12_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:58:00","2026-07-16T22:58:15"
"7","xmrv_move24","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\007_xmrv_move24_older_2015_2017_m1.ini","True","xmrv_move24_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_move24_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:58:15","2026-07-16T22:58:29"
"8","xmrv_move24","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\008_xmrv_move24_discovery_2018_2020_m1.ini","True","xmrv_move24_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_move24_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:58:29","2026-07-16T22:58:44"
"9","xmrv_move32","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\009_xmrv_move32_older_2015_2017_m1.ini","True","xmrv_move32_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_move32_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:58:44","2026-07-16T22:59:00"
"10","xmrv_move32","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\010_xmrv_move32_discovery_2018_2020_m1.ini","True","xmrv_move32_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_move32_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:59:00","2026-07-16T22:59:14"
"11","xmrv_div075","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\011_xmrv_div075_older_2015_2017_m1.ini","True","xmrv_div075_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_div075_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:59:14","2026-07-16T22:59:29"
"12","xmrv_div075","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\012_xmrv_div075_discovery_2018_2020_m1.ini","True","xmrv_div075_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_div075_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:59:29","2026-07-16T22:59:43"
"13","xmrv_div125","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\013_xmrv_div125_older_2015_2017_m1.ini","True","xmrv_div125_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_div125_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:59:43","2026-07-16T22:59:57"
"14","xmrv_div125","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\014_xmrv_div125_discovery_2018_2020_m1.ini","True","xmrv_div125_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_div125_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T22:59:57","2026-07-16T23:00:12"
"15","xmrv_div150","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\015_xmrv_div150_older_2015_2017_m1.ini","True","xmrv_div150_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_div150_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:00:12","2026-07-16T23:00:27"
"16","xmrv_div150","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\016_xmrv_div150_discovery_2018_2020_m1.ini","True","xmrv_div150_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_div150_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:00:27","2026-07-16T23:00:41"
"17","xmrv_corr020","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\017_xmrv_corr020_older_2015_2017_m1.ini","True","xmrv_corr020_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_corr020_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:00:41","2026-07-16T23:00:56"
"18","xmrv_corr020","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_relative_value_discovery_model1_package\configs\018_xmrv_corr020_discovery_2018_2020_m1.ini","True","xmrv_corr020_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmrv_corr020_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:00:56","2026-07-16T23:01:10"
