"Candidate","OlderNetProfit","OlderAnnualizedReturnPercent","OlderProfitFactor","OlderDrawdownPercent","OlderTrades","OlderGatePass","NewerNetProfit","NewerAnnualizedReturnPercent","NewerProfitFactor","NewerDrawdownPercent","NewerTrades","NewerGatePass","AggregateValidationNetScore","WorstEraNetProfit","DiscoveryGatePass","ContinuousOpened","RecentDataOpened","Model4Opened","Verdict","Reason"
"xmsc_move24","-120.51","-0.4","0.78","1.3","119","False","-136.94","-0.46","0.85","2.41","206","False","-257.45","-136.94","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_move32","-172.95","-0.58","0.67","1.82","111","False","-158.71","-0.53","0.82","2.6","192","False","-331.66","-172.95","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_buffer000","-176.49","-0.59","0.76","1.93","161","False","-179.9","-0.6","0.84","2.86","246","False","-356.39","-179.9","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_buffer010","-125.88","-0.42","0.77","1.44","124","False","-194.47","-0.65","0.79","2.82","192","False","-320.35","-194.47","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_tp200","-162.03","-0.54","0.75","1.76","141","False","-202.37","-0.68","0.8","3.24","212","False","-364.4","-202.37","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_move075","-159.85","-0.53","0.74","1.78","134","False","-206.16","-0.69","0.79","2.96","206","False","-366.01","-206.16","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_breakout40","-108.3","-0.36","0.72","1.27","85","False","-212.4","-0.71","0.71","2.76","152","False","-320.7","-212.4","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_breakout28","-106.09","-0.35","0.77","1.24","106","False","-213.77","-0.71","0.75","3","184","False","-319.86","-213.77","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_move8","-218.81","-0.73","0.57","2.3","105","False","-192.34","-0.64","0.78","2.85","184","False","-411.15","-218.81","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_corr050","-191.4","-0.64","0.69","2.1","135","False","-220.33","-0.73","0.77","3.06","204","False","-411.73","-220.33","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_breakout16","-226.69","-0.76","0.73","2.37","181","False","-65.71","-0.22","0.94","2.12","260","False","-292.4","-226.69","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_base","-182.87","-0.61","0.72","2.01","141","False","-231.39","-0.77","0.77","3.18","212","False","-414.26","-231.39","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_corr020","-148.9","-0.5","0.77","1.69","144","False","-244.54","-0.82","0.76","3.31","215","False","-393.44","-244.54","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_move025","-206.48","-0.69","0.69","2.25","144","False","-254.15","-0.85","0.75","3.4","218","False","-460.63","-254.15","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_breakout12","-270.27","-0.9","0.73","2.96","215","False","-66.23","-0.22","0.95","2.1","281","False","-336.5","-270.27","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
"xmsc_tp125","-154.49","-0.52","0.76","1.74","141","False","-275.81","-0.92","0.72","3.34","212","False","-430.3","-275.81","False","False","False","False","REJECTED_BROAD_ERAS","At least one disjoint era failed profit, PF, drawdown, or activity requirements."
