"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","xmsc_base","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\001_xmsc_base_older_2015_2017_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\001_xmsc_base_older_2015_2017_m1.ini","xmsc_base_older_2015_2017_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_base_older_2015_2017_m1","F0312073268BAD3B625459F8FD937A886135F33294B6A96F602DBA04EAE4BF9D","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"2","xmsc_base","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\002_xmsc_base_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\002_xmsc_base_discovery_2018_2020_m1.ini","xmsc_base_discovery_2018_2020_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_base_discovery_2018_2020_m1","F0312073268BAD3B625459F8FD937A886135F33294B6A96F602DBA04EAE4BF9D","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"3","xmsc_move8","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\003_xmsc_move8_older_2015_2017_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\003_xmsc_move8_older_2015_2017_m1.ini","xmsc_move8_older_2015_2017_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_move8_older_2015_2017_m1","EB92938996FBA0A950A1AD43BE3C29473BCCA8078F27656D4D017621D681CD1B","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"4","xmsc_move8","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\004_xmsc_move8_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\004_xmsc_move8_discovery_2018_2020_m1.ini","xmsc_move8_discovery_2018_2020_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_move8_discovery_2018_2020_m1","EB92938996FBA0A950A1AD43BE3C29473BCCA8078F27656D4D017621D681CD1B","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"5","xmsc_move24","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\005_xmsc_move24_older_2015_2017_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\005_xmsc_move24_older_2015_2017_m1.ini","xmsc_move24_older_2015_2017_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_move24_older_2015_2017_m1","073BDD0115F126EF419F358495F19C248DDBC5CFE99A29434D06F514049717F0","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"6","xmsc_move24","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\006_xmsc_move24_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\006_xmsc_move24_discovery_2018_2020_m1.ini","xmsc_move24_discovery_2018_2020_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_move24_discovery_2018_2020_m1","073BDD0115F126EF419F358495F19C248DDBC5CFE99A29434D06F514049717F0","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"7","xmsc_move32","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\007_xmsc_move32_older_2015_2017_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\007_xmsc_move32_older_2015_2017_m1.ini","xmsc_move32_older_2015_2017_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_move32_older_2015_2017_m1","1AF0008555E09F05EF51AD8C8419B0D5E154526B5917A0F5C6247799E6095F0B","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"8","xmsc_move32","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\008_xmsc_move32_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\008_xmsc_move32_discovery_2018_2020_m1.ini","xmsc_move32_discovery_2018_2020_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_move32_discovery_2018_2020_m1","1AF0008555E09F05EF51AD8C8419B0D5E154526B5917A0F5C6247799E6095F0B","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"9","xmsc_breakout12","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\009_xmsc_breakout12_older_2015_2017_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\009_xmsc_breakout12_older_2015_2017_m1.ini","xmsc_breakout12_older_2015_2017_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_breakout12_older_2015_2017_m1","524A017820718A03BB15D78774C2C9ABC1E6103FD3571476ED36250C36A3A7D1","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"10","xmsc_breakout12","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\010_xmsc_breakout12_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\010_xmsc_breakout12_discovery_2018_2020_m1.ini","xmsc_breakout12_discovery_2018_2020_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_breakout12_discovery_2018_2020_m1","524A017820718A03BB15D78774C2C9ABC1E6103FD3571476ED36250C36A3A7D1","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
