"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","xmsc_base","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\001_xmsc_base_older_2015_2017_m1.ini","True","xmsc_base_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_base_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:23:20","2026-07-16T23:23:36"
"2","xmsc_base","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\002_xmsc_base_discovery_2018_2020_m1.ini","True","xmsc_base_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_base_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:23:36","2026-07-16T23:23:50"
"3","xmsc_move8","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\003_xmsc_move8_older_2015_2017_m1.ini","True","xmsc_move8_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_move8_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:23:50","2026-07-16T23:24:05"
"4","xmsc_move8","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\004_xmsc_move8_discovery_2018_2020_m1.ini","True","xmsc_move8_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_move8_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:24:05","2026-07-16T23:24:19"
"5","xmsc_move24","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\005_xmsc_move24_older_2015_2017_m1.ini","True","xmsc_move24_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_move24_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:24:19","2026-07-16T23:24:33"
"6","xmsc_move24","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\006_xmsc_move24_discovery_2018_2020_m1.ini","True","xmsc_move24_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_move24_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:24:33","2026-07-16T23:24:48"
"7","xmsc_move32","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\007_xmsc_move32_older_2015_2017_m1.ini","True","xmsc_move32_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_move32_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:24:48","2026-07-16T23:25:02"
"8","xmsc_move32","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\008_xmsc_move32_discovery_2018_2020_m1.ini","True","xmsc_move32_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_move32_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:25:02","2026-07-16T23:25:17"
"9","xmsc_breakout12","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\009_xmsc_breakout12_older_2015_2017_m1.ini","True","xmsc_breakout12_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_breakout12_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:25:17","2026-07-16T23:25:31"
"10","xmsc_breakout12","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\010_xmsc_breakout12_discovery_2018_2020_m1.ini","True","xmsc_breakout12_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_breakout12_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:25:31","2026-07-16T23:25:45"
"11","xmsc_breakout16","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\011_xmsc_breakout16_older_2015_2017_m1.ini","True","xmsc_breakout16_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_breakout16_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:25:45","2026-07-16T23:26:00"
"12","xmsc_breakout16","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\012_xmsc_breakout16_discovery_2018_2020_m1.ini","True","xmsc_breakout16_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_breakout16_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:26:00","2026-07-16T23:26:14"
"13","xmsc_breakout28","older_2015_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\013_xmsc_breakout28_older_2015_2017_m1.ini","True","xmsc_breakout28_older_2015_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_breakout28_older_2015_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:26:14","2026-07-16T23:26:29"
"14","xmsc_breakout28","discovery_2018_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\014_xmsc_breakout28_discovery_2018_2020_m1.ini","True","xmsc_breakout28_discovery_2018_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\xmsc_breakout28_discovery_2018_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T23:26:29","2026-07-16T23:26:44"
