"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","BoxLookbackBars","MaximumBoxRangeATR","MaximumAverageBoxBarRangeATR","MinimumExpansionRatio","MinimumBreakBodyPercent","TakeProfitR","UseVolume","UseTrend","UseADX","StopRule"
"1","m30ce_center","1","independent_m30_compression_expansion","1","discovery_model1","m30ce_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_m30ce_center_older_2015_2018_m1.ini","m30ce_center_older_2015_2018_m1","profiles\m30ce_center.set","5EDFBBAC894533CEA283495C72E9F8B9A0697AA60862279BEEBB8DFB6196F06B","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","10","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"2","m30ce_center","1","independent_m30_compression_expansion","1","discovery_model1","m30ce_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_m30ce_center_discovery_2019_2020_m1.ini","m30ce_center_discovery_2019_2020_m1","profiles\m30ce_center.set","5EDFBBAC894533CEA283495C72E9F8B9A0697AA60862279BEEBB8DFB6196F06B","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","10","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"3","m30ce_center","1","independent_m30_compression_expansion","1","discovery_model1","m30ce_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_m30ce_center_continuous_2015_2020_m1.ini","m30ce_center_continuous_2015_2020_m1","profiles\m30ce_center.set","5EDFBBAC894533CEA283495C72E9F8B9A0697AA60862279BEEBB8DFB6196F06B","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","10","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"4","m30ce_box8","2","independent_m30_compression_expansion","1","discovery_model1","m30ce_box8.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_m30ce_box8_older_2015_2018_m1.ini","m30ce_box8_older_2015_2018_m1","profiles\m30ce_box8.set","DE3AC21300E21CDC4147FF97ACC58820A3A43CA9EE0BF24B784583B2CC7F586D","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","8","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"5","m30ce_box8","2","independent_m30_compression_expansion","1","discovery_model1","m30ce_box8.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_m30ce_box8_discovery_2019_2020_m1.ini","m30ce_box8_discovery_2019_2020_m1","profiles\m30ce_box8.set","DE3AC21300E21CDC4147FF97ACC58820A3A43CA9EE0BF24B784583B2CC7F586D","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","8","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"6","m30ce_box8","2","independent_m30_compression_expansion","1","discovery_model1","m30ce_box8.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_m30ce_box8_continuous_2015_2020_m1.ini","m30ce_box8_continuous_2015_2020_m1","profiles\m30ce_box8.set","DE3AC21300E21CDC4147FF97ACC58820A3A43CA9EE0BF24B784583B2CC7F586D","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","8","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"7","m30ce_box12","3","independent_m30_compression_expansion","1","discovery_model1","m30ce_box12.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_m30ce_box12_older_2015_2018_m1.ini","m30ce_box12_older_2015_2018_m1","profiles\m30ce_box12.set","126FC286636FED25052CD40E42CA01A59916AA49B0C7EE86883B803B370D30B2","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","12","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"8","m30ce_box12","3","independent_m30_compression_expansion","1","discovery_model1","m30ce_box12.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_m30ce_box12_discovery_2019_2020_m1.ini","m30ce_box12_discovery_2019_2020_m1","profiles\m30ce_box12.set","126FC286636FED25052CD40E42CA01A59916AA49B0C7EE86883B803B370D30B2","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","12","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"9","m30ce_box12","3","independent_m30_compression_expansion","1","discovery_model1","m30ce_box12.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_m30ce_box12_continuous_2015_2020_m1.ini","m30ce_box12_continuous_2015_2020_m1","profiles\m30ce_box12.set","126FC286636FED25052CD40E42CA01A59916AA49B0C7EE86883B803B370D30B2","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","12","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"10","m30ce_boxmax150","4","independent_m30_compression_expansion","1","discovery_model1","m30ce_boxmax150.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_m30ce_boxmax150_older_2015_2018_m1.ini","m30ce_boxmax150_older_2015_2018_m1","profiles\m30ce_boxmax150.set","2ED905B8B172D6C33DB2C7784976CD19D72FA93F32B67B271F9855E30305315C","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","10","1.50","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"11","m30ce_boxmax150","4","independent_m30_compression_expansion","1","discovery_model1","m30ce_boxmax150.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_m30ce_boxmax150_discovery_2019_2020_m1.ini","m30ce_boxmax150_discovery_2019_2020_m1","profiles\m30ce_boxmax150.set","2ED905B8B172D6C33DB2C7784976CD19D72FA93F32B67B271F9855E30305315C","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","10","1.50","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"12","m30ce_boxmax150","4","independent_m30_compression_expansion","1","discovery_model1","m30ce_boxmax150.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_m30ce_boxmax150_continuous_2015_2020_m1.ini","m30ce_boxmax150_continuous_2015_2020_m1","profiles\m30ce_boxmax150.set","2ED905B8B172D6C33DB2C7784976CD19D72FA93F32B67B271F9855E30305315C","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","10","1.50","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"13","m30ce_boxmax210","5","independent_m30_compression_expansion","1","discovery_model1","m30ce_boxmax210.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_m30ce_boxmax210_older_2015_2018_m1.ini","m30ce_boxmax210_older_2015_2018_m1","profiles\m30ce_boxmax210.set","B0AD5B3C17F5A6B6AF1AF47FEE09FC22DC9B91EBBB4A1D276B76299435014E03","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","10","2.10","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"14","m30ce_boxmax210","5","independent_m30_compression_expansion","1","discovery_model1","m30ce_boxmax210.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_m30ce_boxmax210_discovery_2019_2020_m1.ini","m30ce_boxmax210_discovery_2019_2020_m1","profiles\m30ce_boxmax210.set","B0AD5B3C17F5A6B6AF1AF47FEE09FC22DC9B91EBBB4A1D276B76299435014E03","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","10","2.10","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
"15","m30ce_boxmax210","5","independent_m30_compression_expansion","1","discovery_model1","m30ce_boxmax210.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_m30ce_boxmax210_continuous_2015_2020_m1.ini","m30ce_boxmax210_continuous_2015_2020_m1","profiles\m30ce_boxmax210.set","B0AD5B3C17F5A6B6AF1AF47FEE09FC22DC9B91EBBB4A1D276B76299435014E03","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","30","10","2.10","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026."
