"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BoxLookbackBars","MaximumBoxRangeATR","MaximumAverageBoxBarRangeATR","MinimumExpansionRatio","MinimumBreakBodyPercent","TakeProfitR","UseVolume","UseTrend","UseADX","StopRule","Status","ReportPath","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","m30ce_center","1","independent_m30_compression_expansion","discovery_model1","m30ce_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_m30ce_center_older_2015_2018_m1.ini","m30ce_center_older_2015_2018_m1","profiles\m30ce_center.set","5EDFBBAC894533CEA283495C72E9F8B9A0697AA60862279BEEBB8DFB6196F06B","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_center_older_2015_2018_m1.htm","C3A9567B98F2C0148145AAD715B3BEFD97E289E2AAE9A5000BE84E274CBA8CC0","True","FIRST_VALID_EXPORT","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2","m30ce_center","1","independent_m30_compression_expansion","discovery_model1","m30ce_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_m30ce_center_discovery_2019_2020_m1.ini","m30ce_center_discovery_2019_2020_m1","profiles\m30ce_center.set","5EDFBBAC894533CEA283495C72E9F8B9A0697AA60862279BEEBB8DFB6196F06B","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_center_discovery_2019_2020_m1.htm","84D64B5ECA9FFA579EC86DA4B8A6CAACC1CC8FB684C214A810886781B05AD43D","True","FIRST_VALID_EXPORT","10000","730","1.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"3","m30ce_center","1","independent_m30_compression_expansion","discovery_model1","m30ce_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_m30ce_center_continuous_2015_2020_m1.ini","m30ce_center_continuous_2015_2020_m1","profiles\m30ce_center.set","5EDFBBAC894533CEA283495C72E9F8B9A0697AA60862279BEEBB8DFB6196F06B","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_center_continuous_2015_2020_m1.htm","03FA79A3B4FB651FA5684C65902B9284829C6CF3503E742326B246CAB1DDA443","True","FIRST_VALID_EXPORT","10000","2191","5.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"4","m30ce_box8","2","independent_m30_compression_expansion","discovery_model1","m30ce_box8.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_m30ce_box8_older_2015_2018_m1.ini","m30ce_box8_older_2015_2018_m1","profiles\m30ce_box8.set","DE3AC21300E21CDC4147FF97ACC58820A3A43CA9EE0BF24B784583B2CC7F586D","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","8","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_box8_older_2015_2018_m1.htm","E248A0F459C182546E6F6A833326AECED86E1C976838677B59A00D1277EFB454","True","FIRST_VALID_EXPORT","10000","1460","3.9973","6.66","10006.66","0.07","0.02","0.02","1.77","3.33","0.13","50","2","1","18.96","0.19","8.64","18.96","0.3513"
"5","m30ce_box8","2","independent_m30_compression_expansion","discovery_model1","m30ce_box8.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_m30ce_box8_discovery_2019_2020_m1.ini","m30ce_box8_discovery_2019_2020_m1","profiles\m30ce_box8.set","DE3AC21300E21CDC4147FF97ACC58820A3A43CA9EE0BF24B784583B2CC7F586D","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","8","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_box8_discovery_2019_2020_m1.htm","BEA499AAE54CB76534CFB2A4824B10C68C9609E2F40C2C9E695BB41F38F035C5","True","FIRST_VALID_EXPORT","10000","730","1.9986","41.51","10041.51","0.42","0.21","0.21","5.16","8.3","1.72","80","5","1","14.7","0.15","9.99","14.7","2.8238"
"6","m30ce_box8","2","independent_m30_compression_expansion","discovery_model1","m30ce_box8.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_m30ce_box8_continuous_2015_2020_m1.ini","m30ce_box8_continuous_2015_2020_m1","profiles\m30ce_box8.set","DE3AC21300E21CDC4147FF97ACC58820A3A43CA9EE0BF24B784583B2CC7F586D","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","8","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_box8_continuous_2015_2020_m1.htm","5A75776F0E1F5D941FEDBC73E419218F99408B0B3F9EB2BCB356AB002A2E624B","True","FIRST_VALID_EXPORT","10000","2191","5.9986","48.17","10048.17","0.48","0.08","0.08","3.59","6.88","2.44","71.43","7","1","22.28","0.22","9.99","22.28","2.162"
"7","m30ce_box12","3","independent_m30_compression_expansion","discovery_model1","m30ce_box12.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_m30ce_box12_older_2015_2018_m1.ini","m30ce_box12_older_2015_2018_m1","profiles\m30ce_box12.set","126FC286636FED25052CD40E42CA01A59916AA49B0C7EE86883B803B370D30B2","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","12","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_box12_older_2015_2018_m1.htm","DA08817053D3354EF3B35A0A7FFAD3ABE6853358C3603A1E68A8E33021B77728","True","FIRST_VALID_EXPORT","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"8","m30ce_box12","3","independent_m30_compression_expansion","discovery_model1","m30ce_box12.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_m30ce_box12_discovery_2019_2020_m1.ini","m30ce_box12_discovery_2019_2020_m1","profiles\m30ce_box12.set","126FC286636FED25052CD40E42CA01A59916AA49B0C7EE86883B803B370D30B2","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","12","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_box12_discovery_2019_2020_m1.htm","13C51C7C04C743F984F2BD47E48A05A6DF0DDF3230CF1250636FE8808D913136","True","REPRODUCED_AFTER_EMPTY_EXPORT","10000","730","1.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"9","m30ce_box12","3","independent_m30_compression_expansion","discovery_model1","m30ce_box12.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_m30ce_box12_continuous_2015_2020_m1.ini","m30ce_box12_continuous_2015_2020_m1","profiles\m30ce_box12.set","126FC286636FED25052CD40E42CA01A59916AA49B0C7EE86883B803B370D30B2","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","12","1.80","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_box12_continuous_2015_2020_m1.htm","096B2A0D37ACEF6CB9FA978975BA0ED89A091AD7E1016224A20B8E2A3456D0AB","True","FIRST_VALID_EXPORT","10000","2191","5.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10","m30ce_boxmax150","4","independent_m30_compression_expansion","discovery_model1","m30ce_boxmax150.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_m30ce_boxmax150_older_2015_2018_m1.ini","m30ce_boxmax150_older_2015_2018_m1","profiles\m30ce_boxmax150.set","2ED905B8B172D6C33DB2C7784976CD19D72FA93F32B67B271F9855E30305315C","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","1.50","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_boxmax150_older_2015_2018_m1.htm","738CA94A7DE352B462E415FEE726672087246D7D744D0C4AACFE48430C01A53C","True","FIRST_VALID_EXPORT","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
