"Candidate","OlderNetProfit","OlderAnnualizedReturnPercent","OlderProfitFactor","OlderDrawdownPercent","OlderTrades","OlderGatePass","NewerNetProfit","NewerAnnualizedReturnPercent","NewerProfitFactor","NewerDrawdownPercent","NewerTrades","NewerGatePass","AggregateValidationNetScore","WorstEraNetProfit","TotalRestartWindowTrades","DiscoveryGatePass","ContinuousOpened","RecentDataOpened","Model4Opened","Verdict","Reason"
"m5fbt_b18_struct_r075","-57.71","-0.19","0.11","0.64","8","False","-27.4","-0.09","0.75","0.69","20","False","-85.11","-57.71","28","False","False","False","False","REJECTED_BROAD_ERAS","The native M5 failed-breakout shape failed profit, PF, activity, or multiple discovery requirements."
"m5fbt_b18_fixed_r150","-124.88","-0.42","0.25","1.25","22","False","-22.21","-0.07","0.86","0.76","29","False","-147.09","-124.88","51","False","False","False","False","REJECTED_BROAD_ERAS","The native M5 failed-breakout shape failed profit, PF, activity, or multiple discovery requirements."
"m5fbt_b16_struct_r075","-112.77","-0.38","0.33","1.39","24","False","-39","-0.13","0.76","0.81","33","False","-151.77","-112.77","57","False","False","False","False","REJECTED_BROAD_ERAS","The native M5 failed-breakout shape failed profit, PF, activity, or multiple discovery requirements."
"m5fbt_b18_fixed_r125","-120.69","-0.4","0.28","1.21","22","False","-45.76","-0.15","0.72","0.91","29","False","-166.45","-120.69","51","False","False","False","False","REJECTED_BROAD_ERAS","The native M5 failed-breakout shape failed profit, PF, activity, or multiple discovery requirements."
"m5fbt_b18_fixed_r200","-110.93","-0.37","0.34","1.11","22","False","-62.75","-0.21","0.62","1.09","29","False","-173.68","-110.93","51","False","False","False","False","REJECTED_BROAD_ERAS","The native M5 failed-breakout shape failed profit, PF, activity, or multiple discovery requirements."
"m5fbt_b16_fixed_r125","-205.23","-0.68","0.35","2.37","44","False","-39.33","-0.13","0.85","1.08","50","False","-244.56","-205.23","94","False","False","False","False","REJECTED_BROAD_ERAS","The native M5 failed-breakout shape failed profit, PF, activity, or multiple discovery requirements."
"m5fbt_b16_fixed_r150","-210.34","-0.7","0.34","2.38","44","False","-35.93","-0.12","0.86","1.16","50","False","-246.27","-210.34","94","False","False","False","False","REJECTED_BROAD_ERAS","The native M5 failed-breakout shape failed profit, PF, activity, or multiple discovery requirements."
"m5fbt_b16_fixed_r200","-196.59","-0.66","0.38","2.21","44","False","-106.99","-0.36","0.58","1.53","50","False","-303.58","-196.59","94","False","False","False","False","REJECTED_BROAD_ERAS","The native M5 failed-breakout shape failed profit, PF, activity, or multiple discovery requirements."
"m5fbt_b14_struct_r075","-245.61","-0.82","0.33","2.79","52","False","-239.67","-0.8","0.45","2.67","71","False","-485.28","-245.61","123","False","False","False","False","REJECTED_BROAD_ERAS","The native M5 failed-breakout shape failed profit, PF, activity, or multiple discovery requirements."
"m5fbt_b14_fixed_r150","-312.82","-1.04","0.51","3.66","98","False","-243.37","-0.81","0.6","2.84","103","False","-556.19","-312.82","201","False","False","False","False","REJECTED_BROAD_ERAS","The native M5 failed-breakout shape failed profit, PF, activity, or multiple discovery requirements."
"m5fbt_b14_fixed_r125","-313.54","-1.05","0.5","3.86","98","False","-247.69","-0.83","0.59","2.88","103","False","-561.23","-313.54","201","False","False","False","False","REJECTED_BROAD_ERAS","The native M5 failed-breakout shape failed profit, PF, activity, or multiple discovery requirements."
"m5fbt_b14_fixed_r200","-317.37","-1.06","0.5","3.83","97","False","-309.5","-1.03","0.49","3.46","103","False","-626.87","-317.37","200","False","False","False","False","REJECTED_BROAD_ERAS","The native M5 failed-breakout shape failed profit, PF, activity, or multiple discovery requirements."
