"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","m5fbt_b14_struct_r075","discovery_model1","Independent M5 failed-breakout discovery Model1","older_2015_2017","1","10000","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\001_m5fbt_b14_struct_r075_older_2015_2017_m1.ini","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\001_m5fbt_b14_struct_r075_older_2015_2017_m1.ini","m5fbt_b14_struct_r075_older_2015_2017_m1","outputs\independent_m5_failed_breakout_discovery_model1_package\reports_here\m5fbt_b14_struct_r075_older_2015_2017_m1","35BB5FE62A5844328BE3CE6CBBFA3613D7F8FDF4A5203774CF165C44BD2A2B83","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"2","m5fbt_b14_struct_r075","discovery_model1","Independent M5 failed-breakout discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\002_m5fbt_b14_struct_r075_discovery_2018_2020_m1.ini","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\002_m5fbt_b14_struct_r075_discovery_2018_2020_m1.ini","m5fbt_b14_struct_r075_discovery_2018_2020_m1","outputs\independent_m5_failed_breakout_discovery_model1_package\reports_here\m5fbt_b14_struct_r075_discovery_2018_2020_m1","35BB5FE62A5844328BE3CE6CBBFA3613D7F8FDF4A5203774CF165C44BD2A2B83","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"3","m5fbt_b16_struct_r075","discovery_model1","Independent M5 failed-breakout discovery Model1","older_2015_2017","1","10000","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\003_m5fbt_b16_struct_r075_older_2015_2017_m1.ini","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\003_m5fbt_b16_struct_r075_older_2015_2017_m1.ini","m5fbt_b16_struct_r075_older_2015_2017_m1","outputs\independent_m5_failed_breakout_discovery_model1_package\reports_here\m5fbt_b16_struct_r075_older_2015_2017_m1","9511177A10CADE8237359FE8EC86529C1C3F94EB24A92C4C8C2CC0078C487573","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"4","m5fbt_b16_struct_r075","discovery_model1","Independent M5 failed-breakout discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\004_m5fbt_b16_struct_r075_discovery_2018_2020_m1.ini","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\004_m5fbt_b16_struct_r075_discovery_2018_2020_m1.ini","m5fbt_b16_struct_r075_discovery_2018_2020_m1","outputs\independent_m5_failed_breakout_discovery_model1_package\reports_here\m5fbt_b16_struct_r075_discovery_2018_2020_m1","9511177A10CADE8237359FE8EC86529C1C3F94EB24A92C4C8C2CC0078C487573","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"5","m5fbt_b18_struct_r075","discovery_model1","Independent M5 failed-breakout discovery Model1","older_2015_2017","1","10000","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\005_m5fbt_b18_struct_r075_older_2015_2017_m1.ini","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\005_m5fbt_b18_struct_r075_older_2015_2017_m1.ini","m5fbt_b18_struct_r075_older_2015_2017_m1","outputs\independent_m5_failed_breakout_discovery_model1_package\reports_here\m5fbt_b18_struct_r075_older_2015_2017_m1","B1CB82F5ACC0B5D024FD6DE722BCEDCD4CCE352FB7BBB336EE87EC6D46829568","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"6","m5fbt_b18_struct_r075","discovery_model1","Independent M5 failed-breakout discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\006_m5fbt_b18_struct_r075_discovery_2018_2020_m1.ini","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\006_m5fbt_b18_struct_r075_discovery_2018_2020_m1.ini","m5fbt_b18_struct_r075_discovery_2018_2020_m1","outputs\independent_m5_failed_breakout_discovery_model1_package\reports_here\m5fbt_b18_struct_r075_discovery_2018_2020_m1","B1CB82F5ACC0B5D024FD6DE722BCEDCD4CCE352FB7BBB336EE87EC6D46829568","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"7","m5fbt_b14_fixed_r125","discovery_model1","Independent M5 failed-breakout discovery Model1","older_2015_2017","1","10000","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\007_m5fbt_b14_fixed_r125_older_2015_2017_m1.ini","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\007_m5fbt_b14_fixed_r125_older_2015_2017_m1.ini","m5fbt_b14_fixed_r125_older_2015_2017_m1","outputs\independent_m5_failed_breakout_discovery_model1_package\reports_here\m5fbt_b14_fixed_r125_older_2015_2017_m1","13C8972140B59DB9E94941F0222042A48E3863F0B82C803956A2CDB30F67C594","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"8","m5fbt_b14_fixed_r125","discovery_model1","Independent M5 failed-breakout discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\008_m5fbt_b14_fixed_r125_discovery_2018_2020_m1.ini","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\008_m5fbt_b14_fixed_r125_discovery_2018_2020_m1.ini","m5fbt_b14_fixed_r125_discovery_2018_2020_m1","outputs\independent_m5_failed_breakout_discovery_model1_package\reports_here\m5fbt_b14_fixed_r125_discovery_2018_2020_m1","13C8972140B59DB9E94941F0222042A48E3863F0B82C803956A2CDB30F67C594","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"9","m5fbt_b14_fixed_r150","discovery_model1","Independent M5 failed-breakout discovery Model1","older_2015_2017","1","10000","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\009_m5fbt_b14_fixed_r150_older_2015_2017_m1.ini","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\009_m5fbt_b14_fixed_r150_older_2015_2017_m1.ini","m5fbt_b14_fixed_r150_older_2015_2017_m1","outputs\independent_m5_failed_breakout_discovery_model1_package\reports_here\m5fbt_b14_fixed_r150_older_2015_2017_m1","D6B63A8CC13E4B5A65F6F3CEB79A3E7B9A08ADD6ED89B1F626E70CFE3A8A2259","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"10","m5fbt_b14_fixed_r150","discovery_model1","Independent M5 failed-breakout discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\010_m5fbt_b14_fixed_r150_discovery_2018_2020_m1.ini","outputs\independent_m5_failed_breakout_discovery_model1_package\configs\010_m5fbt_b14_fixed_r150_discovery_2018_2020_m1.ini","m5fbt_b14_fixed_r150_discovery_2018_2020_m1","outputs\independent_m5_failed_breakout_discovery_model1_package\reports_here\m5fbt_b14_fixed_r150_discovery_2018_2020_m1","D6B63A8CC13E4B5A65F6F3CEB79A3E7B9A08ADD6ED89B1F626E70CFE3A8A2259","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
