"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","mtsm_m63_e10_r200","discovery_model1","Independent multiscale momentum discovery Model1","older_2015_2018","1","10000","outputs\independent_multiscale_momentum_discovery_model1_package\configs\001_mtsm_m63_e10_r200_older_2015_2018_m1.ini","outputs\independent_multiscale_momentum_discovery_model1_package\configs\001_mtsm_m63_e10_r200_older_2015_2018_m1.ini","mtsm_m63_e10_r200_older_2015_2018_m1","outputs\independent_multiscale_momentum_discovery_model1_package\reports_here\mtsm_m63_e10_r200_older_2015_2018_m1","A8E83C903F24EE4066D6A6BCCD3E1C788D4842C780593649C28F3057AEF5929C","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"2","mtsm_m63_e10_r200","discovery_model1","Independent multiscale momentum discovery Model1","discovery_2019_2020","1","10000","outputs\independent_multiscale_momentum_discovery_model1_package\configs\002_mtsm_m63_e10_r200_discovery_2019_2020_m1.ini","outputs\independent_multiscale_momentum_discovery_model1_package\configs\002_mtsm_m63_e10_r200_discovery_2019_2020_m1.ini","mtsm_m63_e10_r200_discovery_2019_2020_m1","outputs\independent_multiscale_momentum_discovery_model1_package\reports_here\mtsm_m63_e10_r200_discovery_2019_2020_m1","A8E83C903F24EE4066D6A6BCCD3E1C788D4842C780593649C28F3057AEF5929C","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"3","mtsm_m63_e10_r200","discovery_model1","Independent multiscale momentum discovery Model1","continuous_2015_2020","1","10000","outputs\independent_multiscale_momentum_discovery_model1_package\configs\003_mtsm_m63_e10_r200_continuous_2015_2020_m1.ini","outputs\independent_multiscale_momentum_discovery_model1_package\configs\003_mtsm_m63_e10_r200_continuous_2015_2020_m1.ini","mtsm_m63_e10_r200_continuous_2015_2020_m1","outputs\independent_multiscale_momentum_discovery_model1_package\reports_here\mtsm_m63_e10_r200_continuous_2015_2020_m1","A8E83C903F24EE4066D6A6BCCD3E1C788D4842C780593649C28F3057AEF5929C","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"4","mtsm_m126_e10_r200","discovery_model1","Independent multiscale momentum discovery Model1","older_2015_2018","1","10000","outputs\independent_multiscale_momentum_discovery_model1_package\configs\004_mtsm_m126_e10_r200_older_2015_2018_m1.ini","outputs\independent_multiscale_momentum_discovery_model1_package\configs\004_mtsm_m126_e10_r200_older_2015_2018_m1.ini","mtsm_m126_e10_r200_older_2015_2018_m1","outputs\independent_multiscale_momentum_discovery_model1_package\reports_here\mtsm_m126_e10_r200_older_2015_2018_m1","278B08BD964CF8DBCBD8AE2A21849DD7CCDAB2B39A4787B765D436A09EE3109F","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"5","mtsm_m126_e10_r200","discovery_model1","Independent multiscale momentum discovery Model1","discovery_2019_2020","1","10000","outputs\independent_multiscale_momentum_discovery_model1_package\configs\005_mtsm_m126_e10_r200_discovery_2019_2020_m1.ini","outputs\independent_multiscale_momentum_discovery_model1_package\configs\005_mtsm_m126_e10_r200_discovery_2019_2020_m1.ini","mtsm_m126_e10_r200_discovery_2019_2020_m1","outputs\independent_multiscale_momentum_discovery_model1_package\reports_here\mtsm_m126_e10_r200_discovery_2019_2020_m1","278B08BD964CF8DBCBD8AE2A21849DD7CCDAB2B39A4787B765D436A09EE3109F","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"6","mtsm_m126_e10_r200","discovery_model1","Independent multiscale momentum discovery Model1","continuous_2015_2020","1","10000","outputs\independent_multiscale_momentum_discovery_model1_package\configs\006_mtsm_m126_e10_r200_continuous_2015_2020_m1.ini","outputs\independent_multiscale_momentum_discovery_model1_package\configs\006_mtsm_m126_e10_r200_continuous_2015_2020_m1.ini","mtsm_m126_e10_r200_continuous_2015_2020_m1","outputs\independent_multiscale_momentum_discovery_model1_package\reports_here\mtsm_m126_e10_r200_continuous_2015_2020_m1","278B08BD964CF8DBCBD8AE2A21849DD7CCDAB2B39A4787B765D436A09EE3109F","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"7","mtsm_m252_e10_r200","discovery_model1","Independent multiscale momentum discovery Model1","older_2015_2018","1","10000","outputs\independent_multiscale_momentum_discovery_model1_package\configs\007_mtsm_m252_e10_r200_older_2015_2018_m1.ini","outputs\independent_multiscale_momentum_discovery_model1_package\configs\007_mtsm_m252_e10_r200_older_2015_2018_m1.ini","mtsm_m252_e10_r200_older_2015_2018_m1","outputs\independent_multiscale_momentum_discovery_model1_package\reports_here\mtsm_m252_e10_r200_older_2015_2018_m1","F8DC5B345F317AB0E212977658169B681BD6B766067BA60D73F6DF3A9A628994","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"8","mtsm_m252_e10_r200","discovery_model1","Independent multiscale momentum discovery Model1","discovery_2019_2020","1","10000","outputs\independent_multiscale_momentum_discovery_model1_package\configs\008_mtsm_m252_e10_r200_discovery_2019_2020_m1.ini","outputs\independent_multiscale_momentum_discovery_model1_package\configs\008_mtsm_m252_e10_r200_discovery_2019_2020_m1.ini","mtsm_m252_e10_r200_discovery_2019_2020_m1","outputs\independent_multiscale_momentum_discovery_model1_package\reports_here\mtsm_m252_e10_r200_discovery_2019_2020_m1","F8DC5B345F317AB0E212977658169B681BD6B766067BA60D73F6DF3A9A628994","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"9","mtsm_m252_e10_r200","discovery_model1","Independent multiscale momentum discovery Model1","continuous_2015_2020","1","10000","outputs\independent_multiscale_momentum_discovery_model1_package\configs\009_mtsm_m252_e10_r200_continuous_2015_2020_m1.ini","outputs\independent_multiscale_momentum_discovery_model1_package\configs\009_mtsm_m252_e10_r200_continuous_2015_2020_m1.ini","mtsm_m252_e10_r200_continuous_2015_2020_m1","outputs\independent_multiscale_momentum_discovery_model1_package\reports_here\mtsm_m252_e10_r200_continuous_2015_2020_m1","F8DC5B345F317AB0E212977658169B681BD6B766067BA60D73F6DF3A9A628994","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"10","mtsm_m126_e6_r200","discovery_model1","Independent multiscale momentum discovery Model1","older_2015_2018","1","10000","outputs\independent_multiscale_momentum_discovery_model1_package\configs\010_mtsm_m126_e6_r200_older_2015_2018_m1.ini","outputs\independent_multiscale_momentum_discovery_model1_package\configs\010_mtsm_m126_e6_r200_older_2015_2018_m1.ini","mtsm_m126_e6_r200_older_2015_2018_m1","outputs\independent_multiscale_momentum_discovery_model1_package\reports_here\mtsm_m126_e6_r200_older_2015_2018_m1","8D5F5899684A6F1BD5D4A7CF32DE3136C57DDECC7B32B77529244F0210755628","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
