"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","mtsm_m63_e10_r200","1","independent_multiscale_momentum","1","discovery_model1","mtsm_m63_e10_r200.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\001_mtsm_m63_e10_r200_older_2015_2018_m1.ini","mtsm_m63_e10_r200_older_2015_2018_m1","profiles\mtsm_m63_e10_r200.set","A8E83C903F24EE4066D6A6BCCD3E1C788D4842C780593649C28F3057AEF5929C","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\mtsm_m63_e10_r200_older_2015_2018_m1.htm","10000","1460","3.9973","2.35","10002.35","0.02","0.01","0.01","1","0.01","0.02","38.14","312","9","209.1","2.09","200.52","209.1","0.01","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","mtsm_m63_e10_r200","1","independent_multiscale_momentum","1","discovery_model1","mtsm_m63_e10_r200.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\002_mtsm_m63_e10_r200_discovery_2019_2020_m1.ini","mtsm_m63_e10_r200_discovery_2019_2020_m1","profiles\mtsm_m63_e10_r200.set","A8E83C903F24EE4066D6A6BCCD3E1C788D4842C780593649C28F3057AEF5929C","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\mtsm_m63_e10_r200_discovery_2019_2020_m1.htm","10000","730","1.9986","151.38","10151.38","1.51","0.76","0.75","1.35","1.17","3.23","46.51","129","7","101.75","1.01","97.8","101.75","1.49","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","mtsm_m63_e10_r200","1","independent_multiscale_momentum","1","discovery_model1","mtsm_m63_e10_r200.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\003_mtsm_m63_e10_r200_continuous_2015_2020_m1.ini","mtsm_m63_e10_r200_continuous_2015_2020_m1","profiles\mtsm_m63_e10_r200.set","A8E83C903F24EE4066D6A6BCCD3E1C788D4842C780593649C28F3057AEF5929C","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\mtsm_m63_e10_r200_continuous_2015_2020_m1.htm","10000","2191","5.9986","150.04","10150.04","1.5","0.25","0.25","1.09","0.34","0.98","40.5","442","9","209.1","2.09","200.52","209.1","0.72","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","mtsm_m126_e10_r200","2","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e10_r200.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\004_mtsm_m126_e10_r200_older_2015_2018_m1.ini","mtsm_m126_e10_r200_older_2015_2018_m1","profiles\mtsm_m126_e10_r200.set","278B08BD964CF8DBCBD8AE2A21849DD7CCDAB2B39A4787B765D436A09EE3109F","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\mtsm_m126_e10_r200_older_2015_2018_m1.htm","10000","1460","3.9973","348.06","10348.06","3.48","0.87","0.86","1.32","1.16","3.15","43.48","299","8","156.63","1.54","143.96","156.63","2.22","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","mtsm_m126_e10_r200","2","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e10_r200.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\005_mtsm_m126_e10_r200_discovery_2019_2020_m1.ini","mtsm_m126_e10_r200_discovery_2019_2020_m1","profiles\mtsm_m126_e10_r200.set","278B08BD964CF8DBCBD8AE2A21849DD7CCDAB2B39A4787B765D436A09EE3109F","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\mtsm_m126_e10_r200_discovery_2019_2020_m1.htm","10000","730","1.9986","65.03","10065.03","0.65","0.33","0.32","1.14","0.48","1.39","44.12","136","10","139.87","1.39","133.68","139.87","0.46","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","mtsm_m126_e10_r200","2","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e10_r200.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\006_mtsm_m126_e10_r200_continuous_2015_2020_m1.ini","mtsm_m126_e10_r200_continuous_2015_2020_m1","profiles\mtsm_m126_e10_r200.set","278B08BD964CF8DBCBD8AE2A21849DD7CCDAB2B39A4787B765D436A09EE3109F","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\mtsm_m126_e10_r200_continuous_2015_2020_m1.htm","10000","2191","5.9986","402.59","10402.59","4.03","0.67","0.66","1.26","0.92","2.54","43.58","436","10","156.63","1.54","143.96","156.63","2.57","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","mtsm_m252_e10_r200","3","independent_multiscale_momentum","1","discovery_model1","mtsm_m252_e10_r200.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\007_mtsm_m252_e10_r200_older_2015_2018_m1.ini","mtsm_m252_e10_r200_older_2015_2018_m1","profiles\mtsm_m252_e10_r200.set","F8DC5B345F317AB0E212977658169B681BD6B766067BA60D73F6DF3A9A628994","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\mtsm_m252_e10_r200_older_2015_2018_m1.htm","10000","1460","3.9973","-9.4","9990.6","-0.09","-0.02","-0.02","0.99","-0.03","-0.09","37.07","294","11","163.31","1.63","157.13","163.31","-0.06","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","mtsm_m252_e10_r200","3","independent_multiscale_momentum","1","discovery_model1","mtsm_m252_e10_r200.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\008_mtsm_m252_e10_r200_discovery_2019_2020_m1.ini","mtsm_m252_e10_r200_discovery_2019_2020_m1","profiles\mtsm_m252_e10_r200.set","F8DC5B345F317AB0E212977658169B681BD6B766067BA60D73F6DF3A9A628994","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\mtsm_m252_e10_r200_discovery_2019_2020_m1.htm","10000","730","1.9986","58.25","10058.25","0.58","0.29","0.29","1.11","0.4","1.18","42.47","146","10","138.41","1.38","133.68","138.41","0.42","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","mtsm_m252_e10_r200","3","independent_multiscale_momentum","1","discovery_model1","mtsm_m252_e10_r200.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\009_mtsm_m252_e10_r200_continuous_2015_2020_m1.ini","mtsm_m252_e10_r200_continuous_2015_2020_m1","profiles\mtsm_m252_e10_r200.set","F8DC5B345F317AB0E212977658169B681BD6B766067BA60D73F6DF3A9A628994","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\mtsm_m252_e10_r200_continuous_2015_2020_m1.htm","10000","2191","5.9986","48.85","10048.85","0.49","0.08","0.08","1.03","0.11","0.32","38.86","440","11","163.31","1.63","157.13","163.31","0.3","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","mtsm_m126_e6_r200","4","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e6_r200.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\010_mtsm_m126_e6_r200_older_2015_2018_m1.ini","mtsm_m126_e6_r200_older_2015_2018_m1","profiles\mtsm_m126_e6_r200.set","8D5F5899684A6F1BD5D4A7CF32DE3136C57DDECC7B32B77529244F0210755628","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\mtsm_m126_e6_r200_older_2015_2018_m1.htm","10000","1460","3.9973","227.17","10227.17","2.27","0.57","0.56","1.14","0.54","1.49","39.48","423","12","276.02","2.72","263.76","276.02","0.82","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
