"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit"
"1","","baseline_octdec","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3095.13"
"2","","baseline_octdec","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"3","","baseline_octdec","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"4","","baseline_octdec","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","9065.41"
"5","","add_january","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3095.13"
"6","","add_january","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","50.84"
"7","","add_january","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"8","","add_january","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","8077.99"
"9","","add_february","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1401.31"
"10","","add_february","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","135.14"
"11","","add_february","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1518.04"
"12","","add_february","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","4894.01"
"13","","add_march","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","2349.32"
"14","","add_march","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","203.7"
"15","","add_march","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"16","","add_march","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","7239.19"
"17","","add_april","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","2042.24"
"18","","add_april","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"19","","add_april","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","838.96"
"20","","add_april","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","2415.97"
"21","","add_may","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1251.24"
"22","","add_may","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"23","","add_may","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","742.52"
"24","","add_may","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1251.24"
"25","","add_june","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3349.39"
"26","","add_june","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"27","","add_june","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"28","","add_june","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","9512.09"
"29","","add_july","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3095.13"
"30","","add_july","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"31","","add_july","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"32","","add_july","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","7958.62"
"33","","add_august","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3054.6"
"34","","add_august","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"35","","add_august","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"36","","add_august","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","7144.34"
"37","","add_september","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","2825.55"
"38","","add_september","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"39","","add_september","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"40","","add_september","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","8241.08"
