"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit"
"1","","baseline","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3349.39"
"2","","baseline","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"3","","baseline","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"4","","baseline","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","9512.09"
"5","","risk050","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","2135.56"
"6","","risk050","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"7","","risk050","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"8","","risk050","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","7830.9"
"9","","risk060","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1856.35"
"10","","risk060","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"11","","risk060","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"12","","risk060","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","6584.24"
"13","","risk075","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1965.68"
"14","","risk075","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"15","","risk075","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"16","","risk075","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","3438.82"
"17","","risk100","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1644.6"
"18","","risk100","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"19","","risk100","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"20","","risk100","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","3191.45"
"21","","tp150_risk050","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3048.13"
"22","","tp150_risk050","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"23","","tp150_risk050","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"24","","tp150_risk050","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","10687.2"
"25","","tp165_risk050","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3032.11"
"26","","tp165_risk050","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"27","","tp165_risk050","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"28","","tp165_risk050","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","10388.68"
"29","","score7_risk060","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1394.71"
"30","","score7_risk060","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"31","","score7_risk060","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"32","","score7_risk060","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1296.01"
"33","","pull075_risk050","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3140.43"
"34","","pull075_risk050","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"35","","pull075_risk050","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"36","","pull075_risk050","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","10461.95"
"37","","pull055_risk060","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1856.35"
"38","","pull055_risk060","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"39","","pull055_risk060","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"40","","pull055_risk060","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","5772.51"
