"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","lowatr_exit_be08","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\lowatr_exit_sweep_package\configs\001_lowatr_exit_be08_continuous_m1.ini","True","lowatr_exit_sweep_lowatr_exit_be08_continuous_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T10:36:08","2026-07-14T10:36:23"
"2","lowatr_exit_be06","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\lowatr_exit_sweep_package\configs\002_lowatr_exit_be06_continuous_m1.ini","True","lowatr_exit_sweep_lowatr_exit_be06_continuous_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T10:36:23","2026-07-14T10:36:38"
"3","lowatr_exit_trail12","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\lowatr_exit_sweep_package\configs\003_lowatr_exit_trail12_continuous_m1.ini","True","lowatr_exit_sweep_lowatr_exit_trail12_continuous_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T10:36:38","2026-07-14T10:36:53"
"4","lowatr_exit_trail10","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\lowatr_exit_sweep_package\configs\004_lowatr_exit_trail10_continuous_m1.ini","True","lowatr_exit_sweep_lowatr_exit_trail10_continuous_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T10:36:53","2026-07-14T10:37:08"
"5","lowatr_exit_mfe_tight","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\lowatr_exit_sweep_package\configs\005_lowatr_exit_mfe_tight_continuous_m1.ini","True","lowatr_exit_sweep_lowatr_exit_mfe_tight_continuous_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T10:37:08","2026-07-14T10:37:23"
"6","lowatr_exit_mfe_early","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\lowatr_exit_sweep_package\configs\006_lowatr_exit_mfe_early_continuous_m1.ini","True","lowatr_exit_sweep_lowatr_exit_mfe_early_continuous_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T10:37:23","2026-07-14T10:37:38"
"7","lowatr_exit_combo_guard","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\lowatr_exit_sweep_package\configs\007_lowatr_exit_combo_guard_continuous_m1.ini","True","lowatr_exit_sweep_lowatr_exit_combo_guard_continuous_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T10:37:38","2026-07-14T10:37:53"
"8","lowatr_exit_loss_scale","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\lowatr_exit_sweep_package\configs\008_lowatr_exit_loss_scale_continuous_m1.ini","True","lowatr_exit_sweep_lowatr_exit_loss_scale_continuous_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T10:37:53","2026-07-14T10:38:08"
"9","lowatr_exit_peak_guard","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\lowatr_exit_sweep_package\configs\009_lowatr_exit_peak_guard_continuous_m1.ini","True","lowatr_exit_sweep_lowatr_exit_peak_guard_continuous_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T10:38:08","2026-07-14T10:38:23"
"10","lowatr_exit_raw_cap6","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\lowatr_exit_sweep_package\configs\010_lowatr_exit_raw_cap6_continuous_m1.ini","True","lowatr_exit_sweep_lowatr_exit_raw_cap6_continuous_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T10:38:23","2026-07-14T10:38:38"
