"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","lowatr_exit_be08","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\001_lowatr_exit_be08_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\001_lowatr_exit_be08_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_be08_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_be08_continuous_m1","F551EED090BC39BF017C8AE833B44CFCE377F3E630FE067DF02E3E0945B38DD0","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"2","lowatr_exit_be06","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\002_lowatr_exit_be06_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\002_lowatr_exit_be06_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_be06_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_be06_continuous_m1","F98B27AC6F85C25AC30CFDDD566F531EE9AD0D94FBCB2D5B9CF660FFE78CD5EC","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"3","lowatr_exit_trail12","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\003_lowatr_exit_trail12_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\003_lowatr_exit_trail12_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_trail12_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_trail12_continuous_m1","23FF45286C419EC9C02CDF65A27E250D645D98C62654455EE76692906B5296BC","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"4","lowatr_exit_trail10","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\004_lowatr_exit_trail10_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\004_lowatr_exit_trail10_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_trail10_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_trail10_continuous_m1","F3A10FC888E592294C734D0AAED807997D02780C300F4A0450735C9089BD31A4","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"5","lowatr_exit_mfe_tight","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\005_lowatr_exit_mfe_tight_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\005_lowatr_exit_mfe_tight_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_mfe_tight_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_mfe_tight_continuous_m1","4EE239A3F97E4ADB455449D65EE958FA8308A2B3FB29FD379F1B5100FEA644F5","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"6","lowatr_exit_mfe_early","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\006_lowatr_exit_mfe_early_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\006_lowatr_exit_mfe_early_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_mfe_early_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_mfe_early_continuous_m1","069DFDB6F8E11E3EBDC13203D85FAF4C2D3040A81D0439C264F3CF3C414DA551","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"7","lowatr_exit_combo_guard","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\007_lowatr_exit_combo_guard_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\007_lowatr_exit_combo_guard_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_combo_guard_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_combo_guard_continuous_m1","FEB30D7100F36C5E1FCACD9026E3622E21846996BFE839F2C708804C1C646620","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"8","lowatr_exit_loss_scale","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\008_lowatr_exit_loss_scale_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\008_lowatr_exit_loss_scale_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_loss_scale_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_loss_scale_continuous_m1","6F2AB55A0EA09BA311E10A4B31F14A6BE89B650FDD45E9698BCD4B48384024BD","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"9","lowatr_exit_peak_guard","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\009_lowatr_exit_peak_guard_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\009_lowatr_exit_peak_guard_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_peak_guard_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_peak_guard_continuous_m1","FC29E10120E3A852B9A3B70EA0CF44F7AE58473271DEE965CA5242506273A564","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"10","lowatr_exit_raw_cap6","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\010_lowatr_exit_raw_cap6_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\010_lowatr_exit_raw_cap6_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_raw_cap6_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_raw_cap6_continuous_m1","69C5EE854D99B4815A54D878EE8B56D89EF9CEF33061A1F7B979A7BAB359F487","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
