"Candidate","SourceType","Phase","Expected","ParsedReports","ParsedLogs","ParsedTotal","Missing","Unparsed","TotalNetProfit","WorstNetProfit","AverageAnnualizedReturnPercent","WorstAnnualizedReturnPercent","AverageCagrPercent","WorstCagrPercent","WorstDrawdownPercent","MinProfitFactor","TotalTrades"
"peak_r20_base","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","464.86","464.86","18.4","18.4","16.31","16.31","5.81","6.789","7"
"peak_r20_diag_2025","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","21.17","21.17","2.12","2.12","2.12","2.12","4.9","1.6271","4"
"peak_r20_may_full","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","464.86","464.86","18.4","18.4","16.31","16.31","5.81","6.789","7"
"peak_r20_may_full_spread22","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","464.86","464.86","18.4","18.4","16.31","16.31","5.81","6.789","7"
"peak_r20_aug_risk60","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","464.86","464.86","18.4","18.4","16.31","16.31","5.81","6.789","7"
"peak_r20_may31_aug60","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","464.86","464.86","18.4","18.4","16.31","16.31","5.81","6.789","7"
"peak_r20_islp_may_aug","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","464.86","464.86","18.4","18.4","16.31","16.31","5.81","6.789","7"
"peak_r20_islp_broad_lowrisk","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","464.86","464.86","18.4","18.4","16.31","16.31","5.81","6.789","7"
"peak_r20_octnov_main_lowrisk","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","464.86","464.86","18.4","18.4","16.31","16.31","5.81","6.789","7"
"peak_r20_fmlr_strict","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","464.86","464.86","18.4","18.4","16.31","16.31","5.81","6.789","7"
"peak_r20_fmlr_sweep_bos","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","464.86","464.86","18.4","18.4","16.31","16.31","5.81","6.789","7"
"peak_r20_fmlr_fvg_ob","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","464.86","464.86","18.4","18.4","16.31","16.31","5.81","6.789","7"
"peak_r20_soft_weak_gate","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","245.08","245.08","9.7","9.7","9.06","9.06","3.6","9.451","5"
"peak_r20_no_day_window_lowrisk","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","246","246","9.73","9.73","9.09","9.09","5.64","9.244","6"
"peak_r20_no_peaktrail","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","1701.87","1701.87","67.35","67.35","48.19","48.19","14.41","2.5239","75"
"peak_r20_no_peaktrail_r15","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","1668.2","1668.2","66.01","66.01","47.46","47.46","11.74","2.6522","75"
"peak_r20_no_peaktrail_r10","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","1716.76","1716.76","67.94","67.94","48.51","48.51","10.62","2.8655","76"
"peak_r20_no_peaktrail_r10_norm","r20_opportunity_sweep","phase0_fast_model1","1","0","1","1","0","0","1698.8","1698.8","67.22","67.22","48.12","48.12","10.61","2.823","77"
