"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"base_mar10_may10","7","7","7909.84","3746.45","1107.93","214.3","1409.57","","0","0"
"dayrisk_125_lot045","7","7","5223.48","1637.7","692.69","262.02","1637.7","","0","0"
"dayrisk_150_110","7","7","2887.05","395.91","901.45","-8.35","395.91","","-8.35","1"
"tp380","7","7","1745.62","322.56","487.5","234.3","322.56","","-217.6","1"
"sl170_tp380","7","7","1743.75","321.65","487.5","234.25","321.65","","-217.6","1"
"tp400","7","7","1623.01","216.72","505.31","265.99","216.72","","-217.6","1"
"dayrisk_125_110","7","7","2143.31","211.44","692.69","262.02","-16.21","","-16.21","1"
"dayrisk_110_110","7","7","6428.34","-1.66","4825.71","230.19","-1.66","","-1.66","2"
"dayrisk_125_tp380","7","7","1544.88","-4.25","752.96","286.82","-4.25","","-239.36","3"
"dayrisk_125_125","7","7","2500.78","-195.34","692.69","262.02","-195.34","","-195.34","2"
