"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","SignalTimeframe","PhaseEnabled","PhaseTimeframe","LookbackBars","RangeEfficiency","TrendEfficiency","HostileRiskScale","StopRule"
"1","mpp_fixed_control","1","market_phase_portfolio","1","discovery_model1","mpp_fixed_control.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_mpp_fixed_control_older_2015_2018_m1.ini","mpp_fixed_control_older_2015_2018_m1","profiles\mpp_fixed_control.set","B1D257926C79CE9E9B0B65239C0843B04007F728A33853BC06E773FC0350FCA1","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","16385","24","0.20","0.45","0.50","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass."
"2","mpp_fixed_control","1","market_phase_portfolio","1","discovery_model1","mpp_fixed_control.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_mpp_fixed_control_discovery_2019_2020_m1.ini","mpp_fixed_control_discovery_2019_2020_m1","profiles\mpp_fixed_control.set","B1D257926C79CE9E9B0B65239C0843B04007F728A33853BC06E773FC0350FCA1","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","16385","24","0.20","0.45","0.50","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass."
"3","mpp_fixed_control","1","market_phase_portfolio","1","discovery_model1","mpp_fixed_control.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_mpp_fixed_control_continuous_2015_2020_m1.ini","mpp_fixed_control_continuous_2015_2020_m1","profiles\mpp_fixed_control.set","B1D257926C79CE9E9B0B65239C0843B04007F728A33853BC06E773FC0350FCA1","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","16385","24","0.20","0.45","0.50","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass."
"4","mpp_center","2","market_phase_portfolio","1","discovery_model1","mpp_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_mpp_center_older_2015_2018_m1.ini","mpp_center_older_2015_2018_m1","profiles\mpp_center.set","87A3CD39840E4D96BEBC06EF03DE8D6A5467F0369DB32F6211D7BC16222701F3","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","24","0.20","0.45","0.50","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass."
"5","mpp_center","2","market_phase_portfolio","1","discovery_model1","mpp_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_mpp_center_discovery_2019_2020_m1.ini","mpp_center_discovery_2019_2020_m1","profiles\mpp_center.set","87A3CD39840E4D96BEBC06EF03DE8D6A5467F0369DB32F6211D7BC16222701F3","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","24","0.20","0.45","0.50","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass."
"6","mpp_center","2","market_phase_portfolio","1","discovery_model1","mpp_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_mpp_center_continuous_2015_2020_m1.ini","mpp_center_continuous_2015_2020_m1","profiles\mpp_center.set","87A3CD39840E4D96BEBC06EF03DE8D6A5467F0369DB32F6211D7BC16222701F3","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","24","0.20","0.45","0.50","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass."
"7","mpp_scale75","3","market_phase_portfolio","1","discovery_model1","mpp_scale75.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_mpp_scale75_older_2015_2018_m1.ini","mpp_scale75_older_2015_2018_m1","profiles\mpp_scale75.set","57A53157E73CE1D15D595FF44F6DF6A41543BB92A62F1253CB8E974D4EA4AA11","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","24","0.20","0.45","0.75","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass."
"8","mpp_scale75","3","market_phase_portfolio","1","discovery_model1","mpp_scale75.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_mpp_scale75_discovery_2019_2020_m1.ini","mpp_scale75_discovery_2019_2020_m1","profiles\mpp_scale75.set","57A53157E73CE1D15D595FF44F6DF6A41543BB92A62F1253CB8E974D4EA4AA11","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","24","0.20","0.45","0.75","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass."
"9","mpp_scale75","3","market_phase_portfolio","1","discovery_model1","mpp_scale75.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_mpp_scale75_continuous_2015_2020_m1.ini","mpp_scale75_continuous_2015_2020_m1","profiles\mpp_scale75.set","57A53157E73CE1D15D595FF44F6DF6A41543BB92A62F1253CB8E974D4EA4AA11","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","24","0.20","0.45","0.75","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass."
"10","mpp_scale25","4","market_phase_portfolio","1","discovery_model1","mpp_scale25.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_mpp_scale25_older_2015_2018_m1.ini","mpp_scale25_older_2015_2018_m1","profiles\mpp_scale25.set","4AEF59465725150588EF9DF4C2549FAC305F06A177B0D3C1F4A3C0F94AD59131","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","24","0.20","0.45","0.25","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass."
