"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","PhaseEnabled","PhaseTimeframe","LookbackBars","RangeEfficiency","TrendEfficiency","HostileRiskScale","StopRule","Status","ReportPath","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","mpp_fixed_control","1","market_phase_portfolio","discovery_model1","mpp_fixed_control.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_mpp_fixed_control_older_2015_2018_m1.ini","mpp_fixed_control_older_2015_2018_m1","profiles\mpp_fixed_control.set","B1D257926C79CE9E9B0B65239C0843B04007F728A33853BC06E773FC0350FCA1","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","16385","24","0.20","0.45","0.50","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass.","PARSED","outputs\market_phase_portfolio_discovery_model1_package\reports_here\mpp_fixed_control_older_2015_2018_m1.htm","DD68B68FDB7729C2FFFF8E1DE40F2FFC502FC4294A1AF69DB093189B31AD7F4A","True","FIRST_VALID_EXPORT","10000","1460","3.9973","814.7","10814.7","8.15","2.04","1.98","1.87","5.36","7.27","46.05","152","5","105.51","1.01","75.68","105.51","7.7215"
"2","mpp_fixed_control","1","market_phase_portfolio","discovery_model1","mpp_fixed_control.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_mpp_fixed_control_discovery_2019_2020_m1.ini","mpp_fixed_control_discovery_2019_2020_m1","profiles\mpp_fixed_control.set","B1D257926C79CE9E9B0B65239C0843B04007F728A33853BC06E773FC0350FCA1","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","16385","24","0.20","0.45","0.50","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass.","PARSED","outputs\market_phase_portfolio_discovery_model1_package\reports_here\mpp_fixed_control_discovery_2019_2020_m1.htm","77E68B0D1CF206662FB7F41B9EBB2920CDD61CF9C7F295E5610FB131EC6B814D","True","FIRST_VALID_EXPORT","10000","730","1.9986","-105.45","9894.55","-1.05","-0.53","-0.53","0.84","-1.46","-1.84","37.5","72","7","313.42","3.08","274.79","313.42","-0.3364"
"3","mpp_fixed_control","1","market_phase_portfolio","discovery_model1","mpp_fixed_control.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_mpp_fixed_control_continuous_2015_2020_m1.ini","mpp_fixed_control_continuous_2015_2020_m1","profiles\mpp_fixed_control.set","B1D257926C79CE9E9B0B65239C0843B04007F728A33853BC06E773FC0350FCA1","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","16385","24","0.20","0.45","0.50","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass.","PARSED","outputs\market_phase_portfolio_discovery_model1_package\reports_here\mpp_fixed_control_continuous_2015_2020_m1.htm","2BB6FB55756EC283C93D2999F7D2C23004B170BBD8815C25CE8E3BC5369D2E00","True","FIRST_VALID_EXPORT","10000","2191","5.9986","694.13","10694.13","6.94","1.16","1.13","1.42","3.09","4.07","43.11","225","7","303.87","2.77","265.24","303.87","2.2843"
"4","mpp_center","2","market_phase_portfolio","discovery_model1","mpp_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_mpp_center_older_2015_2018_m1.ini","mpp_center_older_2015_2018_m1","profiles\mpp_center.set","87A3CD39840E4D96BEBC06EF03DE8D6A5467F0369DB32F6211D7BC16222701F3","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","24","0.20","0.45","0.50","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass.","PARSED","outputs\market_phase_portfolio_discovery_model1_package\reports_here\mpp_center_older_2015_2018_m1.htm","11E7ED50C24A486EFD6A64C4F5929EADE6DC3720CF69C7C5DDF97C6D75559C8D","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","1460","3.9973","703.62","10703.62","7.04","1.76","1.72","1.86","4.69","6.85","46","150","5","101.96","0.98","66.88","101.96","6.9009"
"5","mpp_center","2","market_phase_portfolio","discovery_model1","mpp_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_mpp_center_discovery_2019_2020_m1.ini","mpp_center_discovery_2019_2020_m1","profiles\mpp_center.set","87A3CD39840E4D96BEBC06EF03DE8D6A5467F0369DB32F6211D7BC16222701F3","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","24","0.20","0.45","0.50","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass.","PARSED","outputs\market_phase_portfolio_discovery_model1_package\reports_here\mpp_center_discovery_2019_2020_m1.htm","19AA076BEF345B80F5D0B19A8A9EAE0418D7449B5A9F78A4509AA665E8F352D1","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","730","1.9986","-128.38","9871.62","-1.28","-0.64","-0.64","0.78","-1.95","-2.46","37.88","66","6","307.17","3.03","288.5","307.17","-0.4179"
"6","mpp_center","2","market_phase_portfolio","discovery_model1","mpp_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_mpp_center_continuous_2015_2020_m1.ini","mpp_center_continuous_2015_2020_m1","profiles\mpp_center.set","87A3CD39840E4D96BEBC06EF03DE8D6A5467F0369DB32F6211D7BC16222701F3","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","24","0.20","0.45","0.50","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass.","PARSED","outputs\market_phase_portfolio_discovery_model1_package\reports_here\mpp_center_continuous_2015_2020_m1.htm","B68A8B8171E69EF8A49BC47D0B4B2CCCC672CB8167C0428AB859BCAF012376F8","True","FIRST_VALID_EXPORT","10000","2191","5.9986","568.19","10568.19","5.68","0.95","0.93","1.4","2.61","3.64","43.58","218","6","287.77","2.66","269.1","287.77","1.9745"
"7","mpp_scale75","3","market_phase_portfolio","discovery_model1","mpp_scale75.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_mpp_scale75_older_2015_2018_m1.ini","mpp_scale75_older_2015_2018_m1","profiles\mpp_scale75.set","57A53157E73CE1D15D595FF44F6DF6A41543BB92A62F1253CB8E974D4EA4AA11","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","24","0.20","0.45","0.75","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass.","PARSED","outputs\market_phase_portfolio_discovery_model1_package\reports_here\mpp_scale75_older_2015_2018_m1.htm","5D98DE5B040519931C3C35AC0D5D4FD732B178B34553F17A84A06802C56110A6","True","FIRST_VALID_EXPORT","10000","1460","3.9973","766.19","10766.19","7.66","1.92","1.86","1.87","5.04","7.14","46.05","152","5","101.96","0.98","71.28","101.96","7.5146"
"8","mpp_scale75","3","market_phase_portfolio","discovery_model1","mpp_scale75.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_mpp_scale75_discovery_2019_2020_m1.ini","mpp_scale75_discovery_2019_2020_m1","profiles\mpp_scale75.set","57A53157E73CE1D15D595FF44F6DF6A41543BB92A62F1253CB8E974D4EA4AA11","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","24","0.20","0.45","0.75","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass.","PARSED","outputs\market_phase_portfolio_discovery_model1_package\reports_here\mpp_scale75_discovery_2019_2020_m1.htm","68CEBDA2694F7778AD5B499C16E8569DCEE58F30055E5C67F6AD2891F663E467","True","FIRST_VALID_EXPORT","10000","730","1.9986","-120.45","9879.55","-1.2","-0.6","-0.6","0.81","-1.67","-2.16","37.5","72","7","312.68","3.08","274.05","312.68","-0.3852"
"9","mpp_scale75","3","market_phase_portfolio","discovery_model1","mpp_scale75.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_mpp_scale75_continuous_2015_2020_m1.ini","mpp_scale75_continuous_2015_2020_m1","profiles\mpp_scale75.set","57A53157E73CE1D15D595FF44F6DF6A41543BB92A62F1253CB8E974D4EA4AA11","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","24","0.20","0.45","0.75","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass.","PARSED","outputs\market_phase_portfolio_discovery_model1_package\reports_here\mpp_scale75_continuous_2015_2020_m1.htm","D47DD9566C9958CE296F1C93FBE864536BA864F5CE8A25E086409F30A54B7953","True","FIRST_VALID_EXPORT","10000","2191","5.9986","629.12","10629.12","6.29","1.05","1.02","1.41","2.8","3.85","43.11","225","7","303.92","2.79","265.29","303.92","2.07"
"10","mpp_scale25","4","market_phase_portfolio","discovery_model1","mpp_scale25.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_mpp_scale25_older_2015_2018_m1.ini","mpp_scale25_older_2015_2018_m1","profiles\mpp_scale25.set","4AEF59465725150588EF9DF4C2549FAC305F06A177B0D3C1F4A3C0F94AD59131","78F43A8281B213FBE82AF592F9876FBC4545BAA1DA62D61565CA0AA56375E8BF","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","24","0.20","0.45","0.25","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent phase profile must pass.","PARSED","outputs\market_phase_portfolio_discovery_model1_package\reports_here\mpp_scale25_older_2015_2018_m1.htm","6C50A1F0B48445CB47CE6E536A90B0A884B63FE2EEEBFD9DB87B9FB91C9B5943","True","FIRST_VALID_EXPORT","10000","1460","3.9973","622.93","10622.93","6.23","1.56","1.52","1.81","4.94","6.86","45.24","126","5","98.4","0.95","72.89","98.4","6.3306"
