"Window","Base","Micro","Delta"
"2024_01","0","0","0"
"2024_02","0","0","0"
"2024_03","1497.84","1497.84","0"
"2024_04","0","0","0"
"2024_05","214.91","214.91","0"
"2024_06","0","0","0"
"2024_07","0","30.36","30.36"
"2024_08","0","0","0"
"2024_09","0","0","0"
"2024_10","0","27.5","27.5"
"2024_11","0","0","0"
"2024_12","0","0","0"
"2025_01","0","0","0"
"2025_02","0","0","0"
"2025_03","214.3","214.3","0"
"2025_04","0","0","0"
"2025_05","0","0","0"
"2025_06","0","0","0"
"2025_07","0","27.95","27.95"
"2025_08","0","0","0"
"2025_09","0","0","0"
"2025_10","0","27.8","27.8"
"2025_11","0","0","0"
"2025_12","0","0","0"
"2026_01","0","0","0"
"2026_02","0","0","0"
"2026_03","945.67","945.67","0"
"2026_04","0","0","0"
"2026_05","485.92","485.92","0"
"2026_06","0","0","0"
