"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit","Balance","LogTimestamp","RunnerStatus","Evidence"
"1","","score7","full","model0","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1288.93","2288.93","2026-07-12T12:14:50","NO_REPORT","Tester finished but no report file was found for m0_score7_regime_confirm_score7_continuous_2024_2026."
"2","","score7","train","model0","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1425.73","2425.73","2026-07-12T12:15:17","NO_REPORT","Tester finished but no report file was found for m0_score7_regime_confirm_score7_full2024."
"3","","score7","oos","model0","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T12:15:43","NO_REPORT","Tester finished but no report file was found for m0_score7_regime_confirm_score7_full2025."
"4","","score7","recent","model0","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.36","2375.36","2026-07-12T12:16:20","NO_REPORT","Tester finished but no report file was found for m0_score7_regime_confirm_score7_ytd2026."
"5","","score7","target","model0","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","196.16","1196.16","2026-07-12T12:16:35","NO_REPORT","Tester finished but no report file was found for m0_score7_regime_confirm_score7_q4_2025."
"6","","score7","weak","model0","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","-4.55","995.45","2026-07-12T12:16:49","NO_REPORT","Tester finished but no report file was found for m0_score7_regime_confirm_score7_q4_2024."
"7","","score7_regime","full","model0","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1288.93","2288.93","2026-07-12T12:17:59","NO_REPORT","Tester finished but no report file was found for m0_score7_regime_confirm_score7_regime_continuous_2024_2026."
"8","","score7_regime","train","model0","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1425.73","2425.73","2026-07-12T12:18:27","NO_REPORT","Tester finished but no report file was found for m0_score7_regime_confirm_score7_regime_full2024."
"9","","score7_regime","oos","model0","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T12:18:52","NO_REPORT","Tester finished but no report file was found for m0_score7_regime_confirm_score7_regime_full2025."
"10","","score7_regime","recent","model0","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.36","2375.36","2026-07-12T12:19:29","NO_REPORT","Tester finished but no report file was found for m0_score7_regime_confirm_score7_regime_ytd2026."
"11","","score7_regime","target","model0","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","196.16","1196.16","2026-07-12T12:19:46","NO_REPORT","Tester finished but no report file was found for m0_score7_regime_confirm_score7_regime_q4_2025."
"12","","score7_regime","weak","model0","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","-4.55","995.45","2026-07-12T12:20:00","NO_REPORT","Tester finished but no report file was found for m0_score7_regime_confirm_score7_regime_q4_2024."
