"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit","Balance","LogTimestamp","RunnerStatus","Evidence"
"1","","score7_regime_no_m1shock","","","2024_Q1","2024.01.01","2024.03.31","PARSED_FROM_LOG","1482.99","2482.99","2026-07-12T12:48:37","NO_REPORT","Tester finished but no report file was found for m1_score7_regime_no_m1shock_qtr_2024_Q1."
"2","","score7_regime_no_m1shock","","","2024_Q2","2024.04.01","2024.06.30","PARSED_FROM_LOG","209.8","1209.8","2026-07-12T12:48:48","NO_REPORT","Tester finished but no report file was found for m1_score7_regime_no_m1shock_qtr_2024_Q2."
"3","","score7_regime_no_m1shock","","","2024_Q3","2024.07.01","2024.09.30","PARSED_FROM_LOG","12.04","1012.04","2026-07-12T12:48:59","NO_REPORT","Tester finished but no report file was found for m1_score7_regime_no_m1shock_qtr_2024_Q3."
"4","","score7_regime_no_m1shock","","","2024_Q4","2024.10.01","2024.12.31","PARSED_FROM_LOG","-0.5","999.5","2026-07-12T12:49:10","NO_REPORT","Tester finished but no report file was found for m1_score7_regime_no_m1shock_qtr_2024_Q4."
"5","","score7_regime_no_m1shock","","","2025_Q1","2025.01.01","2025.03.31","PARSED_FROM_LOG","214.18","1214.18","2026-07-12T12:49:21","NO_REPORT","Tester finished but no report file was found for m1_score7_regime_no_m1shock_qtr_2025_Q1."
"6","","score7_regime_no_m1shock","","","2025_Q2","2025.04.01","2025.06.30","PARSED_FROM_LOG","0","1000","2026-07-12T12:49:32","NO_REPORT","Tester finished but no report file was found for m1_score7_regime_no_m1shock_qtr_2025_Q2."
"7","","score7_regime_no_m1shock","","","2025_Q3","2025.07.01","2025.09.30","PARSED_FROM_LOG","20.87","1020.87","2026-07-12T12:49:43","NO_REPORT","Tester finished but no report file was found for m1_score7_regime_no_m1shock_qtr_2025_Q3."
"8","","score7_regime_no_m1shock","","","2025_Q4","2025.10.01","2025.12.31","PARSED_FROM_LOG","194.82","1194.82","2026-07-12T12:49:54","NO_REPORT","Tester finished but no report file was found for m1_score7_regime_no_m1shock_qtr_2025_Q4."
"9","","score7_regime_no_m1shock","","","2026_Q1","2026.01.01","2026.03.31","PARSED_FROM_LOG","1018.27","2018.27","2026-07-12T12:50:05","NO_REPORT","Tester finished but no report file was found for m1_score7_regime_no_m1shock_qtr_2026_Q1."
"10","","score7_regime_no_m1shock","","","2026_Q2","2026.04.01","2026.06.30","PARSED_FROM_LOG","485.71","1485.71","2026-07-12T12:50:16","NO_REPORT","Tester finished but no report file was found for m1_score7_regime_no_m1shock_qtr_2026_Q2."
