"QueueRank","Candidate","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","ContractSha256","QualityEnabled","MinimumBodyPercent","MinimumCloseLocation","MinimumRangeATR","VolumeEnabled","MinimumVolumeRatio","StopRule"
"1","mbq_fixed_control","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_mbq_fixed_control_older_2015_2018_m1.ini","mbq_fixed_control_older_2015_2018_m1","profiles\mbq_fixed_control.set","350AC7D91BFC0DD6D6C841DB9AA956822EA20D3B071B76FA5BCCEEF906718BFC","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","false","35.0","0.65","0.50","false","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"2","mbq_fixed_control","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_mbq_fixed_control_repair_2019_2020_m1.ini","mbq_fixed_control_repair_2019_2020_m1","profiles\mbq_fixed_control.set","350AC7D91BFC0DD6D6C841DB9AA956822EA20D3B071B76FA5BCCEEF906718BFC","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","false","35.0","0.65","0.50","false","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"3","mbq_fixed_control","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_mbq_fixed_control_continuous_2015_2020_m1.ini","mbq_fixed_control_continuous_2015_2020_m1","profiles\mbq_fixed_control.set","350AC7D91BFC0DD6D6C841DB9AA956822EA20D3B071B76FA5BCCEEF906718BFC","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","false","35.0","0.65","0.50","false","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"4","mbq_price_loose","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_mbq_price_loose_older_2015_2018_m1.ini","mbq_price_loose_older_2015_2018_m1","profiles\mbq_price_loose.set","0BC760C0A678940E5308DB8522DC1180BDAC4042615773EAA56D1585901715FD","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","25.0","0.58","0.35","false","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"5","mbq_price_loose","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_mbq_price_loose_repair_2019_2020_m1.ini","mbq_price_loose_repair_2019_2020_m1","profiles\mbq_price_loose.set","0BC760C0A678940E5308DB8522DC1180BDAC4042615773EAA56D1585901715FD","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","25.0","0.58","0.35","false","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"6","mbq_price_loose","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_mbq_price_loose_continuous_2015_2020_m1.ini","mbq_price_loose_continuous_2015_2020_m1","profiles\mbq_price_loose.set","0BC760C0A678940E5308DB8522DC1180BDAC4042615773EAA56D1585901715FD","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","25.0","0.58","0.35","false","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"7","mbq_price_center","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_mbq_price_center_older_2015_2018_m1.ini","mbq_price_center_older_2015_2018_m1","profiles\mbq_price_center.set","6FDF83D8AF3C5E69402ECD89EA96E14B506D51BCB5C7B284A8E7193124214B10","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","false","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"8","mbq_price_center","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_mbq_price_center_repair_2019_2020_m1.ini","mbq_price_center_repair_2019_2020_m1","profiles\mbq_price_center.set","6FDF83D8AF3C5E69402ECD89EA96E14B506D51BCB5C7B284A8E7193124214B10","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","false","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"9","mbq_price_center","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_mbq_price_center_continuous_2015_2020_m1.ini","mbq_price_center_continuous_2015_2020_m1","profiles\mbq_price_center.set","6FDF83D8AF3C5E69402ECD89EA96E14B506D51BCB5C7B284A8E7193124214B10","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","false","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"10","mbq_price_strict","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_mbq_price_strict_older_2015_2018_m1.ini","mbq_price_strict_older_2015_2018_m1","profiles\mbq_price_strict.set","82138F4F7B7425F82AF29D5064F7901DF53DAB499250C6477BA7886F6086B550","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","45.0","0.72","0.65","false","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
