"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"mar125","7","7","5112.97","3143.55","692.69","262.02","-163.9","","-163.9","1"
"mar125_may110","7","7","4360.75","2679.86","692.69","262.02","-267.19","","-267.19","1"
"may125","7","7","5787.86","1277.57","887.18","214.3","1277.57","","0","0"
"base","7","7","5029.72","1277.57","887.18","214.3","1277.57","","0","0"
"may150","7","7","4917.15","1277.57","887.18","214.3","1277.57","","0","0"
"may110","7","7","4844.48","1277.57","887.18","214.3","1277.57","","0","0"
"mar200_may110","7","7","8108.25","740.93","1196.89","3931.93","740.93","","0","0"
"mar200","7","7","7821.41","740.93","1196.89","3459.85","740.93","","0","0"
"mar150_may125","7","7","3830.43","395.91","901.45","-8.35","395.91","","-8.35","1"
"mar150","7","7","3072.29","395.91","901.45","-8.35","395.91","","-8.35","1"
"mar150_may110","7","7","2887.05","395.91","901.45","-8.35","395.91","","-8.35","1"
