EntryTime,ExitTime,EntryYear,EntryMonth,EntryHour,DayOfWeek,Symbol,Side,Volume,EntryPrice,ExitPrice,InitialStop,InitialTarget,InitialRiskMoney,RiskR,HoldMinutes,Profit,Winner,EntrySubtype,EntryComment,ExitComment
2015-01-08 06:00:00,2015-01-08 15:00:00,2015,1,6,Thursday,XAUUSD,sell,0.01,1207.33,1210.43,1214.53,,7.2000,-0.430556,540.0,-3.10,False,multiscale_momentum,daily momentum plus fresh H1 breakout,
2015-03-11 12:00:00,2015-03-12 01:05:00,2015,3,12,Wednesday,XAUUSD,sell,0.01,1158.38,1155.53,1165.01,,6.6300,0.408748,785.0,2.71,True,multiscale_momentum,daily momentum plus fresh H1 breakout,
2015-05-13 15:00:00,2015-05-13 16:39:30,2015,5,15,Wednesday,XAUUSD,buy,0.01,1197.21,1208.21,1191.72,,5.4900,2.003643,99.5,11.00,True,multiscale_momentum,daily momentum plus fresh H1 breakout,tp 1208.20
2015-06-04 16:00:00,2015-06-05 16:24:28,2015,6,16,Thursday,XAUUSD,sell,0.01,1178.93,1164.85,1185.97,,7.0400,1.992898,1464.47,14.03,True,multiscale_momentum,daily momentum plus fresh H1 breakout,tp 1164.85
2015-06-30 14:00:00,2015-06-30 19:00:00,2015,6,14,Tuesday,XAUUSD,sell,0.02,1173.14,1176.70,1177.66,,9.0400,-0.787611,300.0,-7.12,False,multiscale_momentum,daily momentum plus fresh H1 breakout,
2015-07-02 10:00:00,2015-07-02 15:20:13,2015,7,10,Thursday,XAUUSD,sell,0.03,1165.45,1159.12,1168.62,,9.5100,1.996845,320.22,18.99,True,multiscale_momentum,daily momentum plus fresh H1 breakout,tp 1159.12
2015-07-06 11:00:00,2015-07-06 18:00:00,2015,7,11,Monday,XAUUSD,sell,0.02,1164.51,1167.53,1169.26,,9.5000,-0.635789,420.0,-6.04,False,multiscale_momentum,daily momentum plus fresh H1 breakout,
2015-07-22 15:00:00,2015-07-23 02:00:00,2015,7,15,Wednesday,XAUUSD,sell,0.01,1088.50,1095.55,1096.78,,8.2800,-0.868357,660.0,-7.19,False,multiscale_momentum,daily momentum plus fresh H1 breakout,
2015-07-31 10:00:00,2015-07-31 15:30:40,2015,7,10,Friday,XAUUSD,sell,0.02,1081.72,1086.59,1086.57,,9.7000,-1.004124,330.67,-9.74,False,multiscale_momentum,daily momentum plus fresh H1 breakout,sl 1086.57
2015-09-03 13:00:00,2015-09-03 15:43:42,2015,9,13,Thursday,XAUUSD,sell,0.02,1130.45,1122.44,1134.45,,8.0000,2.002500,163.7,16.02,True,multiscale_momentum,daily momentum plus fresh H1 breakout,tp 1122.45
2015-10-02 10:00:00,2015-10-02 15:15:28,2015,10,10,Friday,XAUUSD,sell,0.03,1109.93,1109.64,1112.93,,9.0000,0.096667,315.47,0.87,True,multiscale_momentum,daily momentum plus fresh H1 breakout,sl 1109.63
2015-11-11 17:00:00,2015-11-12 03:00:00,2015,11,17,Wednesday,XAUUSD,sell,0.02,1085.92,1088.31,1090.25,,8.6600,-0.584296,600.0,-5.06,False,multiscale_momentum,daily momentum plus fresh H1 breakout,
