"Profile","GuardrailStatus","GuardrailScore","RiskPercent","StopATR","TakeProfitATR","MinRR","DailyLossPct","WeeklyLossPct","MonthlyLossPct","EquityDrawdownPct","UsesGivebackGuard","DateBlocksEnabled","RiskFlags","OverfitFlags","StructureFlags","Phase1Configs","Phase2Configs","StressConfigs","FullConfigs","NextAction"
"baseline_promoted","REVIEW_REQUIRED","82","1.6","1.8","3.5","1.5","1","2.5","4","0","False","False","equity_drawdown_guard_disabled","adaptive_reverse_requires_walk_forward","","8","11","4","2","Eligible for testing, but require stricter promotion review before replacing the default."
"be12_tp38","REVIEW_REQUIRED","90","1.6","1.8","3.8","1.5","1","2.5","4","4","False","False","","adaptive_reverse_requires_walk_forward","","8","0","4","1","Eligible for testing, but require stricter promotion review before replacing the default."
"giveback25_tp38","REVIEW_REQUIRED","95","1.6","1.8","3.8","1.5","1","2.5","4","4","True","False","","adaptive_reverse_requires_walk_forward","","8","0","4","1","Eligible for testing, but require stricter promotion review before replacing the default."
"giveback35_tp38","REVIEW_REQUIRED","95","1.6","1.8","3.8","1.5","1","2.5","4","4","True","False","","adaptive_reverse_requires_walk_forward","","8","0","4","1","Eligible for testing, but require stricter promotion review before replacing the default."
"risk14_tp42_sl16","REVIEW_REQUIRED","75","1.4","1.6","4.2","1.5","1","2.5","4","4","False","False","","adaptive_reverse_requires_walk_forward;far_tp_extension;tighter_stop_variant","","8","0","4","1","Eligible for testing, but require stricter promotion review before replacing the default."
"risk18_tp38_sl18","REVIEW_REQUIRED","90","1.8","1.8","3.8","1.5","1","2.5","4","4","False","False","risk_percent_above_promoted","adaptive_reverse_requires_walk_forward","","8","0","4","1","Eligible for testing, but require stricter promotion review before replacing the default."
"risk20_tp38_sl18","REVIEW_REQUIRED","90","2","1.8","3.8","1.5","1","2.5","4","4","False","False","risk_percent_above_promoted","adaptive_reverse_requires_walk_forward","","8","0","4","1","Eligible for testing, but require stricter promotion review before replacing the default."
"rr18_tp42","REVIEW_REQUIRED","80","1.6","1.8","4.2","1.8","1","2.5","4","4","False","False","","adaptive_reverse_requires_walk_forward;far_tp_extension","","8","0","4","1","Eligible for testing, but require stricter promotion review before replacing the default."
"tp38_sl16","REVIEW_REQUIRED","80","1.6","1.6","3.8","1.5","1","2.5","4","4","False","False","","adaptive_reverse_requires_walk_forward;tighter_stop_variant","","8","11","4","2","Eligible for testing, but require stricter promotion review before replacing the default."
"tp38_sl18","REVIEW_REQUIRED","90","1.6","1.8","3.8","1.5","1","2.5","4","4","False","False","","adaptive_reverse_requires_walk_forward","","8","11","4","2","Eligible for testing, but require stricter promotion review before replacing the default."
"tp38_sl20","REVIEW_REQUIRED","90","1.6","2","3.8","1.5","1","2.5","4","4","False","False","","adaptive_reverse_requires_walk_forward","","8","0","4","1","Eligible for testing, but require stricter promotion review before replacing the default."
"tp42_sl16","REVIEW_REQUIRED","70","1.6","1.6","4.2","1.5","1","2.5","4","4","False","False","","adaptive_reverse_requires_walk_forward;far_tp_extension;tighter_stop_variant","","8","11","4","2","Eligible for testing, but require stricter promotion review before replacing the default."
"tp42_sl18","REVIEW_REQUIRED","80","1.6","1.8","4.2","1.5","1","2.5","4","4","False","False","","adaptive_reverse_requires_walk_forward;far_tp_extension","","8","11","4","2","Eligible for testing, but require stricter promotion review before replacing the default."
"tp45_sl18","REVIEW_REQUIRED","80","1.6","1.8","4.5","1.5","1","2.5","4","4","False","False","","adaptive_reverse_requires_walk_forward;far_tp_extension","","8","0","4","1","Eligible for testing, but require stricter promotion review before replacing the default."
"trail14_tp38","REVIEW_REQUIRED","90","1.6","1.8","3.8","1.5","1","2.5","4","4","False","False","","adaptive_reverse_requires_walk_forward","","8","0","4","1","Eligible for testing, but require stricter promotion review before replacing the default."
"trail18_tp38","REVIEW_REQUIRED","90","1.6","1.8","3.8","1.5","1","2.5","4","4","False","False","","adaptive_reverse_requires_walk_forward","","8","0","4","1","Eligible for testing, but require stricter promotion review before replacing the default."
