"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","StopRule","Rationale"
"1","r10_a7_dfg_risk_base","1","peak_r20_dfg_spread_risk_yearly","1","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_base_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\001_r10_a7_dfg_risk_base_2019_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2019_full_m1","profiles\r10_a7_dfg_risk_base_2019_full.set","0F1B47A3F7C803938EDD0BD614600AF1050071B8CF3BA5A292343F5DCBB57C15","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback spread risk scaling."
"2","r10_a7_dfg_risk_base","2","peak_r20_dfg_spread_risk_yearly","2","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_base_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\002_r10_a7_dfg_risk_base_2020_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2020_full_m1","profiles\r10_a7_dfg_risk_base_2020_full.set","E011289A9081BA49DC5861C406C02FB6CE0D1280CFAFB5E58E338140DB012B7F","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback spread risk scaling."
"3","r10_a7_dfg_risk_base","3","peak_r20_dfg_spread_risk_yearly","3","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_base_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\003_r10_a7_dfg_risk_base_2021_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2021_full_m1","profiles\r10_a7_dfg_risk_base_2021_full.set","D3EC06ADEEEDC6C80318CE78E87AC32FAC592128ABD90EF99688499241F9E8DE","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback spread risk scaling."
"4","r10_a7_dfg_risk_base","4","peak_r20_dfg_spread_risk_yearly","4","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_base_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\004_r10_a7_dfg_risk_base_2022_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2022_full_m1","profiles\r10_a7_dfg_risk_base_2022_full.set","0888DB3AE756CDC0B25D0470FFAD56A03CC19F8CE1330FB28F3471B82E3A4BA3","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback spread risk scaling."
"5","r10_a7_dfg_risk_base","5","peak_r20_dfg_spread_risk_yearly","5","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_base_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\005_r10_a7_dfg_risk_base_2023_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2023_full_m1","profiles\r10_a7_dfg_risk_base_2023_full.set","677E7D1EF51D5B1FFCA0385979E60D8836540CB08DFE018A1AF11FBEFAAF5B53","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback spread risk scaling."
"6","r10_a7_dfg_risk_base","6","peak_r20_dfg_spread_risk_yearly","6","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_base_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\006_r10_a7_dfg_risk_base_2024_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2024_full_m1","profiles\r10_a7_dfg_risk_base_2024_full.set","B59C11EEDAAB68771D1260C8971B872C5F2E8FC6D775BD573B8DA2AECB959A34","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback spread risk scaling."
"7","r10_a7_dfg_risk_base","7","peak_r20_dfg_spread_risk_yearly","7","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_base_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\007_r10_a7_dfg_risk_base_2025_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2025_full_m1","profiles\r10_a7_dfg_risk_base_2025_full.set","C7AD068EDDFF69CD89A8B08006A963184C329A8EF204B8CB3D7DA267AE14C025","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback spread risk scaling."
"8","r10_a7_dfg_risk_base","8","peak_r20_dfg_spread_risk_yearly","8","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_base_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\008_r10_a7_dfg_risk_base_2026_ytd_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2026_ytd_m1","profiles\r10_a7_dfg_risk_base_2026_ytd.set","5A9692D3F24672B563355A91BEAD434104ACB49F108978E7555C524143E6A115","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback spread risk scaling."
"9","r10_a7_dfg_risk_25_45_50","9","peak_r20_dfg_spread_risk_yearly","9","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_45_50_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\009_r10_a7_dfg_risk_25_45_50_2019_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2019_full_m1","profiles\r10_a7_dfg_risk_25_45_50_2019_full.set","3260DDFD2FF261CBFF5C273E877477BC3F0D40D63A460B4225EA3367434C663E","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 45 spread points, floor 0.50."
"10","r10_a7_dfg_risk_25_45_50","10","peak_r20_dfg_spread_risk_yearly","10","phase6_dfg_spread_risk_yearly_model1","r10_a7_dfg_risk_25_45_50_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\010_r10_a7_dfg_risk_25_45_50_2020_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2020_full_m1","profiles\r10_a7_dfg_risk_25_45_50_2020_full.set","3B623B9ACC3697529A389224181F3F2C2EFB442D5981A17BC4CD250CA115E878","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows.","Scale diagnostic fallback risk from 25 to 45 spread points, floor 0.50."
