"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","StopRule","Rationale"
"1","r10_a7_dfg_base","1","peak_r20_dfg_spread_yearly","1","phase6_dfg_spread_yearly_model1","r10_a7_dfg_base_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\001_r10_a7_dfg_base_2019_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2019_full_m1","profiles\r10_a7_dfg_base_2019_full.set","18DBB33E976DCDC7B6ACDE88A3B172C57E7F10047C6CF4700BE966BEF15D123D","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Control: no diagnostic fallback spread guard."
"2","r10_a7_dfg_base","2","peak_r20_dfg_spread_yearly","2","phase6_dfg_spread_yearly_model1","r10_a7_dfg_base_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\002_r10_a7_dfg_base_2020_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2020_full_m1","profiles\r10_a7_dfg_base_2020_full.set","AE04F7F290EA300E014DE967105EEA1B64CF34CD27D43B90B4AF49D7F842C93F","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Control: no diagnostic fallback spread guard."
"3","r10_a7_dfg_base","3","peak_r20_dfg_spread_yearly","3","phase6_dfg_spread_yearly_model1","r10_a7_dfg_base_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\003_r10_a7_dfg_base_2021_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2021_full_m1","profiles\r10_a7_dfg_base_2021_full.set","DE158FD515764086466B1858939186B06A842CDF415EB5B78B1ED9EBE1D2DFCE","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Control: no diagnostic fallback spread guard."
"4","r10_a7_dfg_base","4","peak_r20_dfg_spread_yearly","4","phase6_dfg_spread_yearly_model1","r10_a7_dfg_base_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\004_r10_a7_dfg_base_2022_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2022_full_m1","profiles\r10_a7_dfg_base_2022_full.set","205C61E099CA37355402558C666B16EFEC2373259C8856EFFA4A59BB451CB12D","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Control: no diagnostic fallback spread guard."
"5","r10_a7_dfg_base","5","peak_r20_dfg_spread_yearly","5","phase6_dfg_spread_yearly_model1","r10_a7_dfg_base_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\005_r10_a7_dfg_base_2023_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2023_full_m1","profiles\r10_a7_dfg_base_2023_full.set","CC2F6A90F336E813BC85D24E30B3148A93EE61213686CFA85F71D118F4612261","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Control: no diagnostic fallback spread guard."
"6","r10_a7_dfg_base","6","peak_r20_dfg_spread_yearly","6","phase6_dfg_spread_yearly_model1","r10_a7_dfg_base_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\006_r10_a7_dfg_base_2024_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2024_full_m1","profiles\r10_a7_dfg_base_2024_full.set","22E755865C6645599C6572D0085CE35827F65804D44A74B0BAB0AF7E329A9050","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Control: no diagnostic fallback spread guard."
"7","r10_a7_dfg_base","7","peak_r20_dfg_spread_yearly","7","phase6_dfg_spread_yearly_model1","r10_a7_dfg_base_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\007_r10_a7_dfg_base_2025_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2025_full_m1","profiles\r10_a7_dfg_base_2025_full.set","8E8F1110C477937F3F72BFD61344C9620D0BB57AA3C05B06C08F09771D6792BD","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Control: no diagnostic fallback spread guard."
"8","r10_a7_dfg_base","8","peak_r20_dfg_spread_yearly","8","phase6_dfg_spread_yearly_model1","r10_a7_dfg_base_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\008_r10_a7_dfg_base_2026_ytd_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_base_2026_ytd_m1","profiles\r10_a7_dfg_base_2026_ytd.set","5798FD4CDDC0FD64728D16FFA86EEB2B08B545297F6CF384FB53B6DDD7446217","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Control: no diagnostic fallback spread guard."
"9","r10_a7_dfg_spread29","9","peak_r20_dfg_spread_yearly","9","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread29_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\009_r10_a7_dfg_spread29_2019_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread29_2019_full_m1","profiles\r10_a7_dfg_spread29_2019_full.set","30D8C691E6D57E9A8119FC1E771A5D0B78517E72E7648C225DE7967B073B0529","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 29 spread points."
"10","r10_a7_dfg_spread29","10","peak_r20_dfg_spread_yearly","10","phase6_dfg_spread_yearly_model1","r10_a7_dfg_spread29_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\010_r10_a7_dfg_spread29_2020_full_m1.ini","peak_r20_dfg_spread_r10_a7_dfg_spread29_2020_full_m1","profiles\r10_a7_dfg_spread29_2020_full.set","0983525FC6A313F2A1EE288322FADFED2D8BC4663E18875AF54585802971317B","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback spread control removes Model4 fragility without killing yearly stability.","Block diagnostic fallback entries above 29 spread points."
