"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","r10_a7_dgf_perf_base","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2019_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\001_r10_a7_dgf_perf_base_2019_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\001_r10_a7_dgf_perf_base_2019_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2019_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2019_full_m1","408ED5D4236D3D27EF871C5C67D1A6ED08491561BBDCAC9DA5531E608FC760DE","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"2","r10_a7_dgf_perf_base","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2020_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\002_r10_a7_dgf_perf_base_2020_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\002_r10_a7_dgf_perf_base_2020_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2020_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2020_full_m1","EC2C67A5433C933267784C68AF63871CBF7A4B272D2AA6863FEE57A4EC4EFAF5","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"3","r10_a7_dgf_perf_base","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2021_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\003_r10_a7_dgf_perf_base_2021_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\003_r10_a7_dgf_perf_base_2021_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2021_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2021_full_m1","B7AD0772C1608F91F78B85030429FDFB03800FA33F02AD2DA58C65B0D54FB99B","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"4","r10_a7_dgf_perf_base","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2022_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\004_r10_a7_dgf_perf_base_2022_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\004_r10_a7_dgf_perf_base_2022_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2022_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2022_full_m1","310B4823BB16F11C8EBDEB02B1F9C8D71F160585F31F060B49F819431E1A62AB","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"5","r10_a7_dgf_perf_base","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2023_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\005_r10_a7_dgf_perf_base_2023_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\005_r10_a7_dgf_perf_base_2023_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2023_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2023_full_m1","A452099DCF1C95A7C5C729FAFA57DA2EC2563DC8300D67577EAA5C8176863AEA","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"6","r10_a7_dgf_perf_base","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2024_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\006_r10_a7_dgf_perf_base_2024_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\006_r10_a7_dgf_perf_base_2024_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2024_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2024_full_m1","7A5F211A799796C6187B4CFCFAD08DBFF4CB92403A78D14289B631907727720C","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"7","r10_a7_dgf_perf_base","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2025_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\007_r10_a7_dgf_perf_base_2025_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\007_r10_a7_dgf_perf_base_2025_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2025_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2025_full_m1","AB6FA94CD86FCF9277582FB89D1A4B9B153A27436F27EDA7AFBF3591029EC088","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"8","r10_a7_dgf_perf_base","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2026_ytd","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\008_r10_a7_dgf_perf_base_2026_ytd_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\008_r10_a7_dgf_perf_base_2026_ytd_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2026_ytd_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2026_ytd_m1","4F35680D9A8E35514CDD0B6ED70700AE00131AEC671A49BE7E3E8973DA79FB7E","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"9","r10_a7_dgf_perf_4_2_50","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2019_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\009_r10_a7_dgf_perf_4_2_50_2019_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\009_r10_a7_dgf_perf_4_2_50_2019_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2019_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2019_full_m1","8ABB631E356E9B18527122B03AD3857DF5221FC31905CA8F8D079E8DBE9C2851","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"10","r10_a7_dgf_perf_4_2_50","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2020_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\010_r10_a7_dgf_perf_4_2_50_2020_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\010_r10_a7_dgf_perf_4_2_50_2020_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2020_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2020_full_m1","AB160075D2D9C27AB38F5D0B1145F48690CBB6FAEA910CA59684AF0B42F941AE","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"11","r10_a7_dgf_perf_4_2_50","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2021_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\011_r10_a7_dgf_perf_4_2_50_2021_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\011_r10_a7_dgf_perf_4_2_50_2021_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2021_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2021_full_m1","92959B2A6E58A1ED3F2380AE10A0F50EEB6B5380A6B9FEF3BA82AA389A6094F6","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"12","r10_a7_dgf_perf_4_2_50","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2022_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\012_r10_a7_dgf_perf_4_2_50_2022_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\012_r10_a7_dgf_perf_4_2_50_2022_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2022_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2022_full_m1","5CBA2441CF75E2787A693536E0F636235C8D4E0056EE23F1409CD7829EEF4443","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"13","r10_a7_dgf_perf_4_2_50","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2023_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\013_r10_a7_dgf_perf_4_2_50_2023_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\013_r10_a7_dgf_perf_4_2_50_2023_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2023_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2023_full_m1","01238A021A72AAA1085B87EBFB0859888E3F2E88126F4CFE5909B26B43128EC1","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"14","r10_a7_dgf_perf_4_2_50","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2024_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\014_r10_a7_dgf_perf_4_2_50_2024_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\014_r10_a7_dgf_perf_4_2_50_2024_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2024_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2024_full_m1","59E1EDCBCCBBE74BB6F349678AD51DC5458FAA06C7C0D626786295AF582B898C","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"15","r10_a7_dgf_perf_4_2_50","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2025_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\015_r10_a7_dgf_perf_4_2_50_2025_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\015_r10_a7_dgf_perf_4_2_50_2025_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2025_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2025_full_m1","63FFB334B70F35DA9E80F8B285ED67B82B66E1A22161A496401BDB55C8C05822","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"16","r10_a7_dgf_perf_4_2_50","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2026_ytd","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\016_r10_a7_dgf_perf_4_2_50_2026_ytd_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\016_r10_a7_dgf_perf_4_2_50_2026_ytd_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2026_ytd_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2026_ytd_m1","F508087B021B1A3DDD623E0EF467CB9D884D98922343463A996E17EAD1F7A734","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"17","r10_a7_dgf_perf_3_2_40","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2019_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\017_r10_a7_dgf_perf_3_2_40_2019_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\017_r10_a7_dgf_perf_3_2_40_2019_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2019_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2019_full_m1","3B84497EE5CFA926D30F7B02DA65C211F7B05986C10A10938AAEE96657182CD7","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"18","r10_a7_dgf_perf_3_2_40","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2020_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\018_r10_a7_dgf_perf_3_2_40_2020_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\018_r10_a7_dgf_perf_3_2_40_2020_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2020_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2020_full_m1","33DAC0281641B215A720D1AA3BFE40C245C988E3421D0EE2847D3382F03698CB","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"19","r10_a7_dgf_perf_3_2_40","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2021_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\019_r10_a7_dgf_perf_3_2_40_2021_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\019_r10_a7_dgf_perf_3_2_40_2021_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2021_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2021_full_m1","2101A72D9E994191875448D1DBA270C02AA035B6065F46A678FD97DBEFB31C25","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"20","r10_a7_dgf_perf_3_2_40","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2022_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\020_r10_a7_dgf_perf_3_2_40_2022_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\020_r10_a7_dgf_perf_3_2_40_2022_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2022_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2022_full_m1","1655E8B5C966B704B7F46071EB5C50F49B5775FAF0AC25BE624E3CB38DBB6846","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"21","r10_a7_dgf_perf_3_2_40","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2023_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\021_r10_a7_dgf_perf_3_2_40_2023_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\021_r10_a7_dgf_perf_3_2_40_2023_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2023_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2023_full_m1","6E43334ECBEA9F6D10F5E48EE55D5F3385D7BA592B86D5F3B3CCC54BC598DEDF","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"22","r10_a7_dgf_perf_3_2_40","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2024_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\022_r10_a7_dgf_perf_3_2_40_2024_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\022_r10_a7_dgf_perf_3_2_40_2024_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2024_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2024_full_m1","E073069C761A73BD54FEFA3B06E7AE5B4626F3106E38452EA5FE26565558ABA0","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"23","r10_a7_dgf_perf_3_2_40","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2025_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\023_r10_a7_dgf_perf_3_2_40_2025_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\023_r10_a7_dgf_perf_3_2_40_2025_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2025_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2025_full_m1","A8807A6581C9916ADCF108DCA1C589883012C96BB05382AAC46901C193A18FD0","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"24","r10_a7_dgf_perf_3_2_40","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2026_ytd","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\024_r10_a7_dgf_perf_3_2_40_2026_ytd_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\024_r10_a7_dgf_perf_3_2_40_2026_ytd_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2026_ytd_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2026_ytd_m1","01B7A7A2919F7507173A33425BF3912745CC60706C108096FC5DE03950C47885","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
"25","r10_a7_dgf_perf_5_2_50","phase7_dgf_perf_risk_yearly_model1","Peak R20 diagnostic fallback performance risk yearly Model1","2019_full","1","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\025_r10_a7_dgf_perf_5_2_50_2019_full_m1.ini","outputs\peak_r20_dgf_perf_risk_yearly_package\configs\025_r10_a7_dgf_perf_5_2_50_2019_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_5_2_50_2019_full_m1","outputs\peak_r20_dgf_perf_risk_yearly_package\reports_here\peak_r20_dgf_perf_risk_r10_a7_dgf_perf_5_2_50_2019_full_m1","52FEBC9910E13945B7BC2933C8A8EC42961304427FDE930F9A068693AFB79301","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows."
