"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","StopRule","Rationale"
"1","r10_a7_dgf_perf_base","1","peak_r20_dgf_perf_risk_yearly","1","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\001_r10_a7_dgf_perf_base_2019_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2019_full_m1","profiles\r10_a7_dgf_perf_base_2019_full.set","408ED5D4236D3D27EF871C5C67D1A6ED08491561BBDCAC9DA5531E608FC760DE","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback performance risk scaling."
"2","r10_a7_dgf_perf_base","2","peak_r20_dgf_perf_risk_yearly","2","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\002_r10_a7_dgf_perf_base_2020_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2020_full_m1","profiles\r10_a7_dgf_perf_base_2020_full.set","EC2C67A5433C933267784C68AF63871CBF7A4B272D2AA6863FEE57A4EC4EFAF5","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback performance risk scaling."
"3","r10_a7_dgf_perf_base","3","peak_r20_dgf_perf_risk_yearly","3","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\003_r10_a7_dgf_perf_base_2021_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2021_full_m1","profiles\r10_a7_dgf_perf_base_2021_full.set","B7AD0772C1608F91F78B85030429FDFB03800FA33F02AD2DA58C65B0D54FB99B","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback performance risk scaling."
"4","r10_a7_dgf_perf_base","4","peak_r20_dgf_perf_risk_yearly","4","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\004_r10_a7_dgf_perf_base_2022_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2022_full_m1","profiles\r10_a7_dgf_perf_base_2022_full.set","310B4823BB16F11C8EBDEB02B1F9C8D71F160585F31F060B49F819431E1A62AB","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback performance risk scaling."
"5","r10_a7_dgf_perf_base","5","peak_r20_dgf_perf_risk_yearly","5","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\005_r10_a7_dgf_perf_base_2023_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2023_full_m1","profiles\r10_a7_dgf_perf_base_2023_full.set","A452099DCF1C95A7C5C729FAFA57DA2EC2563DC8300D67577EAA5C8176863AEA","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback performance risk scaling."
"6","r10_a7_dgf_perf_base","6","peak_r20_dgf_perf_risk_yearly","6","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\006_r10_a7_dgf_perf_base_2024_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2024_full_m1","profiles\r10_a7_dgf_perf_base_2024_full.set","7A5F211A799796C6187B4CFCFAD08DBFF4CB92403A78D14289B631907727720C","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback performance risk scaling."
"7","r10_a7_dgf_perf_base","7","peak_r20_dgf_perf_risk_yearly","7","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\007_r10_a7_dgf_perf_base_2025_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2025_full_m1","profiles\r10_a7_dgf_perf_base_2025_full.set","AB6FA94CD86FCF9277582FB89D1A4B9B153A27436F27EDA7AFBF3591029EC088","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback performance risk scaling."
"8","r10_a7_dgf_perf_base","8","peak_r20_dgf_perf_risk_yearly","8","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\008_r10_a7_dgf_perf_base_2026_ytd_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2026_ytd_m1","profiles\r10_a7_dgf_perf_base_2026_ytd.set","4F35680D9A8E35514CDD0B6ED70700AE00131AEC671A49BE7E3E8973DA79FB7E","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Control: no diagnostic fallback performance risk scaling."
"9","r10_a7_dgf_perf_4_2_50","9","peak_r20_dgf_perf_risk_yearly","9","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_4_2_50_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\009_r10_a7_dgf_perf_4_2_50_2019_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2019_full_m1","profiles\r10_a7_dgf_perf_4_2_50_2019_full.set","8ABB631E356E9B18527122B03AD3857DF5221FC31905CA8F8D079E8DBE9C2851","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Throttle DGF risk to floor 0.50 when last 4 DGF trades, minimum 2 samples, average R is weak."
"10","r10_a7_dgf_perf_4_2_50","10","peak_r20_dgf_perf_risk_yearly","10","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_4_2_50_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\010_r10_a7_dgf_perf_4_2_50_2020_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2020_full_m1","profiles\r10_a7_dgf_perf_4_2_50_2020_full.set","AB160075D2D9C27AB38F5D0B1145F48690CBB6FAEA910CA59684AF0B42F941AE","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Throttle DGF risk to floor 0.50 when last 4 DGF trades, minimum 2 samples, average R is weak."
"11","r10_a7_dgf_perf_4_2_50","11","peak_r20_dgf_perf_risk_yearly","11","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_4_2_50_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\011_r10_a7_dgf_perf_4_2_50_2021_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2021_full_m1","profiles\r10_a7_dgf_perf_4_2_50_2021_full.set","92959B2A6E58A1ED3F2380AE10A0F50EEB6B5380A6B9FEF3BA82AA389A6094F6","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Throttle DGF risk to floor 0.50 when last 4 DGF trades, minimum 2 samples, average R is weak."
"12","r10_a7_dgf_perf_4_2_50","12","peak_r20_dgf_perf_risk_yearly","12","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_4_2_50_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\012_r10_a7_dgf_perf_4_2_50_2022_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2022_full_m1","profiles\r10_a7_dgf_perf_4_2_50_2022_full.set","5CBA2441CF75E2787A693536E0F636235C8D4E0056EE23F1409CD7829EEF4443","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Throttle DGF risk to floor 0.50 when last 4 DGF trades, minimum 2 samples, average R is weak."
"13","r10_a7_dgf_perf_4_2_50","13","peak_r20_dgf_perf_risk_yearly","13","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_4_2_50_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\013_r10_a7_dgf_perf_4_2_50_2023_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2023_full_m1","profiles\r10_a7_dgf_perf_4_2_50_2023_full.set","01238A021A72AAA1085B87EBFB0859888E3F2E88126F4CFE5909B26B43128EC1","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Throttle DGF risk to floor 0.50 when last 4 DGF trades, minimum 2 samples, average R is weak."
"14","r10_a7_dgf_perf_4_2_50","14","peak_r20_dgf_perf_risk_yearly","14","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_4_2_50_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\014_r10_a7_dgf_perf_4_2_50_2024_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2024_full_m1","profiles\r10_a7_dgf_perf_4_2_50_2024_full.set","59E1EDCBCCBBE74BB6F349678AD51DC5458FAA06C7C0D626786295AF582B898C","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Throttle DGF risk to floor 0.50 when last 4 DGF trades, minimum 2 samples, average R is weak."
"15","r10_a7_dgf_perf_4_2_50","15","peak_r20_dgf_perf_risk_yearly","15","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_4_2_50_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\015_r10_a7_dgf_perf_4_2_50_2025_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2025_full_m1","profiles\r10_a7_dgf_perf_4_2_50_2025_full.set","63FFB334B70F35DA9E80F8B285ED67B82B66E1A22161A496401BDB55C8C05822","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Throttle DGF risk to floor 0.50 when last 4 DGF trades, minimum 2 samples, average R is weak."
"16","r10_a7_dgf_perf_4_2_50","16","peak_r20_dgf_perf_risk_yearly","16","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_4_2_50_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\016_r10_a7_dgf_perf_4_2_50_2026_ytd_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2026_ytd_m1","profiles\r10_a7_dgf_perf_4_2_50_2026_ytd.set","F508087B021B1A3DDD623E0EF467CB9D884D98922343463A996E17EAD1F7A734","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","Throttle DGF risk to floor 0.50 when last 4 DGF trades, minimum 2 samples, average R is weak."
"17","r10_a7_dgf_perf_3_2_40","17","peak_r20_dgf_perf_risk_yearly","17","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_3_2_40_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\017_r10_a7_dgf_perf_3_2_40_2019_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2019_full_m1","profiles\r10_a7_dgf_perf_3_2_40_2019_full.set","3B84497EE5CFA926D30F7B02DA65C211F7B05986C10A10938AAEE96657182CD7","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","More reactive DGF performance throttle using last 3 DGF trades, minimum 2 samples, floor 0.40."
"18","r10_a7_dgf_perf_3_2_40","18","peak_r20_dgf_perf_risk_yearly","18","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_3_2_40_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\018_r10_a7_dgf_perf_3_2_40_2020_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2020_full_m1","profiles\r10_a7_dgf_perf_3_2_40_2020_full.set","33DAC0281641B215A720D1AA3BFE40C245C988E3421D0EE2847D3382F03698CB","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","More reactive DGF performance throttle using last 3 DGF trades, minimum 2 samples, floor 0.40."
"19","r10_a7_dgf_perf_3_2_40","19","peak_r20_dgf_perf_risk_yearly","19","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_3_2_40_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\019_r10_a7_dgf_perf_3_2_40_2021_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2021_full_m1","profiles\r10_a7_dgf_perf_3_2_40_2021_full.set","2101A72D9E994191875448D1DBA270C02AA035B6065F46A678FD97DBEFB31C25","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","More reactive DGF performance throttle using last 3 DGF trades, minimum 2 samples, floor 0.40."
"20","r10_a7_dgf_perf_3_2_40","20","peak_r20_dgf_perf_risk_yearly","20","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_3_2_40_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\020_r10_a7_dgf_perf_3_2_40_2022_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_3_2_40_2022_full_m1","profiles\r10_a7_dgf_perf_3_2_40_2022_full.set","1655E8B5C966B704B7F46071EB5C50F49B5775FAF0AC25BE624E3CB38DBB6846","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","More reactive DGF performance throttle using last 3 DGF trades, minimum 2 samples, floor 0.40."
