"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","r10_a7_dgf_perf_base","1","peak_r20_dgf_perf_risk_yearly","1","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\001_r10_a7_dgf_perf_base_2019_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2019_full_m1","profiles\r10_a7_dgf_perf_base_2019_full.set","408ED5D4236D3D27EF871C5C67D1A6ED08491561BBDCAC9DA5531E608FC760DE","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","364","0.9966","33.1","1033.1","3.31","3.32","3.32","3.982","16.55","0.5836","50","2","1","29.47","2.85","29.47","29.47","1.1525","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T14:43:31","2026-07-14T14:43:31"
"2","r10_a7_dgf_perf_base","2","peak_r20_dgf_perf_risk_yearly","2","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\002_r10_a7_dgf_perf_base_2020_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2020_full_m1","profiles\r10_a7_dgf_perf_base_2020_full.set","EC2C67A5433C933267784C68AF63871CBF7A4B272D2AA6863FEE57A4EC4EFAF5","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","365","0.9993","9.25","1009.25","0.92","0.93","0.93","1.2148","2.3125","0.2091","25","4","3","61.62","6.11","61.62","61.62","0.1409","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T14:43:44","2026-07-14T14:43:44"
"3","r10_a7_dgf_perf_base","3","peak_r20_dgf_perf_risk_yearly","3","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2021_full.set","2021_full","2021.01.01","2021.12.31","1","configs\003_r10_a7_dgf_perf_base_2021_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2021_full_m1","profiles\r10_a7_dgf_perf_base_2021_full.set","B7AD0772C1608F91F78B85030429FDFB03800FA33F02AD2DA58C65B0D54FB99B","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","364","0.9966","76.54","1076.54","7.65","7.68","7.68","4.2709","25.5133","0.6803","66.67","3","1","49.42","4.59","49.42","49.42","1.4868","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T14:43:57","2026-07-14T14:43:57"
"4","r10_a7_dgf_perf_base","4","peak_r20_dgf_perf_risk_yearly","4","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2022_full.set","2022_full","2022.01.01","2022.12.31","1","configs\004_r10_a7_dgf_perf_base_2022_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2022_full_m1","profiles\r10_a7_dgf_perf_base_2022_full.set","310B4823BB16F11C8EBDEB02B1F9C8D71F160585F31F060B49F819431E1A62AB","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","364","0.9966","37.64","1037.64","3.76","3.78","3.78","1.5009","4.705","1.0851","33.33","8","3","62.51","6.02","62.51","62.51","0.5774","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T14:44:10","2026-07-14T14:44:10"
"5","r10_a7_dgf_perf_base","5","peak_r20_dgf_perf_risk_yearly","5","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2023_full.set","2023_full","2023.01.01","2023.12.31","1","configs\005_r10_a7_dgf_perf_base_2023_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2023_full_m1","profiles\r10_a7_dgf_perf_base_2023_full.set","A452099DCF1C95A7C5C729FAFA57DA2EC2563DC8300D67577EAA5C8176863AEA","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","364","0.9966","63.91","1063.91","6.39","6.41","6.41","0","31.955","0.4704","100","2","0","38.83","3.65","38.83","38.83","1.5859","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T14:44:23","2026-07-14T14:44:23"
"6","r10_a7_dgf_perf_base","6","peak_r20_dgf_perf_risk_yearly","6","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2024_full.set","2024_full","2024.01.01","2024.12.31","1","configs\006_r10_a7_dgf_perf_base_2024_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2024_full_m1","profiles\r10_a7_dgf_perf_base_2024_full.set","7A5F211A799796C6187B4CFCFAD08DBFF4CB92403A78D14289B631907727720C","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","365","0.9993","15.72","1015.72","1.57","1.57","1.57","1.2944","3.93","0.2756","25","4","3","71.88","7.08","71.88","71.88","0.2221","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T14:44:36","2026-07-14T14:44:36"
"7","r10_a7_dgf_perf_base","7","peak_r20_dgf_perf_risk_yearly","7","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2025_full.set","2025_full","2025.01.01","2025.12.31","1","configs\007_r10_a7_dgf_perf_base_2025_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2025_full_m1","profiles\r10_a7_dgf_perf_base_2025_full.set","AB6FA94CD86FCF9277582FB89D1A4B9B153A27436F27EDA7AFBF3591029EC088","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","364","0.9966","53.52","1053.52","5.35","5.37","5.37","11.0981","13.38","1.0073","75","4","1","43.35","4.11","43.35","43.35","1.1838","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T14:44:49","2026-07-14T14:44:49"
"8","r10_a7_dgf_perf_base","8","peak_r20_dgf_perf_risk_yearly","8","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_base_2026_ytd.set","2026_ytd","2026.01.01","2026.07.12","1","configs\008_r10_a7_dgf_perf_base_2026_ytd_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_base_2026_ytd_m1","profiles\r10_a7_dgf_perf_base_2026_ytd.set","4F35680D9A8E35514CDD0B6ED70700AE00131AEC671A49BE7E3E8973DA79FB7E","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","192","0.5257","54.92","1054.92","5.49","10.45","10.71","0","54.92","0.133","100","1","0","31.28","2.97","31.28","31.28","1.7739","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T14:45:01","2026-07-14T14:45:01"
"9","r10_a7_dgf_perf_4_2_50","9","peak_r20_dgf_perf_risk_yearly","9","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_4_2_50_2019_full.set","2019_full","2019.01.01","2019.12.31","1","configs\009_r10_a7_dgf_perf_4_2_50_2019_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2019_full_m1","profiles\r10_a7_dgf_perf_4_2_50_2019_full.set","8ABB631E356E9B18527122B03AD3857DF5221FC31905CA8F8D079E8DBE9C2851","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","364","0.9966","33.1","1033.1","3.31","3.32","3.32","3.982","16.55","0.5836","50","2","1","29.47","2.85","29.47","29.47","1.1525","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T14:45:15","2026-07-14T14:45:15"
"10","r10_a7_dgf_perf_4_2_50","10","peak_r20_dgf_perf_risk_yearly","10","phase7_dgf_perf_risk_yearly_model1","r10_a7_dgf_perf_4_2_50_2020_full.set","2020_full","2020.01.01","2020.12.31","1","configs\010_r10_a7_dgf_perf_4_2_50_2020_full_m1.ini","peak_r20_dgf_perf_risk_r10_a7_dgf_perf_4_2_50_2020_full_m1","profiles\r10_a7_dgf_perf_4_2_50_2020_full.set","AB160075D2D9C27AB38F5D0B1145F48690CBB6FAEA910CA59684AF0B42F941AE","Reject unless diagnostic fallback performance risk scaling improves stability without creating red yearly windows.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","365","0.9993","9.25","1009.25","0.92","0.93","0.93","1.2148","2.3125","0.2091","25","4","3","61.62","6.11","61.62","61.62","0.1409","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T14:45:27","2026-07-14T14:45:27"
