"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","r10_base","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\001_r10_base_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_base_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:50:05","2026-07-14T11:50:20"
"2","r10_minfloor02","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\002_r10_minfloor02_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_minfloor02_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:50:20","2026-07-14T11:50:35"
"3","r10_minfloor05","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\003_r10_minfloor05_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_minfloor05_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:50:35","2026-07-14T11:50:50"
"4","r10_minfloor10","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\004_r10_minfloor10_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_minfloor10_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:50:50","2026-07-14T11:51:05"
"5","r10_eqgb_q15_12_18","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\005_r10_eqgb_q15_12_18_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_eqgb_q15_12_18_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:51:05","2026-07-14T11:51:20"
"6","r10_eqgb_q20_12_18","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\006_r10_eqgb_q20_12_18_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_eqgb_q20_12_18_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:51:20","2026-07-14T11:51:35"
"7","r10_eqgb_q10_10_16","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\007_r10_eqgb_q10_10_16_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_eqgb_q10_10_16_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:51:35","2026-07-14T11:51:50"
"8","r10_realgb_q15_12_18","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\008_r10_realgb_q15_12_18_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_realgb_q15_12_18_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:51:50","2026-07-14T11:52:05"
"9","r10_realgb_q20_12_18","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\009_r10_realgb_q20_12_18_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_realgb_q20_12_18_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:52:05","2026-07-14T11:52:20"
"10","r10_bothgb_q15","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\010_r10_bothgb_q15_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_bothgb_q15_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:52:20","2026-07-14T11:52:35"
"11","r10_loss_scale_25","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\011_r10_loss_scale_25_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_loss_scale_25_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:52:35","2026-07-14T11:52:50"
"12","r10_loss_scale_15","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\012_r10_loss_scale_15_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_loss_scale_15_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:52:50","2026-07-14T11:53:05"
"13","r10_floor10_loss25","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\013_r10_floor10_loss25_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_floor10_loss25_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:53:05","2026-07-14T11:53:20"
"14","r10_floor05_loss25","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\014_r10_floor05_loss25_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_floor05_loss25_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:53:20","2026-07-14T11:53:35"
"15","r10_floor10_eqgb","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\015_r10_floor10_eqgb_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_floor10_eqgb_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:53:35","2026-07-14T11:53:50"
"16","r10_floor05_eqgb","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\016_r10_floor05_eqgb_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_floor05_eqgb_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:53:50","2026-07-14T11:54:05"
"17","r10_may260_floor10","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\017_r10_may260_floor10_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_may260_floor10_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:54:05","2026-07-14T11:54:20"
"18","r10_may240_floor10","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\018_r10_may240_floor10_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_may240_floor10_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:54:20","2026-07-14T11:54:35"
"19","r10_aug25_floor05","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\019_r10_aug25_floor05_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_aug25_floor05_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:54:35","2026-07-14T11:54:50"
"20","r10_profit_guard40","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\020_r10_profit_guard40_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_profit_guard40_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:54:50","2026-07-14T11:55:05"
"21","r10_eqlock4_50","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\021_r10_eqlock4_50_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_eqlock4_50_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:55:05","2026-07-14T11:55:20"
"22","r10_dailytrail35","continuous_2024_2026","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_drawdown_sweep_package\configs\022_r10_dailytrail35_continuous_2024_2026_m1.ini","True","peak_r20_dd_r10_dailytrail35_continuous_2024_2026_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T11:55:20","2026-07-14T11:55:35"
