"Candidate","SourceType","Phase","Expected","ParsedReports","ParsedLogs","ParsedTotal","Missing","Unparsed","TotalNetProfit","WorstNetProfit","AverageAnnualizedReturnPercent","WorstAnnualizedReturnPercent","AverageCagrPercent","WorstCagrPercent","WorstDrawdownPercent","MinProfitFactor","TotalTrades"
"r10_base","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","1716.76","1716.76","67.94","67.94","48.51","48.51","10.62","2.8655","76"
"r10_minfloor02","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","117.29","117.29","4.64","4.64","4.49","4.49","5.25","2.6171","16"
"r10_minfloor05","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","102.81","102.81","4.07","4.07","3.95","3.95","6.83","1.7198","45"
"r10_minfloor10","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","161.71","161.71","6.4","6.4","6.11","6.11","7.02","1.6238","60"
"r10_eqgb_q15_12_18","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","329.09","329.09","13.02","13.02","11.92","11.92","5.35","5.6627","8"
"r10_eqgb_q20_12_18","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","296.09","296.09","11.72","11.72","10.81","10.81","7.7","3.8586","9"
"r10_eqgb_q10_10_16","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","329.09","329.09","13.02","13.02","11.92","11.92","5.35","5.6627","8"
"r10_realgb_q15_12_18","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","1716.76","1716.76","67.94","67.94","48.51","48.51","10.62","2.8655","76"
"r10_realgb_q20_12_18","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","1716.76","1716.76","67.94","67.94","48.51","48.51","10.62","2.8655","76"
"r10_bothgb_q15","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","329.09","329.09","13.02","13.02","11.92","11.92","5.35","5.6627","8"
"r10_loss_scale_25","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","1404.08","1404.08","55.56","55.56","41.5","41.5","9.26","2.7119","77"
"r10_loss_scale_15","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","1311.8","1311.8","51.91","51.91","39.32","39.32","8.72","2.8451","71"
"r10_floor10_loss25","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","113.44","113.44","4.49","4.49","4.34","4.34","8.12","1.4878","54"
"r10_floor05_loss25","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","102.81","102.81","4.07","4.07","3.95","3.95","6.83","1.7198","45"
"r10_floor10_eqgb","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","165.16","165.16","6.54","6.54","6.24","6.24","2.74","5.5474","8"
"r10_floor05_eqgb","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","146.26","146.26","5.79","5.79","5.55","5.55","2.79","5.027","8"
"r10_may260_floor10","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","146.72","146.72","5.81","5.81","5.57","5.57","6.97","1.5741","60"
"r10_may240_floor10","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","139.36","139.36","5.51","5.51","5.3","5.3","6.76","1.5431","60"
"r10_aug25_floor05","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","102.81","102.81","4.07","4.07","3.95","3.95","6.83","1.7198","45"
"r10_profit_guard40","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","979.74","979.74","38.77","38.77","31.03","31.03","7.71","3.2752","47"
"r10_eqlock4_50","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","1716.76","1716.76","67.94","67.94","48.51","48.51","10.62","2.8655","76"
"r10_dailytrail35","peak_r20_drawdown_sweep","phase0_fast_model1","1","0","1","1","0","0","1729.28","1729.28","68.43","68.43","48.78","48.78","10.62","2.9051","75"
