"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","r10_base","1","peak_r20_drawdown_sweep","1","phase0_fast_model1","r10_base.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\001_r10_base_continuous_2024_2026_m1.ini","peak_r20_dd_r10_base_continuous_2024_2026_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","923","2.527","1716.76","2716.76","171.68","67.94","48.51","2.8655","22.5889","27.932","55.41","76","5","288.5","10.62","288.5","288.5","7.5227","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T11:50:14","2026-07-14T11:50:14"
"2","r10_minfloor02","2","peak_r20_drawdown_sweep","2","phase0_fast_model1","r10_minfloor02.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\002_r10_minfloor02_continuous_2024_2026_m1.ini","peak_r20_dd_r10_minfloor02_continuous_2024_2026_m1","profiles\r10_minfloor02.set","060A294265A81A3CB102A15A12C0A8B89FAB3AA0A4DDE0732FE9F2C54250B008","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","923","2.527","117.29","1117.29","11.73","4.64","4.49","2.6171","7.3306","17.6588","56.25","16","4","58.61","5.25","58.61","58.61","1.8964","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T11:50:29","2026-07-14T11:50:29"
"3","r10_minfloor05","3","peak_r20_drawdown_sweep","3","phase0_fast_model1","r10_minfloor05.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\003_r10_minfloor05_continuous_2024_2026_m1.ini","peak_r20_dd_r10_minfloor05_continuous_2024_2026_m1","profiles\r10_minfloor05.set","9538184507246CDADA0741DA00EABD86DADDA35796B3DE7DF4F06373261C9981","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","923","2.527","102.81","1102.81","10.28","4.07","3.95","1.7198","2.2847","14.1034","35.56","45","8","75.29","6.83","75.29","75.29","1.2771","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T11:50:45","2026-07-14T11:50:45"
"4","r10_minfloor10","4","peak_r20_drawdown_sweep","4","phase0_fast_model1","r10_minfloor10.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\004_r10_minfloor10_continuous_2024_2026_m1.ini","peak_r20_dd_r10_minfloor10_continuous_2024_2026_m1","profiles\r10_minfloor10.set","0892CA8CE4C9ABDCA919E4D993733E12D811FC5C99EFAB4207B7CA48E695F32E","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","923","2.527","161.71","1161.71","16.17","6.4","6.11","1.6238","2.6952","12.6887","37.5","60","8","81.51","7.02","81.51","81.51","1.9237","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T11:51:00","2026-07-14T11:51:00"
"5","r10_eqgb_q15_12_18","5","peak_r20_drawdown_sweep","5","phase0_fast_model1","r10_eqgb_q15_12_18.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\005_r10_eqgb_q15_12_18_continuous_2024_2026_m1.ini","peak_r20_dd_r10_eqgb_q15_12_18_continuous_2024_2026_m1","profiles\r10_eqgb_q15_12_18.set","41CC6D4282596FBA9EC4AFF89F77289D037E4114D02140E3E9DE0CD5FBDCBED7","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","923","2.527","329.09","1329.09","32.91","13.02","11.92","5.6627","41.1362","8.1835","43.28","8","7","71.16","5.35","71.16","71.16","4.3774","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T11:51:14","2026-07-14T11:51:14"
"6","r10_eqgb_q20_12_18","6","peak_r20_drawdown_sweep","6","phase0_fast_model1","r10_eqgb_q20_12_18.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\006_r10_eqgb_q20_12_18_continuous_2024_2026_m1.ini","peak_r20_dd_r10_eqgb_q20_12_18_continuous_2024_2026_m1","profiles\r10_eqgb_q20_12_18.set","6645ED688C498C1E9E71623AE182FCE3AA3F8E81B296A79C24F934D958F1A9A7","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","923","2.527","296.09","1296.09","29.61","11.72","10.81","3.8586","32.8989","8.8453","66.67","9","3","99.85","7.7","99.85","99.85","2.737","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T11:51:30","2026-07-14T11:51:30"
"7","r10_eqgb_q10_10_16","7","peak_r20_drawdown_sweep","7","phase0_fast_model1","r10_eqgb_q10_10_16.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\007_r10_eqgb_q10_10_16_continuous_2024_2026_m1.ini","peak_r20_dd_r10_eqgb_q10_10_16_continuous_2024_2026_m1","profiles\r10_eqgb_q10_10_16.set","E2FD6644E7D131B6A0EBE38A7070B625C6052955E31AFC3E1B817CAD1C701260","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","923","2.527","329.09","1329.09","32.91","13.02","11.92","5.6627","41.1362","8.1835","70.59","8","3","71.16","5.35","71.16","71.16","4.3774","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T11:51:44","2026-07-14T11:51:44"
"8","r10_realgb_q15_12_18","8","peak_r20_drawdown_sweep","8","phase0_fast_model1","r10_realgb_q15_12_18.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\008_r10_realgb_q15_12_18_continuous_2024_2026_m1.ini","peak_r20_dd_r10_realgb_q15_12_18_continuous_2024_2026_m1","profiles\r10_realgb_q15_12_18.set","0EB85E1DC598DD71769C1FCD0522120027E5040DD852AF3B71D716C5EC6E497C","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","923","2.527","1716.76","2716.76","171.68","67.94","48.51","2.8655","22.5889","27.932","55.41","76","5","288.5","10.62","288.5","288.5","7.5227","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T11:51:59","2026-07-14T11:51:59"
"9","r10_realgb_q20_12_18","9","peak_r20_drawdown_sweep","9","phase0_fast_model1","r10_realgb_q20_12_18.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\009_r10_realgb_q20_12_18_continuous_2024_2026_m1.ini","peak_r20_dd_r10_realgb_q20_12_18_continuous_2024_2026_m1","profiles\r10_realgb_q20_12_18.set","0E000C3AF00EBBF69BEF2475A49BE4CA389B438DA77B6C11FB6AAF2CB14C7C94","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","923","2.527","1716.76","2716.76","171.68","67.94","48.51","2.8655","22.5889","27.932","55.41","76","5","288.5","10.62","288.5","288.5","7.5227","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T11:52:15","2026-07-14T11:52:15"
"10","r10_bothgb_q15","10","peak_r20_drawdown_sweep","10","phase0_fast_model1","r10_bothgb_q15.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\010_r10_bothgb_q15_continuous_2024_2026_m1.ini","peak_r20_dd_r10_bothgb_q15_continuous_2024_2026_m1","profiles\r10_bothgb_q15.set","6CE678CED3783877723A88E8F733B9478C20D174645763C1348CCCD41436F69D","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","923","2.527","329.09","1329.09","32.91","13.02","11.92","5.6627","41.1362","8.1835","57.32","8","5","71.16","5.35","71.16","71.16","4.3774","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T11:52:29","2026-07-14T11:52:29"
