"Window","Lane","Trades","NetProfit","Wins","Losses","WinRatePercent","GrossWin","GrossLoss","ProfitFactor","AvgProfit"
"2019_full","DiagnosticFallback","4","-62.05","0","4","0","0","-62.05","0","-15.51"
"2019_full","ISLP","1","21.76","1","0","100","21.76","0","999","21.76"
"2021_full","DiagnosticFallback","6","-61.27","1","5","16.67","35.28","-96.55","0.3654","-10.21"
"2021_full","LiquiditySweep","2","-14.8","1","1","50","10.4","-25.2","0.4127","-7.4"
"2021_full","FMR","2","14.42","2","0","100","14.42","0","999","7.21"
"2022_full","DiagnosticFallback","13","-23.91","4","9","30.77","146.24","-170.15","0.8595","-1.84"
"2022_full","FMR","1","-8.32","0","1","0","0","-8.32","0","-8.32"
"2022_full","LiquiditySweep","4","66.3","2","2","50","84.45","-18.15","4.6529","16.58"
"2023_full","LiquiditySweep","5","-17.35","1","4","20","55.9","-73.25","0.7631","-3.47"
"2023_full","DiagnosticFallback","8","60.76","4","4","50","112.11","-51.35","2.1833","7.6"
"2024_full","FMR","1","-10.08","0","1","0","0","-10.08","0","-10.08"
"2024_full","LiquiditySweep","3","4.46","1","2","33.33","53.7","-49.24","1.0906","1.49"
"2024_full","ISLP","1","20.65","1","0","100","20.65","0","999","20.65"
"2024_full","DiagnosticFallback","13","398.74","9","4","69.23","518.9","-120.16","4.3184","30.67"
