"Window","EntryTime","Bias","Lane","Profit","RealizedR","MaxFavorableR","MaxAdverseR","HeldBars","EntrySpread","EntryReason","ExitReason"
"2024_full","2024-08-15 10:15:00","sell","DiagnosticFallback","-36.5","-10","0.03","-0.55","11","33","Diagnostic trend fallback;","sl 2458.67"
"2024_full","2024-05-07 08:00:00","buy","DiagnosticFallback","-36.5","-9.41","-0.01","-0.45","4","16","Diagnostic trend fallback;","sl 2319.12"
"2024_full","2024-08-19 14:15:00","buy","LiquiditySweep","-33.84","-9.99",,,"0","35","Liquidity sweep;Diagnostic trend fallback;","sl 2487.17"
"2024_full","2024-08-06 08:15:00","buy","DiagnosticFallback","-32.88","-10","-0.09","-0.85","2","33","Diagnostic trend fallback;","sl 2404.80"
"2023_full","2023-08-07 15:15:00","sell","DiagnosticFallback","-26.55","-10.01","-0.53","-0.55","2","8","Diagnostic trend fallback;","sl 1938.08"
"2022_full","2022-08-15 07:00:00","buy","DiagnosticFallback","-26.39","-9.98","-0.51","-0.8","5","10","Diagnostic trend fallback;","sl 1793.47"
"2021_full","2021-05-06 13:00:00","buy","DiagnosticFallback","-26.32","-9.78","-0.15","-0.6","4","1","Diagnostic trend fallback;","sl 1790.19"
"2022_full","2022-08-10 08:45:00","buy","DiagnosticFallback","-26.13","-10",,,"0","10","Diagnostic trend fallback;","sl 1788.30"
"2021_full","2021-03-04 07:15:00","sell","LiquiditySweep","-25.2","-9.98","-0.09","-0.09","1","12","Liquidity sweep;Diagnostic trend fallback;","sl 1717.44"
"2022_full","2022-08-08 09:15:00","sell","DiagnosticFallback","-25.02","-10","-0.38","-0.5","3","10","Diagnostic trend fallback;","sl 1776.41"
"2023_full","2023-03-08 09:15:00","sell","LiquiditySweep","-24.89","-9.99","0.03","0.03","1","8","Liquidity sweep;","sl 1815.10"
"2023_full","2023-05-03 08:15:00","buy","LiquiditySweep","-24.31","-10.02","-0.04","-0.26","2","8","Liquidity sweep;Diagnostic trend fallback;","sl 2014.64"
