"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","r10_base","2019_full","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_oos_yearly_package\configs\001_r10_base_2019_full_m1.ini","True","peak_r20_oos_r10_base_2019_full_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T12:14:23","2026-07-14T12:14:50"
"2","r10_base","2020_full","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_oos_yearly_package\configs\002_r10_base_2020_full_m1.ini","True","peak_r20_oos_r10_base_2020_full_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T12:14:50","2026-07-14T12:15:03"
"3","r10_base","2021_full","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_oos_yearly_package\configs\003_r10_base_2021_full_m1.ini","True","peak_r20_oos_r10_base_2021_full_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T12:15:03","2026-07-14T12:15:16"
"4","r10_base","2022_full","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_oos_yearly_package\configs\004_r10_base_2022_full_m1.ini","True","peak_r20_oos_r10_base_2022_full_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T12:15:17","2026-07-14T12:15:30"
"5","r10_base","2023_full","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_oos_yearly_package\configs\005_r10_base_2023_full_m1.ini","True","peak_r20_oos_r10_base_2023_full_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T12:15:30","2026-07-14T12:15:43"
"6","r10_base","2024_full","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_oos_yearly_package\configs\006_r10_base_2024_full_m1.ini","True","peak_r20_oos_r10_base_2024_full_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T12:15:43","2026-07-14T12:15:56"
"7","r10_base","2025_full","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_oos_yearly_package\configs\007_r10_base_2025_full_m1.ini","True","peak_r20_oos_r10_base_2025_full_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T12:15:56","2026-07-14T12:16:09"
"8","r10_base","2026_ytd","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_oos_yearly_package\configs\008_r10_base_2026_ytd_m1.ini","True","peak_r20_oos_r10_base_2026_ytd_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T12:16:09","2026-07-14T12:16:22"
"9","r10_loss_scale_15","2019_full","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_oos_yearly_package\configs\009_r10_loss_scale_15_2019_full_m1.ini","True","peak_r20_oos_r10_loss_scale_15_2019_full_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T12:16:22","2026-07-14T12:16:35"
"10","r10_loss_scale_15","2020_full","1","NO_REPORT","RUN_HIDDEN","outputs\peak_r20_oos_yearly_package\configs\010_r10_loss_scale_15_2020_full_m1.ini","True","peak_r20_oos_r10_loss_scale_15_2020_full_m1","outputs\returned_mt5_reports\first_pass_inbox","95","","Terminal exited but no report file was found.","2026-07-14T12:16:35","2026-07-14T12:16:49"
