"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","r10_base","1","peak_r20_oos_yearly","1","phase2_oos_yearly_model1","r10_base.set","2019_full","2019.01.01","2019.12.31","1","configs\001_r10_base_2019_full_m1.ini","peak_r20_oos_r10_base_2019_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","364","0.9966","-40.29","959.71","-4.03","-4.04","-4.04","0.3507","-8.058","-1.3892","20","5","4","77.36","7.74","77.36","77.36","-0.5166","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T12:14:44","2026-07-14T12:14:44"
"2","r10_base","2","peak_r20_oos_yearly","2","phase2_oos_yearly_model1","r10_base.set","2020_full","2020.01.01","2020.12.31","1","configs\002_r10_base_2020_full_m1.ini","peak_r20_oos_r10_base_2020_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","365","0.9993","197.77","1197.77","19.78","19.79","19.79","1.8596","6.3797","15.6465","48.15","31","4","128.9","10.76","128.9","128.9","1.5281","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T12:14:58","2026-07-14T12:14:58"
"3","r10_base","3","peak_r20_oos_yearly","3","phase2_oos_yearly_model1","r10_base.set","2021_full","2021.01.01","2021.12.31","1","configs\003_r10_base_2021_full_m1.ini","peak_r20_oos_r10_base_2021_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","364","0.9966","-66.26","933.74","-6.63","-6.65","-6.65","0.5587","-4.7329","-5","45","14","4","119.15","11.91","119.15","119.15","-0.5321","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T12:15:11","2026-07-14T12:15:11"
"4","r10_base","4","peak_r20_oos_yearly","4","phase2_oos_yearly_model1","r10_base.set","2022_full","2022.01.01","2022.12.31","1","configs\004_r10_base_2022_full_m1.ini","peak_r20_oos_r10_base_2022_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","364","0.9966","65.83","1065.83","6.58","6.61","6.61","1.2174","2.3511","4.5608","33.33","28","7","132.58","12.44","132.58","132.58","0.4897","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T12:15:24","2026-07-14T12:15:24"
"5","r10_base","5","peak_r20_oos_yearly","5","phase2_oos_yearly_model1","r10_base.set","2023_full","2023.01.01","2023.12.31","1","configs\005_r10_base_2023_full_m1.ini","peak_r20_oos_r10_base_2023_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","364","0.9966","-33.96","966.04","-3.4","-3.41","-3.41","0.8817","-1.415","-2.7169","30.43","24","6","111.78","11.18","111.78","111.78","-0.2793","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T12:15:37","2026-07-14T12:15:37"
"6","r10_base","6","peak_r20_oos_yearly","6","phase2_oos_yearly_model1","r10_base.set","2024_full","2024.01.01","2024.12.31","1","configs\006_r10_base_2024_full_m1.ini","peak_r20_oos_r10_base_2024_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","365","0.9993","814.43","1814.43","81.44","81.5","81.52","4.6128","31.3242","41.107","65.38","26","3","160.64","8.85","160.64","160.64","6.5506","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T12:15:50","2026-07-14T12:15:50"
"7","r10_base","7","peak_r20_oos_yearly","7","phase2_oos_yearly_model1","r10_base.set","2025_full","2025.01.01","2025.12.31","1","configs\007_r10_base_2025_full_m1.ini","peak_r20_oos_r10_base_2025_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","364","0.9966","186.95","1186.95","18.69","18.76","18.76","1.7478","6.2317","14.1129","46.67","30","5","118.8","10.01","118.8","118.8","1.5867","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T12:16:03","2026-07-14T12:16:03"
"8","r10_base","8","peak_r20_oos_yearly","8","phase2_oos_yearly_model1","r10_base.set","2026_ytd","2026.01.01","2026.07.12","1","configs\008_r10_base_2026_ytd_m1.ini","peak_r20_oos_r10_base_2026_ytd_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","192","0.5257","246.96","1246.96","24.7","46.98","52.18","4.6382","13.72","19.9768","66.67","18","2","60.81","4.88","60.81","60.81","4.2557","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T12:16:16","2026-07-14T12:16:16"
"9","r10_loss_scale_15","9","peak_r20_oos_yearly","9","phase2_oos_yearly_model1","r10_loss_scale_15.set","2019_full","2019.01.01","2019.12.31","1","configs\009_r10_loss_scale_15_2019_full_m1.ini","peak_r20_oos_r10_loss_scale_15_2019_full_m1","profiles\r10_loss_scale_15.set","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","364","0.9966","-26.01","973.99","-2.6","-2.61","-2.61","0.4923","-3.7157","-1.6659","28.57","7","3","63.2","6.32","63.2","63.2","-0.4083","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T12:16:30","2026-07-14T12:16:30"
"10","r10_loss_scale_15","10","peak_r20_oos_yearly","10","phase2_oos_yearly_model1","r10_loss_scale_15.set","2020_full","2020.01.01","2020.12.31","1","configs\010_r10_loss_scale_15_2020_full_m1.ini","peak_r20_oos_r10_loss_scale_15_2020_full_m1","profiles\r10_loss_scale_15.set","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","PARSED_FROM_LOG","C:\Users\Ant\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\Tester\logs\20260714.log","1000","365","0.9993","53.84","1053.84","5.38","5.39","5.39","1.4148","2.1536","7.476","39.29","25","4","89.47","8.49","89.47","89.47","0.5711","NO_REPORT","Terminal exited but no report file was found.","2026-07-14T12:16:43","2026-07-14T12:16:43"
