"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","r10_a7_current","1","r10_activity_probe","1","phase7_activity_probe_model1","r10_a7_current.set","2020_full","2020.01.01","2020.12.31","1","configs\001_r10_a7_current_2020_full_m1.ini","r10_activity_probe_r10_a7_current_2020_full_m1","profiles\r10_a7_current.set","577B24570EEEF573F5730A510062583185E363B2F2AF526478584EAC260E33E1","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_current_2020_full_m1.htm","1000","365","0.9993","9.25","1009.25","0.92","0.93","0.93","1.21","2.31","0.21","25","4","3","65.63","6.11","43.07","65.63","0.14","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","r10_a7_current","2","r10_activity_probe","2","phase7_activity_probe_model1","r10_a7_current.set","2022_full","2022.01.01","2022.12.31","1","configs\002_r10_a7_current_2022_full_m1.ini","r10_activity_probe_r10_a7_current_2022_full_m1","profiles\r10_a7_current.set","577B24570EEEF573F5730A510062583185E363B2F2AF526478584EAC260E33E1","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_current_2022_full_m1.htm","1000","364","0.9966","37.64","1037.64","3.76","3.78","3.78","1.5","4.71","1.09","50","8","2","65.19","6.02","26.7","65.19","0.58","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","r10_a7_current","3","r10_activity_probe","3","phase7_activity_probe_model1","r10_a7_current.set","2024_full","2024.01.01","2024.12.31","1","configs\003_r10_a7_current_2024_full_m1.ini","r10_activity_probe_r10_a7_current_2024_full_m1","profiles\r10_a7_current.set","577B24570EEEF573F5730A510062583185E363B2F2AF526478584EAC260E33E1","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_current_2024_full_m1.htm","1000","365","0.9993","-45.14","954.86","-4.51","-4.52","-4.52","0.02","-11.29","-1.21","25","4","3","65.54","6.55","46.24","65.54","-0.69","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","r10_a7_current","4","r10_activity_probe","4","phase7_activity_probe_model1","r10_a7_current.set","2025_full","2025.01.01","2025.12.31","1","configs\004_r10_a7_current_2025_full_m1.ini","r10_activity_probe_r10_a7_current_2025_full_m1","profiles\r10_a7_current.set","577B24570EEEF573F5730A510062583185E363B2F2AF526478584EAC260E33E1","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_current_2025_full_m1.htm","1000","364","0.9966","53.52","1053.52","5.35","5.37","5.37","11.1","13.38","1.01","75","4","1","45.21","4.11","5.3","45.21","1.18","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","r10_a7_current","5","r10_activity_probe","5","phase7_activity_probe_model1","r10_a7_current.set","2026_ytd","2026.01.01","2026.07.12","1","configs\005_r10_a7_current_2026_ytd_m1.ini","r10_activity_probe_r10_a7_current_2026_ytd_m1","profiles\r10_a7_current.set","577B24570EEEF573F5730A510062583185E363B2F2AF526478584EAC260E33E1","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_current_2026_ytd_m1.htm","1000","192","0.5257","54.92","1054.92","5.49","10.45","10.71","0","54.92","0.13","100","1","0","30.96","2.97","0","30.96","1.77","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","r10_a7_dfg_risk_25_45_50","6","r10_activity_probe","6","phase7_activity_probe_model1","r10_a7_dfg_risk_25_45_50.set","2020_full","2020.01.01","2020.12.31","1","configs\006_r10_a7_dfg_risk_25_45_50_2020_full_m1.ini","r10_activity_probe_r10_a7_dfg_risk_25_45_50_2020_full_m1","profiles\r10_a7_dfg_risk_25_45_50.set","23B72A1538221C83775E32D7EBC87EB5F741633B827EBE13B7E6F2060C598BF4","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2020_full_m1.htm","1000","365","0.9993","9.25","1009.25","0.92","0.93","0.93","1.21","2.31","0.21","25","4","3","65.63","6.11","43.07","65.63","0.14","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","r10_a7_dfg_risk_25_45_50","7","r10_activity_probe","7","phase7_activity_probe_model1","r10_a7_dfg_risk_25_45_50.set","2022_full","2022.01.01","2022.12.31","1","configs\007_r10_a7_dfg_risk_25_45_50_2022_full_m1.ini","r10_activity_probe_r10_a7_dfg_risk_25_45_50_2022_full_m1","profiles\r10_a7_dfg_risk_25_45_50.set","23B72A1538221C83775E32D7EBC87EB5F741633B827EBE13B7E6F2060C598BF4","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2022_full_m1.htm","1000","364","0.9966","37.64","1037.64","3.76","3.78","3.78","1.5","4.71","1.09","50","8","2","65.19","6.02","26.7","65.19","0.58","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","r10_a7_dfg_risk_25_45_50","8","r10_activity_probe","8","phase7_activity_probe_model1","r10_a7_dfg_risk_25_45_50.set","2024_full","2024.01.01","2024.12.31","1","configs\008_r10_a7_dfg_risk_25_45_50_2024_full_m1.ini","r10_activity_probe_r10_a7_dfg_risk_25_45_50_2024_full_m1","profiles\r10_a7_dfg_risk_25_45_50.set","23B72A1538221C83775E32D7EBC87EB5F741633B827EBE13B7E6F2060C598BF4","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2024_full_m1.htm","1000","365","0.9993","-45.14","954.86","-4.51","-4.52","-4.52","0.02","-11.29","-1.21","25","4","3","65.54","6.55","46.24","65.54","-0.69","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","r10_a7_dfg_risk_25_45_50","9","r10_activity_probe","9","phase7_activity_probe_model1","r10_a7_dfg_risk_25_45_50.set","2025_full","2025.01.01","2025.12.31","1","configs\009_r10_a7_dfg_risk_25_45_50_2025_full_m1.ini","r10_activity_probe_r10_a7_dfg_risk_25_45_50_2025_full_m1","profiles\r10_a7_dfg_risk_25_45_50.set","23B72A1538221C83775E32D7EBC87EB5F741633B827EBE13B7E6F2060C598BF4","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2025_full_m1.htm","1000","364","0.9966","53.52","1053.52","5.35","5.37","5.37","11.1","13.38","1.01","75","4","1","45.21","4.11","5.3","45.21","1.18","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","r10_a7_dfg_risk_25_45_50","10","r10_activity_probe","10","phase7_activity_probe_model1","r10_a7_dfg_risk_25_45_50.set","2026_ytd","2026.01.01","2026.07.12","1","configs\010_r10_a7_dfg_risk_25_45_50_2026_ytd_m1.ini","r10_activity_probe_r10_a7_dfg_risk_25_45_50_2026_ytd_m1","profiles\r10_a7_dfg_risk_25_45_50.set","23B72A1538221C83775E32D7EBC87EB5F741633B827EBE13B7E6F2060C598BF4","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2026_ytd_m1.htm","1000","192","0.5257","54.92","1054.92","5.49","10.45","10.71","0","54.92","0.13","100","1","0","30.96","2.97","0","30.96","1.77","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"11","r10_a7_fmlr_blend","11","r10_activity_probe","11","phase7_activity_probe_model1","r10_a7_fmlr_blend.set","2020_full","2020.01.01","2020.12.31","1","configs\011_r10_a7_fmlr_blend_2020_full_m1.ini","r10_activity_probe_r10_a7_fmlr_blend_2020_full_m1","profiles\r10_a7_fmlr_blend.set","4BAD26CA5C3B17D2B25F6B731CA7322D2BD847C47FF47C98067D6FBAE392A5A0","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_fmlr_blend_2020_full_m1.htm","1000","365","0.9993","9.25","1009.25","0.92","0.93","0.93","1.21","2.31","0.21","25","4","3","65.63","6.11","43.07","65.63","0.14","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"12","r10_a7_fmlr_blend","12","r10_activity_probe","12","phase7_activity_probe_model1","r10_a7_fmlr_blend.set","2022_full","2022.01.01","2022.12.31","1","configs\012_r10_a7_fmlr_blend_2022_full_m1.ini","r10_activity_probe_r10_a7_fmlr_blend_2022_full_m1","profiles\r10_a7_fmlr_blend.set","4BAD26CA5C3B17D2B25F6B731CA7322D2BD847C47FF47C98067D6FBAE392A5A0","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_fmlr_blend_2022_full_m1.htm","1000","364","0.9966","37.64","1037.64","3.76","3.78","3.78","1.5","4.71","1.09","50","8","2","65.19","6.02","26.7","65.19","0.58","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"13","r10_a7_fmlr_blend","13","r10_activity_probe","13","phase7_activity_probe_model1","r10_a7_fmlr_blend.set","2024_full","2024.01.01","2024.12.31","1","configs\013_r10_a7_fmlr_blend_2024_full_m1.ini","r10_activity_probe_r10_a7_fmlr_blend_2024_full_m1","profiles\r10_a7_fmlr_blend.set","4BAD26CA5C3B17D2B25F6B731CA7322D2BD847C47FF47C98067D6FBAE392A5A0","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_fmlr_blend_2024_full_m1.htm","1000","365","0.9993","-45.14","954.86","-4.51","-4.52","-4.52","0.02","-11.29","-1.21","25","4","3","65.54","6.55","46.24","65.54","-0.69","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"14","r10_a7_fmlr_blend","14","r10_activity_probe","14","phase7_activity_probe_model1","r10_a7_fmlr_blend.set","2025_full","2025.01.01","2025.12.31","1","configs\014_r10_a7_fmlr_blend_2025_full_m1.ini","r10_activity_probe_r10_a7_fmlr_blend_2025_full_m1","profiles\r10_a7_fmlr_blend.set","4BAD26CA5C3B17D2B25F6B731CA7322D2BD847C47FF47C98067D6FBAE392A5A0","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_fmlr_blend_2025_full_m1.htm","1000","364","0.9966","53.52","1053.52","5.35","5.37","5.37","11.1","13.38","1.01","75","4","1","45.21","4.11","5.3","45.21","1.18","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"15","r10_a7_fmlr_blend","15","r10_activity_probe","15","phase7_activity_probe_model1","r10_a7_fmlr_blend.set","2026_ytd","2026.01.01","2026.07.12","1","configs\015_r10_a7_fmlr_blend_2026_ytd_m1.ini","r10_activity_probe_r10_a7_fmlr_blend_2026_ytd_m1","profiles\r10_a7_fmlr_blend.set","4BAD26CA5C3B17D2B25F6B731CA7322D2BD847C47FF47C98067D6FBAE392A5A0","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_fmlr_blend_2026_ytd_m1.htm","1000","192","0.5257","54.92","1054.92","5.49","10.45","10.71","0","54.92","0.13","100","1","0","30.96","2.97","0","30.96","1.77","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"16","r10_a7_fmlr_tight","16","r10_activity_probe","16","phase7_activity_probe_model1","r10_a7_fmlr_tight.set","2020_full","2020.01.01","2020.12.31","1","configs\016_r10_a7_fmlr_tight_2020_full_m1.ini","r10_activity_probe_r10_a7_fmlr_tight_2020_full_m1","profiles\r10_a7_fmlr_tight.set","970E1CC18DFB19890AD009447DB486BE40B57DE833D4F071F78C55233AB21616","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_fmlr_tight_2020_full_m1.htm","1000","365","0.9993","9.25","1009.25","0.92","0.93","0.93","1.21","2.31","0.21","25","4","3","65.63","6.11","43.07","65.63","0.14","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"17","r10_a7_fmlr_tight","17","r10_activity_probe","17","phase7_activity_probe_model1","r10_a7_fmlr_tight.set","2022_full","2022.01.01","2022.12.31","1","configs\017_r10_a7_fmlr_tight_2022_full_m1.ini","r10_activity_probe_r10_a7_fmlr_tight_2022_full_m1","profiles\r10_a7_fmlr_tight.set","970E1CC18DFB19890AD009447DB486BE40B57DE833D4F071F78C55233AB21616","Reject unless blocker windows improve without creating red focus windows or excessive drawdown.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_fmlr_tight_2022_full_m1.htm","1000","364","0.9966","37.64","1037.64","3.76","3.78","3.78","1.5","4.71","1.09","50","8","2","65.19","6.02","26.7","65.19","0.58","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
