"QueueRank","Candidate","Window","Model","ExpectedReportName","Status","SourcePath","DestinationPath","Action"
"1","r10_a7_current","2020_full","1","r10_activity_probe_r10_a7_current_2020_full_m1","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_current_2020_full_m1.htm","outputs\r10_activity_probe_package\reports_here\r10_activity_probe_r10_a7_current_2020_full_m1.htm","Moved to reports_here"
"2","r10_a7_current","2022_full","1","r10_activity_probe_r10_a7_current_2022_full_m1","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_current_2022_full_m1.htm","outputs\r10_activity_probe_package\reports_here\r10_activity_probe_r10_a7_current_2022_full_m1.htm","Moved to reports_here"
"3","r10_a7_current","2024_full","1","r10_activity_probe_r10_a7_current_2024_full_m1","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_current_2024_full_m1.htm","outputs\r10_activity_probe_package\reports_here\r10_activity_probe_r10_a7_current_2024_full_m1.htm","Moved to reports_here"
"4","r10_a7_current","2025_full","1","r10_activity_probe_r10_a7_current_2025_full_m1","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_current_2025_full_m1.htm","outputs\r10_activity_probe_package\reports_here\r10_activity_probe_r10_a7_current_2025_full_m1.htm","Moved to reports_here"
"5","r10_a7_current","2026_ytd","1","r10_activity_probe_r10_a7_current_2026_ytd_m1","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_current_2026_ytd_m1.htm","outputs\r10_activity_probe_package\reports_here\r10_activity_probe_r10_a7_current_2026_ytd_m1.htm","Moved to reports_here"
"6","r10_a7_dfg_risk_25_45_50","2020_full","1","r10_activity_probe_r10_a7_dfg_risk_25_45_50_2020_full_m1","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2020_full_m1.htm","outputs\r10_activity_probe_package\reports_here\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2020_full_m1.htm","Moved to reports_here"
"7","r10_a7_dfg_risk_25_45_50","2022_full","1","r10_activity_probe_r10_a7_dfg_risk_25_45_50_2022_full_m1","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2022_full_m1.htm","outputs\r10_activity_probe_package\reports_here\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2022_full_m1.htm","Moved to reports_here"
"8","r10_a7_dfg_risk_25_45_50","2024_full","1","r10_activity_probe_r10_a7_dfg_risk_25_45_50_2024_full_m1","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2024_full_m1.htm","outputs\r10_activity_probe_package\reports_here\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2024_full_m1.htm","Moved to reports_here"
"9","r10_a7_dfg_risk_25_45_50","2025_full","1","r10_activity_probe_r10_a7_dfg_risk_25_45_50_2025_full_m1","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2025_full_m1.htm","outputs\r10_activity_probe_package\reports_here\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2025_full_m1.htm","Moved to reports_here"
"10","r10_a7_dfg_risk_25_45_50","2026_ytd","1","r10_activity_probe_r10_a7_dfg_risk_25_45_50_2026_ytd_m1","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2026_ytd_m1.htm","outputs\r10_activity_probe_package\reports_here\r10_activity_probe_r10_a7_dfg_risk_25_45_50_2026_ytd_m1.htm","Moved to reports_here"
