"Candidate","Window","EntryTime","ExitTime","Month","DayOfWeek","EntryHour","Side","Volume","EntryPrice","ExitPrice","Profit","BalanceAfter","EntryComment","ExitComment","DurationMinutes"
"re_may140_late15_dgf_liq_reject1","2019","2019-08-05 09:00:00","2019-08-05 09:14:48","8","Monday","9","sell","0.1","1452.81","1456.83","-40.2","959.8","DGF;Diagnostic trend fallback;","sl 1456.77","14.8"
"re_may140_late15_dgf_liq_reject1_cush50","2019","2019-08-05 09:00:00","2019-08-05 09:14:48","8","Monday","9","sell","0.05","1452.81","1456.83","-20.1","979.9","DGF;Diagnostic trend fallback;","sl 1456.77","14.8"
"re_may140_late15_dgf_liq_reject1_cush50","2019","2019-08-06 07:30:00","2019-08-06 10:40:01","8","Tuesday","7","buy","0.02","1460.94","1459.16","-3.56","976.34","DGF;Diagnostic trend fallback;","sl 1459.25","190.02"
"re_may140_late15_dgf_liq_reject1_cush50","2019","2019-08-07 13:00:00","2019-08-07 14:20:04","8","Wednesday","13","sell","0.02","1487","1491.34","-8.68","967.66","DGF;Diagnostic trend fallback;","sl 1491.34","80.07"
"re_may140_late15_dgf_liq_reject1_cush50","2019","2019-08-13 07:15:00","2019-08-13 08:33:58","8","Tuesday","7","sell","0.03","1515.76","1517.81","-6.15","961.51","DGF;Diagnostic trend fallback;","sl 1517.81","78.97"
"re_may140_late15_dgf_liq_reject1_cush35","2019","2019-08-05 09:00:00","2019-08-05 09:14:48","8","Monday","9","sell","0.03","1452.81","1456.83","-12.06","987.94","DGF;Diagnostic trend fallback;","sl 1456.77","14.8"
"re_may140_late15_dgf_liq_reject1_cush35","2019","2019-08-06 07:30:00","2019-08-06 10:40:01","8","Tuesday","7","buy","0.01","1460.94","1459.16","-1.78","986.16","DGF;Diagnostic trend fallback;","sl 1459.25","190.02"
"re_may140_late15_dgf_liq_reject1_cush35","2019","2019-08-07 13:00:00","2019-08-07 14:20:04","8","Wednesday","13","sell","0.01","1487","1491.34","-4.34","981.82","DGF;Diagnostic trend fallback;","sl 1491.34","80.07"
"re_may140_late15_dgf_liq_reject1_cush35","2019","2019-08-08 10:15:00","2019-08-08 11:47:10","8","Thursday","10","buy","0.03","1498.66","1495.97","-8.07","973.75","DGF;Diagnostic trend fallback;","sl 1496.08","92.17"
"re_may140_late15_dgf_liq_reject1_cush35","2019","2019-08-13 07:15:00","2019-08-13 08:33:58","8","Tuesday","7","sell","0.02","1515.76","1517.81","-4.1","969.65","DGF;Diagnostic trend fallback;","sl 1517.81","78.97"
"re_may140_late15_dgf_liq_reject1_cush35","2019","2019-08-14 10:45:00","2019-08-14 11:32:26","8","Wednesday","10","sell","0.02","1499.83","1501.68","-3.7","965.95","DGF;Diagnostic trend fallback;","sl 1501.63","47.43"
"re_may140_late15_dgf_liq_reject1_cush35","2019","2019-08-15 08:15:00","2019-08-15 09:31:09","8","Thursday","8","sell","0.03","1520.09","1513.84","18.75","984.7","DGF;Diagnostic trend fallback;","tp 1513.88","76.15"
"re_may140_late15_dgf_liq_reject1_cush35","2019","2019-08-16 07:30:01","2019-08-16 08:28:56","8","Friday","7","buy","0.03","1521.23","1519.1","-6.39","978.31","DGF;Diagnostic trend fallback;","sl 1519.16","58.92"
"re_may140_late15_dgf_liq_reject1_cush35","2019","2019-08-16 09:45:00","2019-08-16 11:09:55","8","Friday","9","buy","0.08","1515.41","1513.23","-17.44","960.87","PXEA;Liquidity sweep;","sl 1513.30","84.92"
"re_may140_late15_dgf_liq_reject1_cush25","2019","2019-08-05 09:00:00","2019-08-05 09:14:48","8","Monday","9","sell","0.02","1452.81","1456.83","-8.04","991.96","DGF;Diagnostic trend fallback;","sl 1456.77","14.8"
"re_may140_late15_dgf_liq_reject1_cush25","2019","2019-08-06 07:30:00","2019-08-06 10:40:01","8","Tuesday","7","buy","0.01","1460.94","1459.16","-1.78","990.18","DGF;Diagnostic trend fallback;","sl 1459.25","190.02"
"re_may140_late15_dgf_liq_reject1_cush25","2019","2019-08-07 13:00:00","2019-08-07 14:20:04","8","Wednesday","13","sell","0.01","1487","1491.34","-4.34","985.84","DGF;Diagnostic trend fallback;","sl 1491.34","80.07"
"re_may140_late15_dgf_liq_reject1_cush25","2019","2019-08-08 10:15:00","2019-08-08 11:47:10","8","Thursday","10","buy","0.02","1498.66","1495.97","-5.38","980.46","DGF;Diagnostic trend fallback;","sl 1496.08","92.17"
"re_may140_late15_dgf_liq_reject1_cush25","2019","2019-08-08 13:15:00","2019-08-08 14:07:36","8","Thursday","13","buy","0.03","1496.81","1494.93","-5.64","974.82","DGF;Diagnostic trend fallback;","sl 1494.94","52.6"
"re_may140_late15_dgf_liq_reject1_cush25","2019","2019-08-13 07:15:00","2019-08-13 08:33:58","8","Tuesday","7","sell","0.01","1515.76","1517.81","-2.05","972.77","DGF;Diagnostic trend fallback;","sl 1517.81","78.97"
"re_may140_late15_dgf_liq_reject1_cush25","2019","2019-08-14 10:45:00","2019-08-14 11:32:26","8","Wednesday","10","sell","0.01","1499.83","1501.68","-1.85","970.92","DGF;Diagnostic trend fallback;","sl 1501.63","47.43"
"re_may140_late15_dgf_liq_reject1_cush25","2019","2019-08-15 08:15:00","2019-08-15 09:31:09","8","Thursday","8","sell","0.02","1520.09","1513.84","12.5","983.42","DGF;Diagnostic trend fallback;","tp 1513.88","76.15"
"re_may140_late15_dgf_liq_reject1_cush25","2019","2019-08-15 14:45:00","2019-08-15 15:02:22","8","Thursday","14","buy","0.1","1512.83","1508.95","-38.8","944.62","PXEA;Liquidity sweep;","sl 1509.23","17.37"
