"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","re_may140_late15_dgf_liq_reject1","1","range_elite_risk_shape_probe","1","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1.set","2019_full","2019.01.01","2019.12.31","4","configs\001_re_may140_late15_dgf_liq_reject1_2019_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_2019_m4","profiles\re_may140_late15_dgf_liq_reject1.set","53793A6CE849C684A309C92AF9F4A602D1306663467B46A03AB1F0A60B82725B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_2019_m4.htm","1000","364","0.9966","-40.2","959.8","-4.02","-4.03","-4.03","0","-40.2","-3.7","0","1","1","40.2","4.02","40.2","40.2","-1","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","re_may140_late15_dgf_liq_reject1","2","range_elite_risk_shape_probe","2","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1.set","2021_full","2021.01.01","2021.12.31","4","configs\002_re_may140_late15_dgf_liq_reject1_2021_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_2021_m4","profiles\re_may140_late15_dgf_liq_reject1.set","53793A6CE849C684A309C92AF9F4A602D1306663467B46A03AB1F0A60B82725B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_2021_m4.htm","1000","364","0.9966","-16.27","983.73","-1.63","-1.63","-1.63","0.72","-8.14","-0.15","50","2","1","201.18","16.98","58.5","201.18","-0.08","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","re_may140_late15_dgf_liq_reject1","3","range_elite_risk_shape_probe","3","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1.set","2023_full","2023.01.01","2023.12.31","4","configs\003_re_may140_late15_dgf_liq_reject1_2023_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_2023_m4","profiles\re_may140_late15_dgf_liq_reject1.set","53793A6CE849C684A309C92AF9F4A602D1306663467B46A03AB1F0A60B82725B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_2023_m4.htm","1000","364","0.9966","441.77","1441.77","44.18","44.33","44.36","4.36","55.22","8.77","50","8","2","378.08","20.78","118.82","378.08","1.17","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","re_may140_late15_dgf_liq_reject1","4","range_elite_risk_shape_probe","4","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1.set","2024_full","2024.01.01","2024.12.31","4","configs\004_re_may140_late15_dgf_liq_reject1_2024_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_2024_m4","profiles\re_may140_late15_dgf_liq_reject1.set","53793A6CE849C684A309C92AF9F4A602D1306663467B46A03AB1F0A60B82725B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_2024_m4.htm","1000","365","0.9993","2366.15","3366.15","236.62","236.78","236.89","5.66","338.02","30.87","85.71","7","1","571.29","14.51","507.35","571.29","4.14","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","re_may140_late15_dgf_liq_reject1","5","range_elite_risk_shape_probe","5","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1.set","2025_full","2025.01.01","2025.12.31","4","configs\005_re_may140_late15_dgf_liq_reject1_2025_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_2025_m4","profiles\re_may140_late15_dgf_liq_reject1.set","53793A6CE849C684A309C92AF9F4A602D1306663467B46A03AB1F0A60B82725B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_2025_m4.htm","1000","364","0.9966","-5.55","994.45","-0.56","-0.56","-0.56","0.88","-2.77","-0.08","50","2","1","148.59","13.03","44.65","148.59","-0.04","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","re_may140_late15_dgf_liq_reject1","6","range_elite_risk_shape_probe","6","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1.set","2026_ytd","2026.01.01","2026.07.12","4","configs\006_re_may140_late15_dgf_liq_reject1_2026_ytd_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_2026ytd_m4","profiles\re_may140_late15_dgf_liq_reject1.set","53793A6CE849C684A309C92AF9F4A602D1306663467B46A03AB1F0A60B82725B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_2026ytd_m4.htm","1000","192","0.5257","472.36","1472.36","47.24","89.86","108.75","2.32","47.24","3.14","70","10","1","483.43","24.72","252.3","483.43","0.98","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","re_may140_late15_dgf_liq_reject1_cush50","7","range_elite_risk_shape_probe","7","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50.set","2019_full","2019.01.01","2019.12.31","4","configs\007_re_may140_late15_dgf_liq_reject1_cush50_2019_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","1087439C4B251BDE8C14C074FA730E032A3DE786114ED6BEABF2A9FF6B59FA3C","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m4.htm","1000","364","0.9966","-38.49","961.51","-3.85","-3.86","-3.86","0","-9.62","-3.08","0","4","4","38.49","3.85","38.49","38.49","-1","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","re_may140_late15_dgf_liq_reject1_cush50","8","range_elite_risk_shape_probe","8","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50.set","2021_full","2021.01.01","2021.12.31","4","configs\008_re_may140_late15_dgf_liq_reject1_cush50_2021_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","1087439C4B251BDE8C14C074FA730E032A3DE786114ED6BEABF2A9FF6B59FA3C","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m4.htm","1000","364","0.9966","12.98","1012.98","1.3","1.3","1.3","1.44","6.49","0.14","50","2","1","171.93","14.51","29.25","171.93","0.08","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","re_may140_late15_dgf_liq_reject1_cush50","9","range_elite_risk_shape_probe","9","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50.set","2023_full","2023.01.01","2023.12.31","4","configs\009_re_may140_late15_dgf_liq_reject1_cush50_2023_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","1087439C4B251BDE8C14C074FA730E032A3DE786114ED6BEABF2A9FF6B59FA3C","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m4.htm","1000","364","0.9966","310.15","1310.15","31.01","31.12","31.14","3.71","38.77","8.09","50","8","2","344.98","20.84","108.07","344.98","0.9","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","re_may140_late15_dgf_liq_reject1_cush50","10","range_elite_risk_shape_probe","10","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50.set","2024_full","2024.01.01","2024.12.31","4","configs\010_re_may140_late15_dgf_liq_reject1_cush50_2024_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","1087439C4B251BDE8C14C074FA730E032A3DE786114ED6BEABF2A9FF6B59FA3C","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m4.htm","1000","365","0.9993","2105.17","3105.17","210.52","210.66","210.76","5.47","300.74","29.72","85.71","7","1","530.19","14.58","470.85","530.19","3.97","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
