"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","re_may140_late15_dgf_liq_reject1","2019_full","4","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_cushion_model4_package\configs\001_re_may140_late15_dgf_liq_reject1_2019_full_m4.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_2019_m4","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_2019_m4.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T18:58:05","2026-07-14T18:58:25"
"2","re_may140_late15_dgf_liq_reject1","2021_full","4","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_cushion_model4_package\configs\002_re_may140_late15_dgf_liq_reject1_2021_full_m4.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_2021_m4","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_2021_m4.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T18:58:25","2026-07-14T18:58:47"
"3","re_may140_late15_dgf_liq_reject1","2023_full","4","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_cushion_model4_package\configs\003_re_may140_late15_dgf_liq_reject1_2023_full_m4.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_2023_m4","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_2023_m4.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T18:58:47","2026-07-14T18:59:18"
"4","re_may140_late15_dgf_liq_reject1","2024_full","4","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_cushion_model4_package\configs\004_re_may140_late15_dgf_liq_reject1_2024_full_m4.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_2024_m4","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_2024_m4.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T18:59:18","2026-07-14T19:00:01"
"5","re_may140_late15_dgf_liq_reject1","2025_full","4","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_cushion_model4_package\configs\005_re_may140_late15_dgf_liq_reject1_2025_full_m4.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_2025_m4","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_2025_m4.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:00:01","2026-07-14T19:00:37"
"6","re_may140_late15_dgf_liq_reject1","2026_ytd","4","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_cushion_model4_package\configs\006_re_may140_late15_dgf_liq_reject1_2026_ytd_m4.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_2026ytd_m4","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_2026ytd_m4.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:00:37","2026-07-14T19:01:29"
"7","re_may140_late15_dgf_liq_reject1_cush50","2019_full","4","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_cushion_model4_package\configs\007_re_may140_late15_dgf_liq_reject1_cush50_2019_full_m4.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m4","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m4.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:01:29","2026-07-14T19:01:49"
"8","re_may140_late15_dgf_liq_reject1_cush50","2021_full","4","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_cushion_model4_package\configs\008_re_may140_late15_dgf_liq_reject1_cush50_2021_full_m4.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m4","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m4.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:01:49","2026-07-14T19:02:18"
"9","re_may140_late15_dgf_liq_reject1_cush50","2023_full","4","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_cushion_model4_package\configs\009_re_may140_late15_dgf_liq_reject1_cush50_2023_full_m4.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m4","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m4.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:02:18","2026-07-14T19:02:45"
"10","re_may140_late15_dgf_liq_reject1_cush50","2024_full","4","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_cushion_model4_package\configs\010_re_may140_late15_dgf_liq_reject1_cush50_2024_full_m4.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m4","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m4.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:02:45","2026-07-14T19:03:13"
