"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","Role","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","Thesis","Overrides","StopRule"
"1","re_may140","1","range_elite_risk_shape_probe","1","phase4_range_elite_risk_shape_model4","re_may140.set","2019_full","red_year","2019.01.01","2019.12.31","4","configs\001_re_may140_2019_full_m4.ini","re_risk_re_may140_2019_m4","profiles\re_may140.set","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"2","re_may140","2","range_elite_risk_shape_probe","2","phase4_range_elite_risk_shape_model4","re_may140.set","2021_full","red_year","2021.01.01","2021.12.31","4","configs\002_re_may140_2021_full_m4.ini","re_risk_re_may140_2021_m4","profiles\re_may140.set","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"3","re_may140","3","range_elite_risk_shape_probe","3","phase4_range_elite_risk_shape_model4","re_may140.set","2023_full","red_year","2023.01.01","2023.12.31","4","configs\003_re_may140_2023_full_m4.ini","re_risk_re_may140_2023_m4","profiles\re_may140.set","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"4","re_may140","4","range_elite_risk_shape_probe","4","phase4_range_elite_risk_shape_model4","re_may140.set","2024_full","profit_control","2024.01.01","2024.12.31","4","configs\004_re_may140_2024_full_m4.ini","re_risk_re_may140_2024_m4","profiles\re_may140.set","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"5","re_may140","5","range_elite_risk_shape_probe","5","phase4_range_elite_risk_shape_model4","re_may140.set","2025_full","profit_control","2025.01.01","2025.12.31","4","configs\005_re_may140_2025_full_m4.ini","re_risk_re_may140_2025_m4","profiles\re_may140.set","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"6","re_may140","6","range_elite_risk_shape_probe","6","phase4_range_elite_risk_shape_model4","re_may140.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","4","configs\006_re_may140_2026_ytd_m4.ini","re_risk_re_may140_2026ytd_m4","profiles\re_may140.set","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"7","re_dgf_liq_reject1","7","range_elite_risk_shape_probe","7","phase4_range_elite_risk_shape_model4","re_dgf_liq_reject1.set","2019_full","red_year","2019.01.01","2019.12.31","4","configs\007_re_dgf_liq_reject1_2019_full_m4.ini","re_risk_re_dgf_liq_reject1_2019_m4","profiles\re_dgf_liq_reject1.set","718D5FD6207F4295F135C288332EE1924B90D2C5C18895E445753B772448B3F0","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Reject DGF plus liquidity-sweep entries when liquidity sweep is the only pre-DGF confirmation.","InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackRejectLiquiditySweepSignal=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"8","re_dgf_liq_reject1","8","range_elite_risk_shape_probe","8","phase4_range_elite_risk_shape_model4","re_dgf_liq_reject1.set","2021_full","red_year","2021.01.01","2021.12.31","4","configs\008_re_dgf_liq_reject1_2021_full_m4.ini","re_risk_re_dgf_liq_reject1_2021_m4","profiles\re_dgf_liq_reject1.set","718D5FD6207F4295F135C288332EE1924B90D2C5C18895E445753B772448B3F0","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Reject DGF plus liquidity-sweep entries when liquidity sweep is the only pre-DGF confirmation.","InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackRejectLiquiditySweepSignal=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"9","re_dgf_liq_reject1","9","range_elite_risk_shape_probe","9","phase4_range_elite_risk_shape_model4","re_dgf_liq_reject1.set","2023_full","red_year","2023.01.01","2023.12.31","4","configs\009_re_dgf_liq_reject1_2023_full_m4.ini","re_risk_re_dgf_liq_reject1_2023_m4","profiles\re_dgf_liq_reject1.set","718D5FD6207F4295F135C288332EE1924B90D2C5C18895E445753B772448B3F0","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Reject DGF plus liquidity-sweep entries when liquidity sweep is the only pre-DGF confirmation.","InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackRejectLiquiditySweepSignal=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"10","re_dgf_liq_reject1","10","range_elite_risk_shape_probe","10","phase4_range_elite_risk_shape_model4","re_dgf_liq_reject1.set","2024_full","profit_control","2024.01.01","2024.12.31","4","configs\010_re_dgf_liq_reject1_2024_full_m4.ini","re_risk_re_dgf_liq_reject1_2024_m4","profiles\re_dgf_liq_reject1.set","718D5FD6207F4295F135C288332EE1924B90D2C5C18895E445753B772448B3F0","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Reject DGF plus liquidity-sweep entries when liquidity sweep is the only pre-DGF confirmation.","InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackRejectLiquiditySweepSignal=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
