"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","re_may140","1","range_elite_risk_shape_probe","1","phase4_range_elite_risk_shape_model4","re_may140.set","2019_full","2019.01.01","2019.12.31","4","configs\001_re_may140_2019_full_m4.ini","re_risk_re_may140_2019_m4","profiles\re_may140.set","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_2019_m4.htm","1000","364","0.9966","-83.32","916.68","-8.33","-8.36","-8.36","0","-27.77","-1.81","0","3","3","117.13","11.33","83.32","117.13","-0.71","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","re_may140","2","range_elite_risk_shape_probe","2","phase4_range_elite_risk_shape_model4","re_may140.set","2021_full","2021.01.01","2021.12.31","4","configs\002_re_may140_2021_full_m4.ini","re_risk_re_may140_2021_m4","profiles\re_may140.set","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_2021_m4.htm","1000","364","0.9966","-62.11","937.89","-6.21","-6.23","-6.23","0.4","-31.06","-0.42","50","2","1","247.02","20.85","104.34","247.02","-0.25","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","re_may140","3","range_elite_risk_shape_probe","3","phase4_range_elite_risk_shape_model4","re_may140.set","2023_full","2023.01.01","2023.12.31","4","configs\003_re_may140_2023_full_m4.ini","re_risk_re_may140_2023_m4","profiles\re_may140.set","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_2023_m4.htm","1000","364","0.9966","-140.18","859.82","-14.02","-14.07","-14.06","0.44","-9.35","-5","20","15","6","180.78","17.37","140.18","180.78","-0.78","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","re_may140","4","range_elite_risk_shape_probe","4","phase4_range_elite_risk_shape_model4","re_may140.set","2024_full","2024.01.01","2024.12.31","4","configs\004_re_may140_2024_full_m4.ini","re_risk_re_may140_2024_m4","profiles\re_may140.set","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_2024_m4.htm","1000","365","0.9993","2366.15","3366.15","236.62","236.78","236.89","5.66","338.02","30.87","85.71","7","1","571.29","14.51","507.35","571.29","4.14","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","re_may140","5","range_elite_risk_shape_probe","5","phase4_range_elite_risk_shape_model4","re_may140.set","2025_full","2025.01.01","2025.12.31","4","configs\005_re_may140_2025_full_m4.ini","re_risk_re_may140_2025_m4","profiles\re_may140.set","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_2025_m4.htm","1000","364","0.9966","214.3","1214.3","21.43","21.5","21.51","4.96","71.43","2.92","66.67","3","1","165.14","11.97","54.05","165.14","1.3","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","re_may140","6","range_elite_risk_shape_probe","6","phase4_range_elite_risk_shape_model4","re_may140.set","2026_ytd","2026.01.01","2026.07.12","4","configs\006_re_may140_2026_ytd_m4.ini","re_risk_re_may140_2026ytd_m4","profiles\re_may140.set","B3634922FD3723FA2D0A3AC81F902288018A4A5CAD78118DB028C3AEBC62FF53","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_2026ytd_m4.htm","1000","192","0.5257","871.35","1871.35","87.14","165.76","229.41","2.99","79.21","5.4","72.73","11","1","600.12","24.28","313.2","600.12","1.45","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","re_dgf_liq_reject1","7","range_elite_risk_shape_probe","7","phase4_range_elite_risk_shape_model4","re_dgf_liq_reject1.set","2019_full","2019.01.01","2019.12.31","4","configs\007_re_dgf_liq_reject1_2019_full_m4.ini","re_risk_re_dgf_liq_reject1_2019_m4","profiles\re_dgf_liq_reject1.set","718D5FD6207F4295F135C288332EE1924B90D2C5C18895E445753B772448B3F0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_dgf_liq_reject1_2019_m4.htm","1000","364","0.9966","-83.32","916.68","-8.33","-8.36","-8.36","0","-27.77","-1.81","0","3","3","117.13","11.33","83.32","117.13","-0.71","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","re_dgf_liq_reject1","8","range_elite_risk_shape_probe","8","phase4_range_elite_risk_shape_model4","re_dgf_liq_reject1.set","2021_full","2021.01.01","2021.12.31","4","configs\008_re_dgf_liq_reject1_2021_full_m4.ini","re_risk_re_dgf_liq_reject1_2021_m4","profiles\re_dgf_liq_reject1.set","718D5FD6207F4295F135C288332EE1924B90D2C5C18895E445753B772448B3F0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_dgf_liq_reject1_2021_m4.htm","1000","364","0.9966","-16.27","983.73","-1.63","-1.63","-1.63","0.72","-8.14","-0.15","50","2","1","201.18","16.98","58.5","201.18","-0.08","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","re_dgf_liq_reject1","9","range_elite_risk_shape_probe","9","phase4_range_elite_risk_shape_model4","re_dgf_liq_reject1.set","2023_full","2023.01.01","2023.12.31","4","configs\009_re_dgf_liq_reject1_2023_full_m4.ini","re_risk_re_dgf_liq_reject1_2023_m4","profiles\re_dgf_liq_reject1.set","718D5FD6207F4295F135C288332EE1924B90D2C5C18895E445753B772448B3F0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_dgf_liq_reject1_2023_m4.htm","1000","364","0.9966","-112.47","887.53","-11.25","-11.29","-11.28","0.57","-6.25","-5","22.22","18","4","159.73","15.35","112.47","159.73","-0.7","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","re_dgf_liq_reject1","10","range_elite_risk_shape_probe","10","phase4_range_elite_risk_shape_model4","re_dgf_liq_reject1.set","2024_full","2024.01.01","2024.12.31","4","configs\010_re_dgf_liq_reject1_2024_full_m4.ini","re_risk_re_dgf_liq_reject1_2024_m4","profiles\re_dgf_liq_reject1.set","718D5FD6207F4295F135C288332EE1924B90D2C5C18895E445753B772448B3F0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_dgf_liq_reject1_2024_m4.htm","1000","365","0.9993","2640.11","3640.11","264.01","264.19","264.33","7.24","132.01","112.87","65","20","3","742.48","24.25","171.07","742.48","3.56","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
