"Candidate","Window","EntryTime","ExitTime","Month","DayOfWeek","EntryHour","Side","Volume","EntryPrice","ExitPrice","Profit","BalanceAfter","EntryComment","ExitComment","DurationMinutes"
"re_may140_late15_dgf_liq_reject1","2019","2019-08-05 09:00:00","2019-08-05 09:14:48","8","Monday","9","sell","0.1","1452.81","1456.83","-40.2","959.8","DGF;Diagnostic trend fallback;","sl 1456.77","14.8"
"re_may140_late15_dgf_liq_reject1","2021","2021-03-03 07:15:00","2021-03-03 09:17:37","3","Wednesday","7","sell","0.41","1735.05","1734.02","42.23","1042.23","PXEA;Liquidity sweep;","sl 1734.01","122.62"
"re_may140_late15_dgf_liq_reject1","2021","2021-03-04 08:15:00","2021-03-04 09:11:35","3","Thursday","8","sell","0.26","1717.05","1719.3","-58.5","983.73","DGF;Diagnostic trend fallback;","sl 1719.29","56.58"
"re_may140_late15_dgf_liq_reject1","2023","2023-03-06 14:15:00","2023-03-06 17:05:30","3","Monday","14","buy","0.4","1849.71","1850.35","25.6","1025.6","DGF;Diagnostic trend fallback;","sl 1850.35","170.5"
"re_may140_late15_dgf_liq_reject1","2023","2023-03-08 14:00:00","2023-03-08 16:30:37","3","Wednesday","14","sell","0.49","1815.08","1815.33","-12.25","1013.35","DGF;Diagnostic trend fallback;","sl 1815.33","150.62"
"re_may140_late15_dgf_liq_reject1","2023","2023-03-09 07:45:00","2023-03-09 09:27:42","3","Thursday","7","sell","0.28","1815.08","1815.09","-0.28","1013.07","PXEA;Liquidity sweep;","sl 1815.09","102.7"
"re_may140_late15_dgf_liq_reject1","2023","2023-03-09 14:00:00","2023-03-09 15:30:28","3","Thursday","14","sell","0.12","1818.79","1818.7","1.08","1014.15","DGF;Diagnostic trend fallback;","sl 1818.68","90.47"
"re_may140_late15_dgf_liq_reject1","2023","2023-03-10 07:00:00","2023-03-10 10:01:17","3","Friday","7","buy","0.38","1829.88","1835.35","207.86","1222.01","DGF;Diagnostic trend fallback;","tp 1835.34","181.28"
"re_may140_late15_dgf_liq_reject1","2023","2023-05-03 13:15:00","2023-05-03 15:15:38","5","Wednesday","13","sell","0.54","2016.2","2009.93","338.58","1560.59","DGF;Diagnostic trend fallback;","tp 2009.98","120.63"
"re_may140_late15_dgf_liq_reject1","2023","2023-05-04 07:00:00","2023-05-04 09:08:38","5","Thursday","7","buy","0.58","2040.98","2040.79","-11.02","1549.57","DGF;Diagnostic trend fallback;","sl 2040.79","128.63"
"re_may140_late15_dgf_liq_reject1","2023","2023-05-05 09:15:00","2023-05-05 09:21:03","5","Friday","9","buy","0.44","2047.38","2044.93","-107.8","1441.77","DGF;Diagnostic trend fallback;","sl 2044.95","6.05"
"re_may140_late15_dgf_liq_reject1","2024","2024-03-04 07:30:00","2024-03-04 09:03:03","3","Monday","7","buy","0.48","2081.1","2084.9","182.4","1182.4","DGF;Diagnostic trend fallback;","tp 2084.86","93.05"
"re_may140_late15_dgf_liq_reject1","2024","2024-03-05 14:45:00","2024-03-05 15:28:40","3","Tuesday","14","buy","0.27","2122.48","2131.43","241.65","1424.05","PXEA;Liquidity sweep;","tp 2131.43","43.67"
"re_may140_late15_dgf_liq_reject1","2024","2024-03-06 13:00:00","2024-03-06 14:54:37","3","Wednesday","13","buy","0.54","2125.83","2134.33","459","1883.05","DGF;Diagnostic trend fallback;","tp 2134.32","114.62"
"re_may140_late15_dgf_liq_reject1","2024","2024-03-07 13:45:00","2024-03-07 15:05:38","3","Thursday","13","buy","0.81","2154.84","2162.43","614.79","2497.84","DGF;Diagnostic trend fallback;","tp 2162.37","80.63"
"re_may140_late15_dgf_liq_reject1","2024","2024-05-03 09:00:00","2024-05-03 09:54:41","5","Friday","9","sell","1.07","2306.09","2299.74","679.45","3177.29","DGF;Diagnostic trend fallback;","tp 2299.76","54.68"
"re_may140_late15_dgf_liq_reject1","2024","2024-05-06 08:15:00","2024-05-06 10:39:31","5","Monday","8","buy","0.69","2311.21","2321.3","696.21","3873.5","DGF;Diagnostic trend fallback;","tp 2321.16","144.52"
"re_may140_late15_dgf_liq_reject1","2024","2024-05-07 08:00:00","2024-05-07 09:11:23","5","Tuesday","8","buy","1.39","2322.77","2319.12","-507.35","3366.15","DGF;Diagnostic trend fallback;","sl 2319.12","71.38"
"re_may140_late15_dgf_liq_reject1","2025","2025-03-03 07:00:00","2025-03-03 10:39:26","3","Monday","7","sell","0.17","2867.26","2864.96","39.1","1039.1","DGF;Diagnostic trend fallback;","sl 2864.89","219.43"
"re_may140_late15_dgf_liq_reject1","2025","2025-03-05 13:15:00","2025-03-05 15:09:40","3","Wednesday","13","buy","0.19","2914.44","2912.09","-44.65","994.45","DGF;Diagnostic trend fallback;","sl 2912.12","114.67"
"re_may140_late15_dgf_liq_reject1","2026ytd","2026-03-03 07:00:00","2026-03-03 07:54:01","3","Tuesday","7","sell","0.05","5361.23","5317.42","219.05","1219.05","DGF;Diagnostic trend fallback;","tp 5317.84","54.02"
"re_may140_late15_dgf_liq_reject1","2026ytd","2026-03-04 07:00:00","2026-03-04 08:59:59","3","Wednesday","7","sell","0.03","5156.94","5160.96","-12.06","1206.99","DGF;Diagnostic trend fallback;","sl 5160.96","119.98"
"re_may140_late15_dgf_liq_reject1","2026ytd","2026-03-04 13:45:00","2026-03-04 15:09:56","3","Wednesday","13","sell","0.04","5192.99","5188.7","17.16","1224.15","DGF;Diagnostic trend fallback;","sl 5188.69","84.93"
"re_may140_late15_dgf_liq_reject1","2026ytd","2026-03-05 08:30:00","2026-03-05 10:12:58","3","Thursday","8","buy","0.05","5143.2","5145.03","9.15","1233.3","DGF;Diagnostic trend fallback;","sl 5145.10","102.97"
"re_may140_late15_dgf_liq_reject1","2026ytd","2026-03-05 10:30:00","2026-03-05 11:39:56","3","Thursday","10","buy","0.05","5144.71","5153.73","45.1","1278.4","DGF;Diagnostic trend fallback;","sl 5153.83","69.93"
"re_may140_late15_dgf_liq_reject1","2026ytd","2026-03-06 07:00:00","2026-03-06 11:50:54","3","Friday","7","sell","0.08","5127.56","5087.24","322.56","1600.96","DGF;Diagnostic trend fallback;","tp 5087.27","290.9"
"re_may140_late15_dgf_liq_reject1","2026ytd","2026-03-09 07:15:00","2026-03-09 08:43:58","3","Monday","7","buy","0.06","5096.68","5105.08","50.4","1651.36","DGF;Diagnostic trend fallback;","sl 5105.16","88.97"
"re_may140_late15_dgf_liq_reject1","2026ytd","2026-03-10 07:30:00","2026-03-10 10:00:05","3","Tuesday","7","sell","0.09","5171.73","5181.98","-92.25","1559.11","DGF;Diagnostic trend fallback;","sl 5181.97","150.08"
