"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","re_may140_late15_dgf_liq_reject1_cush50","1","range_elite_risk_shape_probe","1","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50.set","2019_full","2019.01.01","2019.12.31","1","configs\001_re_may140_late15_dgf_liq_reject1_cush50_2019_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","94D72420AB9D5750912522CB4D7E3F14A9BA2D2EA3DB0D85F0508BB6530D3300","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m1.htm","1000","364","0.9966","-40.79","959.21","-4.08","-4.09","-4.09","0","-10.2","-2.08","0","4","4","41.69","4.17","40.79","41.69","-0.98","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","re_may140_late15_dgf_liq_reject1_cush50","2","range_elite_risk_shape_probe","2","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50.set","2021_full","2021.01.01","2021.12.31","1","configs\002_re_may140_late15_dgf_liq_reject1_cush50_2021_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","94D72420AB9D5750912522CB4D7E3F14A9BA2D2EA3DB0D85F0508BB6530D3300","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m1.htm","1000","364","0.9966","13.52","1013.52","1.35","1.36","1.36","1.46","6.76","0.04","50","2","1","171.39","14.46","29.12","171.39","0.08","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","re_may140_late15_dgf_liq_reject1_cush50","3","range_elite_risk_shape_probe","3","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50.set","2023_full","2023.01.01","2023.12.31","1","configs\003_re_may140_late15_dgf_liq_reject1_cush50_2023_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","94D72420AB9D5750912522CB4D7E3F14A9BA2D2EA3DB0D85F0508BB6530D3300","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m1.htm","1000","364","0.9966","308.43","1308.43","30.84","30.95","30.96","3.72","38.55","2.09","50","8","2","344.18","20.83","107.27","344.18","0.9","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","re_may140_late15_dgf_liq_reject1_cush50","4","range_elite_risk_shape_probe","4","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50.set","2024_full","2024.01.01","2024.12.31","1","configs\004_re_may140_late15_dgf_liq_reject1_cush50_2024_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","94D72420AB9D5750912522CB4D7E3F14A9BA2D2EA3DB0D85F0508BB6530D3300","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m1.htm","1000","365","0.9993","2091.98","3091.98","209.2","209.34","209.44","5.48","298.85","7.67","85.71","7","1","526.08","14.54","467.2","526.08","3.98","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","re_may140_late15_dgf_liq_reject1_cush50","5","range_elite_risk_shape_probe","5","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50.set","2025_full","2025.01.01","2025.12.31","1","configs\005_re_may140_late15_dgf_liq_reject1_cush50_2025_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","94D72420AB9D5750912522CB4D7E3F14A9BA2D2EA3DB0D85F0508BB6530D3300","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m1.htm","1000","364","0.9966","24.34","1024.34","2.43","2.44","2.44","1.42","3.04","0.51","50","8","3","101.5","9.52","50.24","101.5","0.24","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","re_may140_late15_dgf_liq_reject1_cush50","6","range_elite_risk_shape_probe","6","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50.set","2026_ytd","2026.01.01","2026.07.12","1","configs\006_re_may140_late15_dgf_liq_reject1_cush50_2026_ytd_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","94D72420AB9D5750912522CB4D7E3F14A9BA2D2EA3DB0D85F0508BB6530D3300","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m1.htm","1000","192","0.5257","358.59","1358.59","35.86","68.22","79.13","4.82","51.23","2.12","71.43","7","1","259.17","16.02","81.92","259.17","1.38","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","7","range_elite_risk_shape_probe","7","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock.set","2019_full","2019.01.01","2019.12.31","1","configs\007_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50_dgflossblock.set","BA8C99E7ACE32103F487CD15E03D1A1041DB28482B23057D07849009EF42A217","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_m1.htm","1000","364","0.9966","-4.52","995.48","-0.45","-0.45","-0.45","0.92","-1.51","-0.05","33.33","3","1","60.4","5.72","35.3","60.4","-0.07","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","8","range_elite_risk_shape_probe","8","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock.set","2021_full","2021.01.01","2021.12.31","1","configs\008_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50_dgflossblock.set","BA8C99E7ACE32103F487CD15E03D1A1041DB28482B23057D07849009EF42A217","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_m1.htm","1000","364","0.9966","13.52","1013.52","1.35","1.36","1.36","1.46","6.76","0.04","50","2","1","171.39","14.46","29.12","171.39","0.08","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","9","range_elite_risk_shape_probe","9","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock.set","2023_full","2023.01.01","2023.12.31","1","configs\009_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50_dgflossblock.set","BA8C99E7ACE32103F487CD15E03D1A1041DB28482B23057D07849009EF42A217","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_m1.htm","1000","364","0.9966","308.43","1308.43","30.84","30.95","30.96","3.72","38.55","2.09","50","8","2","344.18","20.83","107.27","344.18","0.9","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","10","range_elite_risk_shape_probe","10","phase4_range_elite_risk_shape_model1","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock.set","2024_full","2024.01.01","2024.12.31","1","configs\010_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_m1","profiles\re_may140_late15_dgf_liq_reject1_cush50_dgflossblock.set","BA8C99E7ACE32103F487CD15E03D1A1041DB28482B23057D07849009EF42A217","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_m1.htm","1000","365","0.9993","2091.98","3091.98","209.2","209.34","209.44","5.48","298.85","7.67","85.71","7","1","526.08","14.54","467.2","526.08","3.98","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
