"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","re_may140_late15_dgf_liq_reject1_cush50","2019_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\001_re_may140_late15_dgf_liq_reject1_cush50_2019_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:47:21","2026-07-14T19:47:33"
"2","re_may140_late15_dgf_liq_reject1_cush50","2021_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\002_re_may140_late15_dgf_liq_reject1_cush50_2021_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:47:33","2026-07-14T19:47:45"
"3","re_may140_late15_dgf_liq_reject1_cush50","2023_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\003_re_may140_late15_dgf_liq_reject1_cush50_2023_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:47:45","2026-07-14T19:47:56"
"4","re_may140_late15_dgf_liq_reject1_cush50","2024_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\004_re_may140_late15_dgf_liq_reject1_cush50_2024_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:47:56","2026-07-14T19:48:07"
"5","re_may140_late15_dgf_liq_reject1_cush50","2025_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\005_re_may140_late15_dgf_liq_reject1_cush50_2025_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:48:07","2026-07-14T19:48:18"
"6","re_may140_late15_dgf_liq_reject1_cush50","2026_ytd","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\006_re_may140_late15_dgf_liq_reject1_cush50_2026_ytd_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:48:18","2026-07-14T19:48:28"
"7","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","2019_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\007_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:48:28","2026-07-14T19:48:38"
"8","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","2021_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\008_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:48:38","2026-07-14T19:48:50"
"9","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","2023_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\009_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:48:50","2026-07-14T19:49:01"
"10","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","2024_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\010_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:49:01","2026-07-14T19:49:11"
"11","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","2025_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\011_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2025_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2025_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2025_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:49:11","2026-07-14T19:49:22"
"12","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","2026_ytd","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\012_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2026_ytd_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2026ytd_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2026ytd_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:49:22","2026-07-14T19:49:33"
"13","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg","2019_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\013_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2019_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2019_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2019_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:49:33","2026-07-14T19:49:44"
"14","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg","2021_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\014_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2021_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2021_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2021_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:49:44","2026-07-14T19:49:55"
"15","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg","2023_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\015_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2023_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2023_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2023_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:49:55","2026-07-14T19:50:05"
"16","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg","2024_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\016_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2024_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2024_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2024_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:50:05","2026-07-14T19:50:15"
"17","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg","2025_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\017_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2025_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2025_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2025_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:50:15","2026-07-14T19:50:26"
"18","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg","2026_ytd","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\018_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2026_ytd_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2026ytd_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_neg_2026ytd_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:50:26","2026-07-14T19:50:36"
"19","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock","2019_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\019_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2019_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2019_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2019_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:50:36","2026-07-14T19:50:46"
"20","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock","2021_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\020_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2021_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2021_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2021_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:50:46","2026-07-14T19:50:57"
"21","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock","2023_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\021_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2023_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2023_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2023_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:50:57","2026-07-14T19:51:07"
"22","re_may140_late15_dgf_liq_reject1_cush35_dgflossblock","2024_full","1","REPORT_FOUND","RUN_HIDDEN","outputs\range_elite_dgf_lossblock_model1_package\configs\022_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2024_full_m1.ini","True","re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2024_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may140_late15_dgf_liq_reject1_cush35_dgflossblock_2024_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-14T19:51:07","2026-07-14T19:51:18"
