"QueueRank","Candidate","Phase","PhaseLabel","Window","Role","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2019_full","red_year","1","outputs\range_elite_dgf_protect_model1_package\configs\001_re_may140_late15_dgf_liq_reject1_cush50_2019_full_m1.ini","outputs\range_elite_dgf_protect_model1_package\configs\001_re_may140_late15_dgf_liq_reject1_cush50_2019_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m1","outputs\range_elite_dgf_protect_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m1","16A46319C98AF5B1F1821E93571B310D93870C3BAEB1D6438A94ABEC333C1AC9","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"2","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2021_full","red_year","1","outputs\range_elite_dgf_protect_model1_package\configs\002_re_may140_late15_dgf_liq_reject1_cush50_2021_full_m1.ini","outputs\range_elite_dgf_protect_model1_package\configs\002_re_may140_late15_dgf_liq_reject1_cush50_2021_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m1","outputs\range_elite_dgf_protect_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m1","16A46319C98AF5B1F1821E93571B310D93870C3BAEB1D6438A94ABEC333C1AC9","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"3","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2023_full","red_year","1","outputs\range_elite_dgf_protect_model1_package\configs\003_re_may140_late15_dgf_liq_reject1_cush50_2023_full_m1.ini","outputs\range_elite_dgf_protect_model1_package\configs\003_re_may140_late15_dgf_liq_reject1_cush50_2023_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m1","outputs\range_elite_dgf_protect_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m1","16A46319C98AF5B1F1821E93571B310D93870C3BAEB1D6438A94ABEC333C1AC9","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"4","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2024_full","profit_control","1","outputs\range_elite_dgf_protect_model1_package\configs\004_re_may140_late15_dgf_liq_reject1_cush50_2024_full_m1.ini","outputs\range_elite_dgf_protect_model1_package\configs\004_re_may140_late15_dgf_liq_reject1_cush50_2024_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m1","outputs\range_elite_dgf_protect_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m1","16A46319C98AF5B1F1821E93571B310D93870C3BAEB1D6438A94ABEC333C1AC9","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"5","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2025_full","profit_control","1","outputs\range_elite_dgf_protect_model1_package\configs\005_re_may140_late15_dgf_liq_reject1_cush50_2025_full_m1.ini","outputs\range_elite_dgf_protect_model1_package\configs\005_re_may140_late15_dgf_liq_reject1_cush50_2025_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m1","outputs\range_elite_dgf_protect_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m1","16A46319C98AF5B1F1821E93571B310D93870C3BAEB1D6438A94ABEC333C1AC9","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"6","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2026_ytd","high_dd_recent","1","outputs\range_elite_dgf_protect_model1_package\configs\006_re_may140_late15_dgf_liq_reject1_cush50_2026_ytd_m1.ini","outputs\range_elite_dgf_protect_model1_package\configs\006_re_may140_late15_dgf_liq_reject1_cush50_2026_ytd_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m1","outputs\range_elite_dgf_protect_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m1","16A46319C98AF5B1F1821E93571B310D93870C3BAEB1D6438A94ABEC333C1AC9","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"7","re_may140_late15_dgf_liq_reject1_cush50_dgfperf35","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2019_full","red_year","1","outputs\range_elite_dgf_protect_model1_package\configs\007_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2019_full_m1.ini","outputs\range_elite_dgf_protect_model1_package\configs\007_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2019_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2019_m1","outputs\range_elite_dgf_protect_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2019_m1","A77173A656D0753684410461AD77A63C8A097DFD722C047356A488E7866ED271","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"8","re_may140_late15_dgf_liq_reject1_cush50_dgfperf35","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2021_full","red_year","1","outputs\range_elite_dgf_protect_model1_package\configs\008_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2021_full_m1.ini","outputs\range_elite_dgf_protect_model1_package\configs\008_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2021_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2021_m1","outputs\range_elite_dgf_protect_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2021_m1","A77173A656D0753684410461AD77A63C8A097DFD722C047356A488E7866ED271","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"9","re_may140_late15_dgf_liq_reject1_cush50_dgfperf35","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2023_full","red_year","1","outputs\range_elite_dgf_protect_model1_package\configs\009_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2023_full_m1.ini","outputs\range_elite_dgf_protect_model1_package\configs\009_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2023_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2023_m1","outputs\range_elite_dgf_protect_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2023_m1","A77173A656D0753684410461AD77A63C8A097DFD722C047356A488E7866ED271","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"10","re_may140_late15_dgf_liq_reject1_cush50_dgfperf35","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2024_full","profit_control","1","outputs\range_elite_dgf_protect_model1_package\configs\010_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2024_full_m1.ini","outputs\range_elite_dgf_protect_model1_package\configs\010_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2024_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2024_m1","outputs\range_elite_dgf_protect_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgfperf35_2024_m1","A77173A656D0753684410461AD77A63C8A097DFD722C047356A488E7866ED271","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
