"Window","Lane","Trades","NetProfit","Wins","Losses","AvgSpread","AvgRealizedR"
"2019_full","diagnostic_fallback","3","-83.32","0","3","28","-7.17"
"2020_full","diagnostic_fallback","2","88.75","1","1","19.5","4.7"
"2021_full","liquidity_sweep","1","42.23","1","0","5","4.23"
"2021_full","sweep_plus_diagnostic","1","-104.34","0","1","12","-10.06"
"2022_full","diagnostic_fallback","2","9.59","1","1","5","0.78"
"2023_full","diagnostic_fallback","13","7.33","5","8","7.31","2.11"
"2023_full","sweep_plus_diagnostic","3","-106.74","0","3","8","-7.78"
"2023_full","liquidity_sweep","1","-31.92","0","1","8","-10.09"
"2024_full","diagnostic_fallback","15","2047.32","10","5","28.07","12.18"
"2024_full","liquidity_sweep","2","213.75","1","1","24","7.91"
"2024_full","sweep_plus_diagnostic","3","17.54","2","1","33.67","3.49"
"2024_full","range_reversion_fmr","1","-104.14","0","1","15","-8.06"
"2025_full","diagnostic_fallback","2","-14.95","1","1","14","-0.13"
"2025_full","sweep_plus_diagnostic","1","229.25","1","0","15","22.25"
"2026_ytd","diagnostic_fallback","11","742.92","8","3","10.82","8.99"
