"Candidate","Window","Time","Deal","Symbol","Type","Direction","Volume","Price","Order","Commission","Fee","Swap","Profit","Balance","Comment"
"re_may140_late15_pure","2019","2019.08.05 09:00:00","2","XAUUSD","sell","in","0.1","1452.81","2","0.00","0.00","0.00","1 000.00","DGF;Diagnostic trend fallback;",""
"re_may140_late15_pure","2019","2019.08.05 09:14:48","3","XAUUSD","buy","out","0.1","1456.83","3","0.00","0.00","-40.20","959.80","sl 1456.77",""
"re_may140_late15_pure","2021","2021.03.03 07:15:00","2","XAUUSD","sell","in","0.41","1735.05","2","0.00","0.00","0.00","1 000.00","PXEA;Liquidity sweep;",""
"re_may140_late15_pure","2021","2021.03.03 09:17:37","3","XAUUSD","buy","out","0.41","1734.02","3","0.00","0.00","42.23","1 042.23","sl 1734.01",""
"re_may140_late15_pure","2021","2021.03.04 07:15:00","4","XAUUSD","sell","in","0.37","1714.64","4","0.00","0.00","0.00","1 042.23","DGF;Liquidity sweep;Diagnostic",""
"re_may140_late15_pure","2021","2021.03.04 07:36:41","5","XAUUSD","buy","out","0.37","1717.46","5","0.00","0.00","-104.34","937.89","sl 1717.44",""
"re_may140_late15_pure","2023","2023.03.06 14:15:00","2","XAUUSD","buy","in","0.4","1849.71","2","0.00","0.00","0.00","1 000.00","DGF;Diagnostic trend fallback;",""
"re_may140_late15_pure","2023","2023.03.06 17:05:30","3","XAUUSD","sell","out","0.4","1850.35","3","0.00","0.00","25.60","1 025.60","sl 1850.35",""
"re_may140_late15_pure","2023","2023.03.07 09:45:00","4","XAUUSD","sell","in","0.45","1849.91","4","0.00","0.00","0.00","1 025.60","DGF;Liquidity sweep;Diagnostic",""
"re_may140_late15_pure","2023","2023.03.07 11:49:35","5","XAUUSD","buy","out","0.45","1844.31","5","0.00","0.00","252.00","1 277.60","tp 1844.32",""
"re_may140_late15_pure","2023","2023.03.08 10:15:00","6","XAUUSD","sell","in","0.6","1813.69","8","0.00","0.00","0.00","1 277.60","DGF;Liquidity sweep;Diagnostic",""
"re_may140_late15_pure","2023","2023.03.08 13:06:28","7","XAUUSD","buy","out","0.6","1815.69","9","0.00","0.00","-120.00","1 157.60","sl 1815.68",""
"re_may140_late15_pure","2026ytd","2026.03.03 07:00:00","2","XAUUSD","sell","in","0.05","5361.23","2","0.00","0.00","0.00","1 000.00","DGF;Diagnostic trend fallback;",""
"re_may140_late15_pure","2026ytd","2026.03.03 07:54:01","3","XAUUSD","buy","out","0.05","5317.42","3","0.00","0.00","219.05","1 219.05","tp 5317.84",""
"re_may140_late15_pure","2026ytd","2026.03.04 07:00:00","4","XAUUSD","sell","in","0.03","5156.94","4","0.00","0.00","0.00","1 219.05","DGF;Diagnostic trend fallback;",""
"re_may140_late15_pure","2026ytd","2026.03.04 08:59:59","5","XAUUSD","buy","out","0.03","5160.96","5","0.00","0.00","-12.06","1 206.99","sl 5160.96",""
"re_may140_late15_pure","2026ytd","2026.03.04 13:45:00","6","XAUUSD","sell","in","0.04","5192.99","6","0.00","0.00","0.00","1 206.99","DGF;Diagnostic trend fallback;",""
"re_may140_late15_pure","2026ytd","2026.03.04 15:09:56","7","XAUUSD","buy","out","0.04","5188.70","7","0.00","0.00","17.16","1 224.15","sl 5188.69",""
"re_may140_late15_pure","2026ytd","2026.03.05 08:30:00","8","XAUUSD","buy","in","0.05","5143.20","8","0.00","0.00","0.00","1 224.15","DGF;Diagnostic trend fallback;",""
"re_may140_late15_pure","2026ytd","2026.03.05 10:12:58","9","XAUUSD","sell","out","0.05","5145.03","9","0.00","0.00","9.15","1 233.30","sl 5145.10",""
"re_may140_late15_pure","2026ytd","2026.03.05 10:30:00","10","XAUUSD","buy","in","0.05","5144.71","10","0.00","0.00","0.00","1 233.30","DGF;Diagnostic trend fallback;",""
"re_may140_late15_pure","2026ytd","2026.03.05 11:39:56","11","XAUUSD","sell","out","0.05","5153.73","11","0.00","0.00","45.10","1 278.40","sl 5153.83",""
"re_may140_late15_pure","2026ytd","2026.03.06 07:00:00","12","XAUUSD","sell","in","0.08","5127.56","12","0.00","0.00","0.00","1 278.40","DGF;Diagnostic trend fallback;",""
"re_may140_late15_pure","2026ytd","2026.03.06 11:50:54","13","XAUUSD","buy","out","0.08","5087.24","13","0.00","0.00","322.56","1 600.96","tp 5087.27",""
"re_may140_late15_pure","2026ytd","2026.03.09 07:15:00","14","XAUUSD","buy","in","0.06","5096.68","14","0.00","0.00","0.00","1 600.96","DGF;Diagnostic trend fallback;",""
"re_may140_late15_pure","2026ytd","2026.03.09 08:43:58","15","XAUUSD","sell","out","0.06","5105.08","15","0.00","0.00","50.40","1 651.36","sl 5105.16",""
"re_may140_late15_pure","2026ytd","2026.03.10 07:30:00","16","XAUUSD","sell","in","0.09","5171.73","16","0.00","0.00","0.00","1 651.36","DGF;Diagnostic trend fallback;",""
"re_may140_late15_pure","2026ytd","2026.03.10 10:00:05","17","XAUUSD","buy","out","0.09","5181.98","17","0.00","0.00","-92.25","1 559.11","sl 5181.97",""
"re_may140_late15_pure","2026ytd","2026.05.04 08:15:00","18","XAUUSD","sell","in","0.05","4603.88","18","0.00","0.00","0.00","1 559.11","DGF;Diagnostic trend fallback;",""
"re_may140_late15_pure","2026ytd","2026.05.04 13:01:59","19","XAUUSD","buy","out","0.05","4570.77","19","0.00","0.00","165.55","1 724.66","tp 4570.81",""
"re_may140_late15_pure","2026ytd","2026.05.05 15:00:00","20","XAUUSD","sell","in","0.29","4562.81","20","0.00","0.00","0.00","1 724.66","PXEA;Liquidity sweep;",""
"re_may140_late15_pure","2026ytd","2026.05.05 15:24:28","21","XAUUSD","buy","out","0.29","4571.51","21","0.00","0.00","-252.30","1 472.36","sl 4571.13",""
"re_may140","2019","2019.03.08 16:45:00","2","XAUUSD","sell","in","0.23","1297.07","2","0.00","0.00","0.00","1 000.00","DGF;Diagnostic trend fallback;",""
"re_may140","2019","2019.03.08 18:16:38","3","XAUUSD","buy","out","0.23","1299.02","3","0.00","0.00","-44.85","955.15","sl 1298.94",""
"re_may140","2019","2019.08.05 09:00:00","4","XAUUSD","sell","in","0.06","1452.81","4","0.00","0.00","0.00","955.15","DGF;Diagnostic trend fallback;",""
"re_may140","2019","2019.08.05 09:14:48","5","XAUUSD","buy","out","0.06","1456.83","5","0.00","0.00","-24.12","931.03","sl 1456.77",""
"re_may140","2019","2019.08.13 07:15:00","6","XAUUSD","sell","in","0.07","1515.76","6","0.00","0.00","0.00","931.03","DGF;Diagnostic trend fallback;",""
"re_may140","2019","2019.08.13 08:33:58","7","XAUUSD","buy","out","0.07","1517.81","7","0.00","0.00","-14.35","916.68","sl 1517.81",""
"re_may140","2021","2021.03.03 07:15:00","2","XAUUSD","sell","in","0.41","1735.05","2","0.00","0.00","0.00","1 000.00","PXEA;Liquidity sweep;",""
"re_may140","2021","2021.03.03 09:17:37","3","XAUUSD","buy","out","0.41","1734.02","3","0.00","0.00","42.23","1 042.23","sl 1734.01",""
