"Candidate","Window","EntryTime","ExitTime","Month","DayOfWeek","EntryHour","EntryMinute","Side","Volume","EntryPrice","ExitPrice","Profit","BalanceAfter","ExitComment","EntryComment","DurationMinutes"
"re_may140_late15_pure","2019","2019-08-05 09:00:00","2019-08-05 09:14:48","8","Monday","9","0","sell","0.1","1452.81","1456.83","-40.2","959.8","sl 1456.77","DGF;Diagnostic trend fallback;","14.8"
"re_may140_late15_pure","2021","2021-03-03 07:15:00","2021-03-03 09:17:37","3","Wednesday","7","15","sell","0.41","1735.05","1734.02","42.23","1042.23","sl 1734.01","PXEA;Liquidity sweep;","122.62"
"re_may140_late15_pure","2021","2021-03-04 07:15:00","2021-03-04 07:36:41","3","Thursday","7","15","sell","0.37","1714.64","1717.46","-104.34","937.89","sl 1717.44","DGF;Liquidity sweep;Diagnostic","21.68"
"re_may140_late15_pure","2023","2023-03-06 14:15:00","2023-03-06 17:05:30","3","Monday","14","15","buy","0.4","1849.71","1850.35","25.6","1025.6","sl 1850.35","DGF;Diagnostic trend fallback;","170.5"
"re_may140_late15_pure","2023","2023-03-07 09:45:00","2023-03-07 11:49:35","3","Tuesday","9","45","sell","0.45","1849.91","1844.31","252","1277.6","tp 1844.32","DGF;Liquidity sweep;Diagnostic","124.58"
"re_may140_late15_pure","2023","2023-03-08 10:15:00","2023-03-08 13:06:28","3","Wednesday","10","15","sell","0.6","1813.69","1815.69","-120","1157.6","sl 1815.68","DGF;Liquidity sweep;Diagnostic","171.47"
"re_may140_late15_pure","2024","2024-03-04 07:30:00","2024-03-04 09:03:03","3","Monday","7","30","buy","0.48","2081.1","2084.9","182.4","1182.4","tp 2084.86","DGF;Diagnostic trend fallback;","93.05"
"re_may140_late15_pure","2024","2024-03-05 14:45:00","2024-03-05 15:28:40","3","Tuesday","14","45","buy","0.27","2122.48","2131.43","241.65","1424.05","tp 2131.43","PXEA;Liquidity sweep;","43.67"
"re_may140_late15_pure","2024","2024-03-06 13:00:00","2024-03-06 14:54:37","3","Wednesday","13","0","buy","0.54","2125.83","2134.33","459","1883.05","tp 2134.32","DGF;Diagnostic trend fallback;","114.62"
"re_may140_late15_pure","2024","2024-03-07 13:45:00","2024-03-07 15:05:38","3","Thursday","13","45","buy","0.81","2154.84","2162.43","614.79","2497.84","tp 2162.37","DGF;Diagnostic trend fallback;","80.63"
"re_may140_late15_pure","2024","2024-05-03 09:00:00","2024-05-03 09:54:41","5","Friday","9","0","sell","1.07","2306.09","2299.74","679.45","3177.29","tp 2299.76","DGF;Diagnostic trend fallback;","54.68"
"re_may140_late15_pure","2024","2024-05-06 08:15:00","2024-05-06 10:39:31","5","Monday","8","15","buy","0.69","2311.21","2321.3","696.21","3873.5","tp 2321.16","DGF;Diagnostic trend fallback;","144.52"
"re_may140_late15_pure","2024","2024-05-07 08:00:00","2024-05-07 09:11:23","5","Tuesday","8","0","buy","1.39","2322.77","2319.12","-507.35","3366.15","sl 2319.12","DGF;Diagnostic trend fallback;","71.38"
"re_may140_late15_pure","2025","2025-03-03 07:00:00","2025-03-03 10:39:26","3","Monday","7","0","sell","0.17","2867.26","2864.96","39.1","1039.1","sl 2864.89","DGF;Diagnostic trend fallback;","219.43"
"re_may140_late15_pure","2025","2025-03-04 09:00:00","2025-03-04 09:27:11","3","Tuesday","9","0","buy","0.25","2887.57","2896.74","229.25","1268.35","tp 2896.66","DGF;Liquidity sweep;Diagnostic","27.18"
"re_may140_late15_pure","2025","2025-03-05 13:15:00","2025-03-05 15:09:40","3","Wednesday","13","15","buy","0.23","2914.44","2912.09","-54.05","1214.3","sl 2912.12","DGF;Diagnostic trend fallback;","114.67"
"re_may140_late15_pure","2026ytd","2026-03-03 07:00:00","2026-03-03 07:54:01","3","Tuesday","7","0","sell","0.05","5361.23","5317.42","219.05","1219.05","tp 5317.84","DGF;Diagnostic trend fallback;","54.02"
"re_may140_late15_pure","2026ytd","2026-03-04 07:00:00","2026-03-04 08:59:59","3","Wednesday","7","0","sell","0.03","5156.94","5160.96","-12.06","1206.99","sl 5160.96","DGF;Diagnostic trend fallback;","119.98"
"re_may140_late15_pure","2026ytd","2026-03-04 13:45:00","2026-03-04 15:09:56","3","Wednesday","13","45","sell","0.04","5192.99","5188.7","17.16","1224.15","sl 5188.69","DGF;Diagnostic trend fallback;","84.93"
"re_may140_late15_pure","2026ytd","2026-03-05 08:30:00","2026-03-05 10:12:58","3","Thursday","8","30","buy","0.05","5143.2","5145.03","9.15","1233.3","sl 5145.10","DGF;Diagnostic trend fallback;","102.97"
"re_may140_late15_pure","2026ytd","2026-03-05 10:30:00","2026-03-05 11:39:56","3","Thursday","10","30","buy","0.05","5144.71","5153.73","45.1","1278.4","sl 5153.83","DGF;Diagnostic trend fallback;","69.93"
"re_may140_late15_pure","2026ytd","2026-03-06 07:00:00","2026-03-06 11:50:54","3","Friday","7","0","sell","0.08","5127.56","5087.24","322.56","1600.96","tp 5087.27","DGF;Diagnostic trend fallback;","290.9"
"re_may140_late15_pure","2026ytd","2026-03-09 07:15:00","2026-03-09 08:43:58","3","Monday","7","15","buy","0.06","5096.68","5105.08","50.4","1651.36","sl 5105.16","DGF;Diagnostic trend fallback;","88.97"
"re_may140_late15_pure","2026ytd","2026-03-10 07:30:00","2026-03-10 10:00:05","3","Tuesday","7","30","sell","0.09","5171.73","5181.98","-92.25","1559.11","sl 5181.97","DGF;Diagnostic trend fallback;","150.08"
"re_may140_late15_pure","2026ytd","2026-05-04 08:15:00","2026-05-04 13:01:59","5","Monday","8","15","sell","0.05","4603.88","4570.77","165.55","1724.66","tp 4570.81","DGF;Diagnostic trend fallback;","286.98"
"re_may140_late15_pure","2026ytd","2026-05-05 15:00:00","2026-05-05 15:24:28","5","Tuesday","15","0","sell","0.29","4562.81","4571.51","-252.3","1472.36","sl 4571.13","PXEA;Liquidity sweep;","24.47"
"re_may140","2019","2019-03-08 16:45:00","2019-03-08 18:16:38","3","Friday","16","45","sell","0.23","1297.07","1299.02","-44.85","955.15","sl 1298.94","DGF;Diagnostic trend fallback;","91.63"
"re_may140","2019","2019-08-05 09:00:00","2019-08-05 09:14:48","8","Monday","9","0","sell","0.06","1452.81","1456.83","-24.12","931.03","sl 1456.77","DGF;Diagnostic trend fallback;","14.8"
"re_may140","2019","2019-08-13 07:15:00","2019-08-13 08:33:58","8","Tuesday","7","15","sell","0.07","1515.76","1517.81","-14.35","916.68","sl 1517.81","DGF;Diagnostic trend fallback;","78.97"
"re_may140","2021","2021-03-03 07:15:00","2021-03-03 09:17:37","3","Wednesday","7","15","sell","0.41","1735.05","1734.02","42.23","1042.23","sl 1734.01","PXEA;Liquidity sweep;","122.62"
"re_may140","2021","2021-03-04 07:15:00","2021-03-04 07:36:41","3","Thursday","7","15","sell","0.37","1714.64","1717.46","-104.34","937.89","sl 1717.44","DGF;Liquidity sweep;Diagnostic","21.68"
"re_may140","2023","2023-03-03 15:30:00","2023-03-03 16:21:38","3","Friday","15","30","buy","0.28","1846.79","1844.4","-66.92","933.08","sl 1844.40","DGF;Diagnostic trend fallback;","51.63"
"re_may140","2023","2023-05-03 08:15:00","2023-05-03 08:50:03","5","Wednesday","8","15","buy","0.21","2016.51","2014.62","-39.69","893.39","sl 2014.64","DGF;Liquidity sweep;Diagnostic","35.05"
"re_may140","2023","2023-08-03 07:30:00","2023-08-03 10:06:14","8","Thursday","7","30","sell","0.09","1936.89","1931.97","44.28","937.67","tp 1931.97","DGF;Diagnostic trend fallback;","156.23"
"re_may140","2023","2023-08-04 07:00:00","2023-08-04 08:28:42","8","Friday","7","0","sell","0.07","1935.21","1936.22","-7.07","930.6","sl 1936.20","DGF;Diagnostic trend fallback;","88.7"
"re_may140","2023","2023-08-04 13:30:00","2023-08-04 15:30:05","8","Friday","13","30","sell","0.08","1931.96","1927.42","36.32","966.92","tp 1927.43","DGF;BOS;Diagnostic trend fallb","120.08"
"re_may140","2023","2023-08-07 15:15:00","2023-08-07 15:58:41","8","Monday","15","15","sell","0.11","1935.13","1938.08","-32.45","934.47","sl 1938.08","DGF;Diagnostic trend fallback;","43.68"
"re_may140","2023","2023-08-14 08:45:00","2023-08-14 10:37:12","8","Monday","8","45","sell","0.13","1913.35","1913.87","-6.76","927.71","sl 1913.87","DGF;Liquidity sweep;Diagnostic","112.2"
"re_may140","2023","2023-08-15 10:45:00","2023-08-15 12:21:35","8","Tuesday","10","45","buy","0.11","1905.09","1903.03","-22.66","905.05","sl 1903.05","DGF;Liquidity sweep;Diagnostic","96.58"
"re_may140","2023","2023-08-21 08:00:00","2023-08-21 10:02:38","8","Monday","8","0","sell","0.11","1892.52","1889.86","29.26","934.31","sl 1889.85","DGF;Diagnostic trend fallback;","122.63"
"re_may140","2023","2023-08-22 07:15:00","2023-08-22 07:59:40","8","Tuesday","7","15","buy","0.07","1896.27","1893.87","-16.8","917.51","sl 1893.87","DGF;Diagnostic trend fallback;","44.67"
"re_may140","2023","2023-08-24 10:30:00","2023-08-24 13:00:42","8","Thursday","10","30","buy","0.07","1922.06","1919.24","-19.74","897.77","sl 1919.25","DGF;Diagnostic trend fallback;","150.7"
"re_may140","2023","2023-08-25 07:15:00","2023-08-25 09:54:30","8","Friday","7","15","buy","0.15","1914.26","1913.35","-13.65","884.12","sl 1913.37","DGF;Diagnostic trend fallback;","159.5"
"re_may140","2023","2023-08-28 07:00:00","2023-08-28 08:58:32","8","Monday","7","0","buy","0.08","1916.36","1915.45","-7.28","876.84","sl 1915.48","DGF;Diagnostic trend fallback;","118.53"
"re_may140","2023","2023-08-28 13:30:00","2023-08-28 15:17:33","8","Monday","13","30","buy","0.19","1914.3","1913.82","-9.12","867.72","sl 1913.83","DGF;Diagnostic trend fallback;","107.55"
"re_may140","2023","2023-08-29 10:30:00","2023-08-29 11:11:29","8","Tuesday","10","30","buy","0.1","1923.35","1922.56","-7.9","859.82","sl 1922.58","DGF;Diagnostic trend fallback;","41.48"
"re_may140","2024","2024-03-04 07:30:00","2024-03-04 09:03:03","3","Monday","7","30","buy","0.48","2081.1","2084.9","182.4","1182.4","tp 2084.86","DGF;Diagnostic trend fallback;","93.05"
"re_may140","2024","2024-03-05 14:45:00","2024-03-05 15:28:40","3","Tuesday","14","45","buy","0.27","2122.48","2131.43","241.65","1424.05","tp 2131.43","PXEA;Liquidity sweep;","43.67"
"re_may140","2024","2024-03-06 13:00:00","2024-03-06 14:54:37","3","Wednesday","13","0","buy","0.54","2125.83","2134.33","459","1883.05","tp 2134.32","DGF;Diagnostic trend fallback;","114.62"
"re_may140","2024","2024-03-07 13:45:00","2024-03-07 15:05:38","3","Thursday","13","45","buy","0.81","2154.84","2162.43","614.79","2497.84","tp 2162.37","DGF;Diagnostic trend fallback;","80.63"
"re_may140","2024","2024-05-03 09:00:00","2024-05-03 09:54:41","5","Friday","9","0","sell","1.07","2306.09","2299.74","679.45","3177.29","tp 2299.76","DGF;Diagnostic trend fallback;","54.68"
