"QueueRank","Candidate","Phase","PhaseLabel","Window","Role","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","re_base","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2019_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\001_re_base_2019_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\001_re_base_2019_full_m1.ini","re_risk_re_base_2019_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_base_2019_m1","4038793A4B0677EA5D3CED74A57B4366C3EDFFFB54CE61A50022EF6F2026A65B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"2","re_base","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2021_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\002_re_base_2021_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\002_re_base_2021_full_m1.ini","re_risk_re_base_2021_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_base_2021_m1","4038793A4B0677EA5D3CED74A57B4366C3EDFFFB54CE61A50022EF6F2026A65B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"3","re_base","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2023_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\003_re_base_2023_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\003_re_base_2023_full_m1.ini","re_risk_re_base_2023_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_base_2023_m1","4038793A4B0677EA5D3CED74A57B4366C3EDFFFB54CE61A50022EF6F2026A65B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"4","re_base","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2024_full","profit_control","1","outputs\range_elite_risk_shape_probe_package\configs\004_re_base_2024_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\004_re_base_2024_full_m1.ini","re_risk_re_base_2024_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_base_2024_m1","4038793A4B0677EA5D3CED74A57B4366C3EDFFFB54CE61A50022EF6F2026A65B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"5","re_base","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2026_ytd","high_dd_recent","1","outputs\range_elite_risk_shape_probe_package\configs\005_re_base_2026_ytd_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\005_re_base_2026_ytd_m1.ini","re_risk_re_base_2026ytd_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_base_2026ytd_m1","4038793A4B0677EA5D3CED74A57B4366C3EDFFFB54CE61A50022EF6F2026A65B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"6","re_may100","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2019_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\006_re_may100_2019_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\006_re_may100_2019_full_m1.ini","re_risk_re_may100_2019_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may100_2019_m1","01641D75F69E77E8624AF25B556B30F38869BD69416DFFB54C455E7231F92E11","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"7","re_may100","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2021_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\007_re_may100_2021_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\007_re_may100_2021_full_m1.ini","re_risk_re_may100_2021_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may100_2021_m1","01641D75F69E77E8624AF25B556B30F38869BD69416DFFB54C455E7231F92E11","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"8","re_may100","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2023_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\008_re_may100_2023_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\008_re_may100_2023_full_m1.ini","re_risk_re_may100_2023_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may100_2023_m1","01641D75F69E77E8624AF25B556B30F38869BD69416DFFB54C455E7231F92E11","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"9","re_may100","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2024_full","profit_control","1","outputs\range_elite_risk_shape_probe_package\configs\009_re_may100_2024_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\009_re_may100_2024_full_m1.ini","re_risk_re_may100_2024_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may100_2024_m1","01641D75F69E77E8624AF25B556B30F38869BD69416DFFB54C455E7231F92E11","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"10","re_may100","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2026_ytd","high_dd_recent","1","outputs\range_elite_risk_shape_probe_package\configs\010_re_may100_2026_ytd_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\010_re_may100_2026_ytd_m1.ini","re_risk_re_may100_2026ytd_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may100_2026ytd_m1","01641D75F69E77E8624AF25B556B30F38869BD69416DFFB54C455E7231F92E11","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
