"Candidate","SourceType","Phase","Expected","ParsedReports","ParsedLogs","ParsedTotal","Missing","Unparsed","TotalNetProfit","WorstNetProfit","AverageAnnualizedReturnPercent","WorstAnnualizedReturnPercent","AverageCagrPercent","WorstCagrPercent","WorstDrawdownPercent","MinProfitFactor","TotalTrades"
"re_base","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","2994.93","-129.87","79.9","-13.03","100.39","-13.03","24.36","0","54"
"re_may100","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","2752.83","-141.94","72.31","-14.24","87.61","-14.24","20.75","0","44"
"re_may140","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","3015.75","-138.37","77.62","-13.88","93","-13.88","20.75","0","39"
"re_may200","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","2043.58","-152.76","60.25","-15.33","79.5","-15.32","22.37","0","38"
"re_maxrisk100","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","2743.48","-129.87","74.3","-13.03","93.65","-13.03","22.51","0","42"
"re_lotcap030","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","1815.23","-152.76","55.58","-15.33","74.64","-15.32","22.51","0","41"
"re_ny_end16","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","2231.58","-129.87","64.63","-13.03","85.11","-13.03","20.75","0","37"
"re_ny16_may140_lot030","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","1786.9","-138.37","53.03","-13.88","68.4","-13.88","19.71","0","39"
"re_dgfq_default","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","58.14","-183.18","4.02","-18.38","4.45","-18.37","30.95","0","31"
"re_dgfq_pa6_smq4","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","-254.76","-183.18","-7.89","-29.22","-7.48","-27.18","30.95","0","29"
"re_dgfq_struct","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","83.15","-153.6","-1.09","-29.22","-0.68","-27.18","22.67","0","26"
"re_dgfq_struct_liq","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","83.15","-153.6","-1.09","-29.22","-0.68","-27.18","22.67","0","26"
"re_may140_dgfq","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","-175.18","-161.42","-0.65","-16.2","-0.22","-16.19","20.75","0","32"
"re_blockliq","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","2994.93","-129.87","79.9","-13.03","100.39","-13.03","24.36","0","54"
"re_blockliq_may140","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","3015.75","-138.37","77.62","-13.88","93","-13.88","20.75","0","39"
"re_blockliq_may100","range_elite_risk_shape_probe","phase4_range_elite_risk_shape_model1","5","5","0","5","0","0","2752.83","-141.94","72.31","-14.24","87.61","-14.24","20.75","0","44"
